# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Peve_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "lncRNA_counts_matrix.txt" "RNA-POR-71.sorted.bam" "RNA-POR-73.sorted.bam" "RNA-POR-76.sorted.bam" "RNA-POR-79.sorted.bam" "RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POR-71.sorted.bam	RNA-POR-73.sorted.bam	RNA-POR-76.sorted.bam	RNA-POR-79.sorted.bam	RNA-POR-82.sorted.bam
lncRNA_1014	Porites_evermani_scaffold_1461	78521	78773	+	253	8	0	40	16	11
lncRNA_1015	Porites_evermani_scaffold_1462	59830	60444	+	615	3	3	72	0	1
lncRNA_1016	Porites_evermani_scaffold_1462	104690	104911	+	222	2	0	32	0	0
lncRNA_1017	Porites_evermani_scaffold_1462	105171	105558	+	388	0	0	53	0	1
lncRNA_1018	Porites_evermani_scaffold_1462	106227	106446	+	220	6	2	46	14	16
lncRNA_1019	Porites_evermani_scaffold_1465	1	1549	+	1549	1649	1000	1300	577	1931
lncRNA_1020	Porites_evermani_scaffold_1465	29914	30184	+	271	0	0	32	0	0
lncRNA_1021	Porites_evermani_scaffold_1465	66293	67078	+	786	0	0	123	127	2
lncRNA_1022	Porites_evermani_scaffold_1467	4715	4926	+	212	0	0	24	0	0
lncRNA_1023	Porites_evermani_scaffold_1467	32453	32678	+	226	8	1	26	0	65
lncRNA_1024	Porites_evermani_scaffold_1468	106143	106923	+	781	45	20	276	60	123
lncRNA_1025	Porites_evermani_scaffold_1469	98951	99214	+	264	5	12	40	12	7
lncRNA_1026	Porites_evermani_scaffold_147	159004	159328	+	325	9	0	49	16	0
lncRNA_1027	Porites_evermani_scaffold_1470	3144	5228	+	2085	116	39	265	13	217
lncRNA_1028	Porites_evermani_scaffold_1470	18021	24923	+	6903	0	0	0	0	0
lncRNA_1029	Porites_evermani_scaffold_1470	18021	26159	+	8139	0	0	0	0	3
lncRNA_1030	Porites_evermani_scaffold_1470	24621	26005	+	1385	0	0	0	0	0
lncRNA_1031	Porites_evermani_scaffold_1470	24824	26005	+	1182	0	0	0	0	0
lncRNA_1032	Porites_evermani_scaffold_1470	889	1239	+	351	23	0	0	7	42
lncRNA_1033	Porites_evermani_scaffold_1472	73165	77167	+	4003	9	2	36	3	5
lncRNA_1034	Porites_evermani_scaffold_1472	89816	90089	+	274	0	2	26	0	0
lncRNA_1035	Porites_evermani_scaffold_1472	124480	124715	+	236	10	2	54	0	0
lncRNA_1036	Porites_evermani_scaffold_1473	22555	29560	+	7006	115	168	229	32	106
lncRNA_1037	Porites_evermani_scaffold_1473	7563	7848	+	286	0	0	28	0	1
lncRNA_1038	Porites_evermani_scaffold_1474	63984	66376	+	2393	1651	194	1017	488	1927
lncRNA_1039	Porites_evermani_scaffold_1474	90658	91084	+	427	0	6	74	25	42
lncRNA_1040	Porites_evermani_scaffold_1475	19786	20192	+	407	14	2	34	4	15
lncRNA_1041	Porites_evermani_scaffold_1477	86385	86635	+	251	8	0	24	2	8
lncRNA_1042	Porites_evermani_scaffold_1477	87606	87847	+	242	5	7	25	15	15
lncRNA_1043	Porites_evermani_scaffold_1479	102992	105691	+	2700	6	15	48	49	11
lncRNA_1044	Porites_evermani_scaffold_1479	113390	113632	+	243	2	0	48	0	1
lncRNA_1045	Porites_evermani_scaffold_148	393604	393828	+	225	2	2	27	10	2
lncRNA_1046	Porites_evermani_scaffold_148	395588	395810	+	223	0	0	46	0	0
lncRNA_1047	Porites_evermani_scaffold_1480	56113	56760	+	648	51	6	95	44	46
lncRNA_1048	Porites_evermani_scaffold_1482	5296	5502	+	207	20	0	0	0	7
lncRNA_1049	Porites_evermani_scaffold_1483	71955	80190	+	8236	163	41	289	121	228
lncRNA_1050	Porites_evermani_scaffold_1483	92882	99993	+	7112	51	2	77	46	108
lncRNA_1051	Porites_evermani_scaffold_1487	3221	5714	+	2494	44	4	0	163	317
lncRNA_1052	Porites_evermani_scaffold_1487	121870	122186	+	317	0	18	78	0	0
lncRNA_1053	Porites_evermani_scaffold_1487	122692	123564	+	873	0	25	113	0	37
lncRNA_1054	Porites_evermani_scaffold_1488	90308	91043	+	736	20	10	146	3	115
lncRNA_1055	Porites_evermani_scaffold_1488	77135	88945	+	11811	594	208	1610	504	934
lncRNA_1056	Porites_evermani_scaffold_1488	90845	92970	+	2126	9	11	14	0	8
lncRNA_1057	Porites_evermani_scaffold_1489	108948	111515	+	2568	25	2	119	3	17
lncRNA_1058	Porites_evermani_scaffold_1489	65281	65549	+	269	0	43	0	0	2
lncRNA_1059	Porites_evermani_scaffold_149	2086	3337	+	1252	4	0	0	0	178
lncRNA_1060	Porites_evermani_scaffold_149	16417	19690	+	3274	379	57	92	97	1596
lncRNA_1061	Porites_evermani_scaffold_149	420274	422030	+	1757	3	0	137	19	36
lncRNA_1062	Porites_evermani_scaffold_149	424039	425518	+	1480	32	35	25	16	40
lncRNA_1063	Porites_evermani_scaffold_149	4109	4638	+	530	29	17	139	13	113
lncRNA_1064	Porites_evermani_scaffold_149	7327	9632	+	2306	98	21	6	34	652
lncRNA_1065	Porites_evermani_scaffold_149	246688	247038	+	351	18	0	52	0	5
lncRNA_1066	Porites_evermani_scaffold_149	247485	247715	+	231	5	15	30	12	4
lncRNA_1067	Porites_evermani_scaffold_1491	11976	12564	+	589	85	2	101	50	0
lncRNA_1068	Porites_evermani_scaffold_1491	46508	46931	+	424	29	0	48	45	1
lncRNA_1069	Porites_evermani_scaffold_1491	47220	47506	+	287	43	0	93	23	0
lncRNA_1070	Porites_evermani_scaffold_1491	61560	62297	+	738	89	0	118	52	14
lncRNA_1071	Porites_evermani_scaffold_1491	70903	71246	+	344	0	19	37	1	20
lncRNA_1072	Porites_evermani_scaffold_1492	84193	84450	+	258	0	0	26	0	4
lncRNA_1073	Porites_evermani_scaffold_1494	20102	22784	+	2683	51	105	119	84	144
lncRNA_1074	Porites_evermani_scaffold_1495	8988	27833	+	18846	102	16	143	20	80
lncRNA_1075	Porites_evermani_scaffold_1495	6853	7148	+	296	5	0	26	6	14
lncRNA_1076	Porites_evermani_scaffold_1497	517	745	+	229	0	48	0	0	1
lncRNA_1077	Porites_evermani_scaffold_1499	28739	29444	+	706	26	19	16	9	18
lncRNA_1078	Porites_evermani_scaffold_1499	39421	40605	+	1185	87	122	208	52	112
lncRNA_1079	Porites_evermani_scaffold_15	305722	313785	+	8064	42	0	10	4	15
lncRNA_1080	Porites_evermani_scaffold_15	306651	313785	+	7135	0	0	0	0	0
lncRNA_1081	Porites_evermani_scaffold_15	497916	499146	+	1231	246	47	23	71	109
lncRNA_1082	Porites_evermani_scaffold_15	792344	800050	+	7707	253	73	464	210	426
lncRNA_1083	Porites_evermani_scaffold_15	962990	965383	+	2394	0	0	0	0	0
lncRNA_1084	Porites_evermani_scaffold_15	963101	965383	+	2283	0	0	0	0	0
lncRNA_1085	Porites_evermani_scaffold_15	583531	584265	+	735	299	92	112	96	421
lncRNA_1086	Porites_evermani_scaffold_15	908942	909957	+	1016	20	9	110	12	27
lncRNA_1087	Porites_evermani_scaffold_15	690275	691017	+	743	2	6	0	6	7
lncRNA_1088	Porites_evermani_scaffold_150	85002	85412	+	411	0	0	49	0	0
lncRNA_1089	Porites_evermani_scaffold_150	316529	317873	+	1345	103	2	487	48	94
lncRNA_1090	Porites_evermani_scaffold_150	318762	319006	+	245	0	0	46	0	0
lncRNA_1091	Porites_evermani_scaffold_1501	86988	87301	+	314	0	0	28	0	0
lncRNA_1092	Porites_evermani_scaffold_1501	94408	94716	+	309	5	0	35	0	4
lncRNA_1093	Porites_evermani_scaffold_1504	79556	80174	+	619	17	8	6	11	56
lncRNA_1094	Porites_evermani_scaffold_1506	101257	101735	+	479	25	163	0	6	6
lncRNA_1095	Porites_evermani_scaffold_1507	96093	96298	+	206	0	0	0	77	11
lncRNA_1096	Porites_evermani_scaffold_1507	82735	87861	+	5127	9	7	82	0	5
lncRNA_1097	Porites_evermani_scaffold_1507	1	952	+	952	0	0	0	127	267
lncRNA_1098	Porites_evermani_scaffold_1507	60713	60973	+	261	0	2	38	0	2
lncRNA_1099	Porites_evermani_scaffold_1508	25148	26100	+	953	640	110	265	372	567
lncRNA_1100	Porites_evermani_scaffold_1508	29966	30910	+	945	56	11	58	66	21
lncRNA_1101	Porites_evermani_scaffold_1508	70413	71354	+	942	54	184	22	36	125
lncRNA_1102	Porites_evermani_scaffold_1508	120471	121253	+	783	19	7	130	12	145
lncRNA_1103	Porites_evermani_scaffold_151	392691	393482	+	792	107	78	220	85	129
lncRNA_1104	Porites_evermani_scaffold_1512	70281	83516	+	13236	1	0	0	0	8
lncRNA_1105	Porites_evermani_scaffold_1512	70354	83516	+	13163	0	0	0	0	0
lncRNA_1106	Porites_evermani_scaffold_1512	116243	118519	+	2277	37	0	0	10	6
lncRNA_1107	Porites_evermani_scaffold_1512	52571	52822	+	252	15	2	51	16	20
lncRNA_1108	Porites_evermani_scaffold_1513	100730	102493	+	1764	21	16	75	6	45
lncRNA_1109	Porites_evermani_scaffold_1513	111852	121390	+	9539	56	28	50	22	57
lncRNA_1110	Porites_evermani_scaffold_1513	111888	112976	+	1089	0	0	0	0	0
lncRNA_1111	Porites_evermani_scaffold_1513	42177	42416	+	240	0	0	26	0	0
lncRNA_1112	Porites_evermani_scaffold_1514	99596	101144	+	1549	23	15	40	12	47
lncRNA_1113	Porites_evermani_scaffold_1514	28766	29383	+	618	21	14	88	2	0
lncRNA_1114	Porites_evermani_scaffold_1515	92629	92847	+	219	9	9	79	0	18
lncRNA_1115	Porites_evermani_scaffold_1515	96088	96302	+	215	2	2	52	2	2
lncRNA_1116	Porites_evermani_scaffold_1516	56163	57335	+	1173	103	48	154	52	156
lncRNA_1117	Porites_evermani_scaffold_1516	56672	57335	+	664	0	0	0	0	0
lncRNA_1118	Porites_evermani_scaffold_1518	99033	103020	+	3988	0	19	30	0	7
lncRNA_1119	Porites_evermani_scaffold_1518	66128	70420	+	4293	1439	308	1390	1255	1780
lncRNA_1120	Porites_evermani_scaffold_1518	5605	5906	+	302	33	13	2	0	18
lncRNA_1121	Porites_evermani_scaffold_1519	119416	120576	+	1161	57	123	0	0	0
lncRNA_1122	Porites_evermani_scaffold_1519	5004	5280	+	277	0	0	33	2	14
lncRNA_1123	Porites_evermani_scaffold_1519	107835	108170	+	336	12	18	48	0	20
lncRNA_1124	Porites_evermani_scaffold_1519	109064	109327	+	264	4	9	29	0	5
lncRNA_1125	Porites_evermani_scaffold_1519	111802	112326	+	525	28	8	106	0	4
lncRNA_1126	Porites_evermani_scaffold_1519	113217	113449	+	233	0	2	32	0	0
lncRNA_1127	Porites_evermani_scaffold_152	69179	76338	+	7160	0	0	0	0	0
lncRNA_1128	Porites_evermani_scaffold_152	69187	76545	+	7359	109	14	0	2	65
lncRNA_1129	Porites_evermani_scaffold_152	193748	195934	+	2187	39	26	145	30	22
lncRNA_1130	Porites_evermani_scaffold_152	226140	226847	+	708	269	164	273	147	380
lncRNA_1131	Porites_evermani_scaffold_152	8442	9528	+	1087	45	80	30	12	120
lncRNA_1132	Porites_evermani_scaffold_152	20485	20695	+	211	2	8	32	8	0
lncRNA_1133	Porites_evermani_scaffold_152	50024	51801	+	1778	0	10	0	0	1
lncRNA_1134	Porites_evermani_scaffold_152	207953	208337	+	385	0	0	17	0	0
lncRNA_1135	Porites_evermani_scaffold_1521	113531	113758	+	228	0	0	60	0	0
lncRNA_1136	Porites_evermani_scaffold_1523	79207	79462	+	256	0	0	0	1	35
lncRNA_1137	Porites_evermani_scaffold_1523	82263	82772	+	510	0	15	22	4	131
lncRNA_1138	Porites_evermani_scaffold_1525	17902	18135	+	234	13	8	26	3	14
lncRNA_1139	Porites_evermani_scaffold_1526	62725	64088	+	1364	1572	196	2410	1109	788
lncRNA_1140	Porites_evermani_scaffold_1526	96620	100786	+	4167	108	20	133	110	245
lncRNA_1141	Porites_evermani_scaffold_1527	76536	76759	+	224	98	0	0	0	0
lncRNA_1142	Porites_evermani_scaffold_1528	68296	69593	+	1298	0	0	0	0	0
lncRNA_1143	Porites_evermani_scaffold_1528	68296	70672	+	2377	0	0	0	0	0
lncRNA_1144	Porites_evermani_scaffold_1528	68296	73325	+	5030	318	2	13	63	555
lncRNA_1145	Porites_evermani_scaffold_1528	8870	9122	+	253	0	0	26	0	0
lncRNA_1146	Porites_evermani_scaffold_153	64243	64528	+	286	23	1	2	18	13
lncRNA_1147	Porites_evermani_scaffold_153	163357	164275	+	919	57	17	54	4	75
lncRNA_1148	Porites_evermani_scaffold_1531	14255	24447	+	10193	35	42	57	41	3
lncRNA_1149	Porites_evermani_scaffold_1531	91992	92732	+	741	2	0	37	0	0
lncRNA_1150	Porites_evermani_scaffold_1534	118261	119872	+	1612	65	29	98	40	83
lncRNA_1151	Porites_evermani_scaffold_1536	3207	3466	+	260	32	2	28	15	28
lncRNA_1152	Porites_evermani_scaffold_1536	87625	88814	+	1190	689	351	1923	578	1013
lncRNA_1153	Porites_evermani_scaffold_1537	114964	115767	+	804	4	66	126	22	32
lncRNA_1154	Porites_evermani_scaffold_154	27477	27700	+	224	19	6	54	0	15
lncRNA_1155	Porites_evermani_scaffold_154	349027	349490	+	464	72	40	66	7	166
lncRNA_1156	Porites_evermani_scaffold_1541	5322	5563	+	242	0	0	36	0	5
lncRNA_1157	Porites_evermani_scaffold_1543	116747	117972	+	1226	9	71	0	11	34
lncRNA_1158	Porites_evermani_scaffold_1543	118125	119336	+	1212	34	0	0	0	89
lncRNA_1159	Porites_evermani_scaffold_1544	83691	84524	+	834	53	28	39	25	15
lncRNA_1160	Porites_evermani_scaffold_1544	115231	116365	+	1135	0	0	0	0	0
lncRNA_1161	Porites_evermani_scaffold_1544	115231	119275	+	4045	4	13	51	6	28
lncRNA_1162	Porites_evermani_scaffold_1547	16560	17982	+	1423	32	12	45	17	26
lncRNA_1163	Porites_evermani_scaffold_1547	107542	111841	+	4300	305	966	277	338	453
lncRNA_1164	Porites_evermani_scaffold_1548	23513	27608	+	4096	84	0	237	16	62
lncRNA_1165	Porites_evermani_scaffold_1548	95661	95975	+	315	0	0	47	0	1
lncRNA_1166	Porites_evermani_scaffold_155	161917	167207	+	5291	9	0	0	27	3
lncRNA_1167	Porites_evermani_scaffold_155	163588	164210	+	623	0	0	0	0	0
lncRNA_1168	Porites_evermani_scaffold_1550	53315	63852	+	10538	3327	573	2081	1074	2530
lncRNA_1169	Porites_evermani_scaffold_1550	111586	112068	+	483	45	0	58	45	49
lncRNA_1170	Porites_evermani_scaffold_1551	61711	61964	+	254	6	0	51	4	7
lncRNA_1171	Porites_evermani_scaffold_1552	35	2033	+	1999	1	0	171	1	1
lncRNA_1172	Porites_evermani_scaffold_1552	118170	118438	+	269	0	0	32	0	0
lncRNA_1173	Porites_evermani_scaffold_1553	66886	86433	+	19548	34	17	105	11	52
lncRNA_1174	Porites_evermani_scaffold_1553	34541	34834	+	294	0	0	82	0	2
lncRNA_1175	Porites_evermani_scaffold_1553	55505	55710	+	206	1	0	28	2	1
lncRNA_1176	Porites_evermani_scaffold_1553	57910	58522	+	613	22	1	104	2	2
lncRNA_1177	Porites_evermani_scaffold_1553	61778	62168	+	391	27	16	65	0	27
lncRNA_1178	Porites_evermani_scaffold_1553	63095	63471	+	377	37	53	45	27	39
lncRNA_1179	Porites_evermani_scaffold_1553	64027	64556	+	530	11	10	97	4	0
lncRNA_1180	Porites_evermani_scaffold_1553	64780	65011	+	232	2	2	32	1	0
lncRNA_1181	Porites_evermani_scaffold_1554	35223	35424	+	202	0	0	26	0	0
lncRNA_1182	Porites_evermani_scaffold_1554	44855	45075	+	221	0	0	36	0	1
lncRNA_1183	Porites_evermani_scaffold_1555	35720	35968	+	249	2	1	0	5	47
lncRNA_1184	Porites_evermani_scaffold_1560	50696	51065	+	370	5	0	2	0	26
lncRNA_1185	Porites_evermani_scaffold_1560	98426	98663	+	238	14	2	30	0	2
lncRNA_1186	Porites_evermani_scaffold_1561	64769	65004	+	236	0	0	24	0	0
lncRNA_1187	Porites_evermani_scaffold_1562	116778	118188	+	1411	0	0	3	2	48
lncRNA_1188	Porites_evermani_scaffold_1562	66072	66279	+	208	12	8	9	0	20
lncRNA_1189	Porites_evermani_scaffold_1562	81920	82159	+	240	0	0	33	0	0
lncRNA_1190	Porites_evermani_scaffold_1563	78933	79445	+	513	1	2	27	2	45
lncRNA_1191	Porites_evermani_scaffold_1564	100362	103530	+	3169	0	0	50	2	45
lncRNA_1192	Porites_evermani_scaffold_1564	95635	95863	+	229	35	0	40	0	29
lncRNA_1193	Porites_evermani_scaffold_1565	457	13483	+	13027	0	0	0	0	0
lncRNA_1194	Porites_evermani_scaffold_1565	461	13483	+	13023	0	0	0	0	0
lncRNA_1195	Porites_evermani_scaffold_1565	59113	64275	+	5163	24	14	50	4	12
lncRNA_1196	Porites_evermani_scaffold_1566	3876	4083	+	208	12	5	28	8	17
lncRNA_1197	Porites_evermani_scaffold_1566	94780	95380	+	601	52	45	20	10	55
lncRNA_1198	Porites_evermani_scaffold_1566	116730	118106	+	1377	122	27	16	4	193
lncRNA_1199	Porites_evermani_scaffold_1567	74852	75155	+	304	0	0	29	0	0
lncRNA_1200	Porites_evermani_scaffold_1568	30489	33961	+	3473	21	1	63	47	23
lncRNA_1201	Porites_evermani_scaffold_1568	59863	60611	+	749	2	0	206	16	0
lncRNA_1202	Porites_evermani_scaffold_157	117430	117684	+	255	0	0	31	0	0
lncRNA_1203	Porites_evermani_scaffold_157	168404	168626	+	223	0	4	28	1	0
lncRNA_1204	Porites_evermani_scaffold_157	200538	200745	+	208	0	0	40	6	0
lncRNA_1205	Porites_evermani_scaffold_157	275366	275779	+	414	44	32	62	4	63
lncRNA_1206	Porites_evermani_scaffold_157	278273	278998	+	726	60	14	90	12	34
lncRNA_1207	Porites_evermani_scaffold_157	280059	280376	+	318	12	0	30	0	12
lncRNA_1208	Porites_evermani_scaffold_157	284897	285127	+	231	4	4	44	4	26
lncRNA_1209	Porites_evermani_scaffold_157	286762	287016	+	255	24	23	63	11	47
lncRNA_1210	Porites_evermani_scaffold_157	291204	291533	+	330	22	12	40	24	40
lncRNA_1211	Porites_evermani_scaffold_1571	116375	118018	+	1644	97	2	47	0	182
lncRNA_1212	Porites_evermani_scaffold_1572	14180	14434	+	255	0	2	42	0	0
lncRNA_1213	Porites_evermani_scaffold_1575	85869	93107	+	7239	16	48	21	14	42
lncRNA_1214	Porites_evermani_scaffold_1575	2878	3078	+	201	0	0	19	0	0
lncRNA_1215	Porites_evermani_scaffold_1578	33770	38750	+	4981	19	4	76	21	30
lncRNA_1216	Porites_evermani_scaffold_158	15855	17135	+	1281	22	0	302	12	12
lncRNA_1217	Porites_evermani_scaffold_1580	17479	22523	+	5045	24	10	50	31	19
lncRNA_1218	Porites_evermani_scaffold_1580	65392	66805	+	1414	212	43	0	42	170
lncRNA_1219	Porites_evermani_scaffold_1580	68617	75404	+	6788	2574	291	107	398	1491
lncRNA_1220	Porites_evermani_scaffold_1580	73006	81422	+	8417	3107	576	313	842	3606
lncRNA_1221	Porites_evermani_scaffold_1581	99118	99728	+	611	12	0	70	8	28
lncRNA_1222	Porites_evermani_scaffold_1581	25198	25950	+	753	1663	597	469	820	2165
lncRNA_1223	Porites_evermani_scaffold_1581	30077	30732	+	656	731	343	295	515	933
lncRNA_1224	Porites_evermani_scaffold_1582	16193	17323	+	1131	91	8	242	10	0
lncRNA_1225	Porites_evermani_scaffold_1582	21904	22175	+	272	0	0	23	6	8
lncRNA_1226	Porites_evermani_scaffold_1584	1783	2025	+	243	0	0	40	3	0
lncRNA_1227	Porites_evermani_scaffold_1584	99509	99824	+	316	0	14	127	87	0
lncRNA_1228	Porites_evermani_scaffold_1585	59821	60225	+	405	48	0	52	7	120
lncRNA_1229	Porites_evermani_scaffold_1585	60721	60944	+	224	4	0	0	12	30
lncRNA_1230	Porites_evermani_scaffold_1585	104989	105378	+	390	7	0	43	4	2
lncRNA_1231	Porites_evermani_scaffold_1586	105919	116974	+	11056	119	74	19	11	235
lncRNA_1232	Porites_evermani_scaffold_1586	51728	52050	+	323	19	9	58	5	8
lncRNA_1233	Porites_evermani_scaffold_1588	57387	57616	+	230	0	0	36	3	0
lncRNA_1234	Porites_evermani_scaffold_1588	90020	90252	+	233	0	0	38	0	0
lncRNA_1235	Porites_evermani_scaffold_159	126943	130982	+	4040	42	0	128	18	62
lncRNA_1236	Porites_evermani_scaffold_159	131438	134306	+	2869	27	0	80	1	27
lncRNA_1237	Porites_evermani_scaffold_159	278644	279718	+	1075	903	250	215	292	957
lncRNA_1238	Porites_evermani_scaffold_159	192706	192949	+	244	3	2	33	3	1
lncRNA_1239	Porites_evermani_scaffold_159	250948	251188	+	241	0	18	24	22	145
lncRNA_1240	Porites_evermani_scaffold_1592	70130	70344	+	215	1	0	26	0	0
lncRNA_1241	Porites_evermani_scaffold_1592	84202	84698	+	497	0	0	68	0	1
lncRNA_1242	Porites_evermani_scaffold_1592	98356	99423	+	1068	42	5	149	6	87
lncRNA_1243	Porites_evermani_scaffold_1592	116602	117113	+	512	154	32	203	12	18
lncRNA_1244	Porites_evermani_scaffold_1593	106664	106930	+	267	28	2	1	1	60
lncRNA_1245	Porites_evermani_scaffold_1595	102911	103207	+	297	0	0	36	0	0
lncRNA_1246	Porites_evermani_scaffold_1596	29314	31006	+	1693	56	0	0	0	2
lncRNA_1247	Porites_evermani_scaffold_1596	19763	20864	+	1102	102	90	113	73	101
lncRNA_1248	Porites_evermani_scaffold_1597	59316	60317	+	1002	22	315	10	0	20
lncRNA_1249	Porites_evermani_scaffold_1597	98388	102645	+	4258	63	6	20	21	77
lncRNA_1250	Porites_evermani_scaffold_1597	115285	116654	+	1370	39	4	6	15	110
lncRNA_1251	Porites_evermani_scaffold_1597	47492	47808	+	317	152	102	18	2006	105
lncRNA_1252	Porites_evermani_scaffold_1599	14593	14840	+	248	6	0	30	0	0
lncRNA_1253	Porites_evermani_scaffold_16	753904	754173	+	270	0	0	32	0	0
lncRNA_1254	Porites_evermani_scaffold_16	781700	781939	+	240	0	0	28	0	0
lncRNA_1255	Porites_evermani_scaffold_160	1940	2204	+	265	2	0	34	0	0
lncRNA_1256	Porites_evermani_scaffold_160	228968	229428	+	461	193	3	14	25	58
lncRNA_1257	Porites_evermani_scaffold_1600	4561	5284	+	724	66	1	83	10	14
lncRNA_1258	Porites_evermani_scaffold_1600	5862	6089	+	228	50	3	27	6	3
lncRNA_1259	Porites_evermani_scaffold_1600	6416	6955	+	540	67	14	224	31	35
lncRNA_1260	Porites_evermani_scaffold_1600	13012	13247	+	236	4	0	28	0	2
lncRNA_1261	Porites_evermani_scaffold_1601	51599	55511	+	3913	33	1	81	50	41
lncRNA_1262	Porites_evermani_scaffold_1602	51858	52265	+	408	7	7	48	0	0
lncRNA_1263	Porites_evermani_scaffold_1603	52690	53273	+	584	6	4	94	8	20
lncRNA_1264	Porites_evermani_scaffold_1604	51900	52169	+	270	0	0	62	0	0
lncRNA_1265	Porites_evermani_scaffold_1605	75562	79350	+	3789	76	7	49	64	96
lncRNA_1266	Porites_evermani_scaffold_1608	36224	37336	+	1113	0	0	42	3	4
lncRNA_1267	Porites_evermani_scaffold_1608	44227	45462	+	1236	0	0	55	0	1
lncRNA_1268	Porites_evermani_scaffold_1608	30075	30279	+	205	0	0	36	0	0
lncRNA_1269	Porites_evermani_scaffold_1609	85356	86065	+	710	33	10	0	32	32
lncRNA_1270	Porites_evermani_scaffold_161	38248	43082	+	4835	1724	44	20	321	1123
lncRNA_1271	Porites_evermani_scaffold_161	153790	154362	+	573	22	7	86	7	15
lncRNA_1272	Porites_evermani_scaffold_161	308497	309838	+	1342	30	8	159	16	22
lncRNA_1273	Porites_evermani_scaffold_161	408905	410416	+	1512	440	297	945	188	679
lncRNA_1274	Porites_evermani_scaffold_161	266857	268917	+	2061	26	18	745	156	117
lncRNA_1275	Porites_evermani_scaffold_161	407102	407978	+	877	4594	4025	10776	770	12602
lncRNA_1276	Porites_evermani_scaffold_161	13224	14267	+	1044	153	21	2	60	48
lncRNA_1277	Porites_evermani_scaffold_161	69135	69349	+	215	2	0	44	0	3
lncRNA_1278	Porites_evermani_scaffold_161	381767	382038	+	272	8	15	107	12	7
lncRNA_1279	Porites_evermani_scaffold_1611	102089	104744	+	2656	52	58	328	124	91
lncRNA_1280	Porites_evermani_scaffold_1613	27012	28115	+	1104	178	4	193	67	133
lncRNA_1281	Porites_evermani_scaffold_1613	51879	52345	+	467	13	4	92	8	13
lncRNA_1282	Porites_evermani_scaffold_1613	56352	56782	+	431	0	2	44	2	22
lncRNA_1283	Porites_evermani_scaffold_1613	57506	57769	+	264	11	5	24	8	11
lncRNA_1284	Porites_evermani_scaffold_1613	59316	60179	+	864	17	6	95	35	79
lncRNA_1285	Porites_evermani_scaffold_1614	42697	43342	+	646	1996	2239	2049	2752	2769
lncRNA_1286	Porites_evermani_scaffold_1614	99248	99509	+	262	0	0	0	0	22
lncRNA_1287	Porites_evermani_scaffold_1615	7932	11203	+	3272	70	14	60	37	39
lncRNA_1288	Porites_evermani_scaffold_1615	56441	56941	+	501	181	42	102	38	172
lncRNA_1289	Porites_evermani_scaffold_1615	74914	75187	+	274	0	0	0	2	49
lncRNA_1290	Porites_evermani_scaffold_1616	17362	18929	+	1568	19	7	86	23	53
lncRNA_1291	Porites_evermani_scaffold_1616	112067	114900	+	2834	42	29	101	0	17
lncRNA_1292	Porites_evermani_scaffold_1616	104605	104873	+	269	0	3	24	0	0
lncRNA_1293	Porites_evermani_scaffold_1617	65715	68200	+	2486	0	0	37	2	6
lncRNA_1294	Porites_evermani_scaffold_1617	91050	92486	+	1437	1721	100	2216	2270	4321
lncRNA_1295	Porites_evermani_scaffold_1617	113308	113824	+	517	9	0	85	8	15
lncRNA_1296	Porites_evermani_scaffold_162	52723	54752	+	2030	121	111	248	62	179
lncRNA_1297	Porites_evermani_scaffold_162	85917	89336	+	3420	349	1032	1323	290	1
lncRNA_1298	Porites_evermani_scaffold_162	13	263	+	251	38	8	33	18	0
lncRNA_1299	Porites_evermani_scaffold_162	50305	52519	+	2215	302	77	352	77	451
lncRNA_1300	Porites_evermani_scaffold_162	236892	237129	+	238	0	0	24	2	0
lncRNA_1301	Porites_evermani_scaffold_1621	31300	31594	+	295	0	0	56	0	0
lncRNA_1302	Porites_evermani_scaffold_1621	41475	41840	+	366	0	3	50	0	4
lncRNA_1303	Porites_evermani_scaffold_1622	58181	58787	+	607	219	41	38	95	540
lncRNA_1304	Porites_evermani_scaffold_1622	35607	37188	+	1582	289	147	513	158	651
lncRNA_1305	Porites_evermani_scaffold_1623	925	10237	+	9313	82	47	169	20	109
lncRNA_1306	Porites_evermani_scaffold_1623	107274	110554	+	3281	83	94	247	270	107
lncRNA_1307	Porites_evermani_scaffold_1623	407	683	+	277	6	0	52	0	9
lncRNA_1308	Porites_evermani_scaffold_1623	105123	105470	+	348	0	0	185	518	0
lncRNA_1309	Porites_evermani_scaffold_1624	89837	101859	+	12023	0	1	0	2	0
lncRNA_1310	Porites_evermani_scaffold_1624	89874	101859	+	11986	0	0	0	0	0
lncRNA_1311	Porites_evermani_scaffold_1624	105	402	+	298	59	8	34	0	35
lncRNA_1312	Porites_evermani_scaffold_1624	4387	4590	+	204	0	0	30	0	0
lncRNA_1313	Porites_evermani_scaffold_1624	42956	44418	+	1463	59	28	115	3	56
lncRNA_1314	Porites_evermani_scaffold_1624	78907	79112	+	206	2	0	24	0	4
lncRNA_1315	Porites_evermani_scaffold_1628	109018	113017	+	4000	21	10	144	26	19
lncRNA_1316	Porites_evermani_scaffold_163	403970	409688	+	5719	11	29	1	16	138
