"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","ncrna_chrom","ncrna_start","ncrna_end","gf_chrom","gf_type","gf_start","gf_end","overlap","prop.sig.genes","Species","ncrna"
"122","LOC122961172","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,4019,0.00412654745529574,"Acropora pulchra","piRNA"
"123","LOC122961747","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,869,0.00419287211740042,"Acropora pulchra","piRNA"
"124","LOC122962131","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,926,0.00545171339563863,"Acropora pulchra","piRNA"
"125","LOC122962131","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,926,0.00759144237405107,"Acropora pulchra","piRNA"
"126","LOC114950214","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,2092,0.00545171339563863,"Acropora pulchra","piRNA"
"127","LOC114950214","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,2092,0.00759144237405107,"Acropora pulchra","piRNA"
"128","LOC122963280","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NC_058075.1",12980181,12985154,"NC_058075.1","mRNA",12981953,12983830,1877,0.00723327305605787,"Acropora pulchra","piRNA"
"129","LOC122964458","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,-972,0.00545171339563863,"Acropora pulchra","piRNA"
"130","LOC122964458","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,-972,0.00759144237405107,"Acropora pulchra","piRNA"
"131","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,1637,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"132","Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,1007,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"133","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0006310","DNA recombination",624,10,1.16,0.00534,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,3920,0.016025641025641,"Pocillopora tuahiniensis","piRNA"
"134","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,3920,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"135","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,5658,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"136","Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,2159,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"137","Pocillopora_meandrina_HIv1___RNAseq.g18203.t1","GO:0006355","regulation of DNA-templated transcription",1901,7,3.54,0.0258,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3848485,3852030,3545,0.00368227248816412,"Pocillopora tuahiniensis","piRNA"
"138","Pocillopora_meandrina_HIv1___RNAseq.g13147.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000010",2497140,2503741,"Pocillopora_meandrina_HIv1___Sc0000010","transcript",2497342,2500887,3545,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"139","Pocillopora_meandrina_HIv1___RNAseq.g6919.t1","GO:0006310","DNA recombination",624,10,1.16,0.00534,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000002",6079035,6084410,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",6080130,6083971,3841,0.016025641025641,"Pocillopora tuahiniensis","piRNA"
"140","Pocillopora_meandrina_HIv1___RNAseq.g6919.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000002",6079035,6084410,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",6080130,6083971,3841,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"141","Pocillopora_meandrina_HIv1___TS.g9756.t1","GO:0006310","DNA recombination",624,10,1.16,0.00534,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000013",6787577,6795010,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",6789451,6792289,2838,0.016025641025641,"Pocillopora tuahiniensis","piRNA"
"142","Pocillopora_meandrina_HIv1___TS.g9756.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000013",6787577,6795010,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",6789451,6792289,2838,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"143","Pocillopora_meandrina_HIv1___RNAseq.g1806.t1","GO:1903108","regulation of mitochondrial transcription",9,1,0.02,0.01666,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000008",2003184,2024008,"Pocillopora_meandrina_HIv1___Sc0000008","transcript",2019737,2031383,4271,0.111111111111111,"Pocillopora tuahiniensis","piRNA"
"144","Pocillopora_meandrina_HIv1___RNAseq.g6728.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000002",3703340,3711345,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",3701305,3704736,1396,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"145","Pocillopora_meandrina_HIv1___RNAseq.g16257.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",14080011,14086151,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",14080018,14085812,5794,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"146","Pocillopora_meandrina_HIv1___TS.g21317.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000019",5483017,5501965,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",5491736,5493919,2183,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"147","Pocillopora_meandrina_HIv1___RNAseq.g17090.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000036",83954,91693,"Pocillopora_meandrina_HIv1___Sc0000036","transcript",85135,86761,1626,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"148","Pocillopora_meandrina_HIv1___RNAseq.g3637.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000013",7398591,7407024,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",7400426,7403107,2681,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"149","Pocillopora_meandrina_HIv1___RNAseq.g1805.t1","GO:0006355","regulation of DNA-templated transcription",1901,7,3.54,0.0258,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000008",2003184,2024008,"Pocillopora_meandrina_HIv1___Sc0000008","transcript",2015777,2016166,389,0.00368227248816412,"Pocillopora tuahiniensis","piRNA"
"150","Pocillopora_meandrina_HIv1___RNAseq.g7292.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000002",11007008,11012024,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",11007082,11012466,4942,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"151","Pocillopora_meandrina_HIv1___RNAseq.g21904.t1","GO:0006310","DNA recombination",624,10,1.16,0.00534,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000000",10376955,10381586,"Pocillopora_meandrina_HIv1___Sc0000000","transcript",10377338,10381414,4076,0.016025641025641,"Pocillopora tuahiniensis","piRNA"
"152","Pocillopora_meandrina_HIv1___RNAseq.g21904.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000000",10376955,10381586,"Pocillopora_meandrina_HIv1___Sc0000000","transcript",10377338,10381414,4076,0.0277264325323475,"Pocillopora tuahiniensis","piRNA"
"153","Pocillopora_meandrina_HIv1___RNAseq.g27989.t1","GO:0006355","regulation of DNA-templated transcription",1901,7,3.54,0.0258,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000006",12435230,12463480,"Pocillopora_meandrina_HIv1___Sc0000006","transcript",12445464,12446291,827,0.00368227248816412,"Pocillopora tuahiniensis","piRNA"
"154","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,1637,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"155","Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,1007,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"156","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,3920,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"157","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,5658,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"158","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,5658,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"159","Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,2159,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"160","Pocillopora_meandrina_HIv1___TS.g13639.t1b","GO:0042025","host cell nucleus",17,3,0.03,3.7e-06,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000021",6212021,6231942,"Pocillopora_meandrina_HIv1___Sc0000021","transcript",6215380,6216850,1470,0.176470588235294,"Pocillopora tuahiniensis","piRNA"
"161","Pocillopora_meandrina_HIv1___RNAseq.g18201.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3830307,3833256,2949,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"162","Pocillopora_meandrina_HIv1___RNAseq.g18203.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3848485,3852030,3545,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"163","Pocillopora_meandrina_HIv1___RNAseq.g13147.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000010",2497140,2503741,"Pocillopora_meandrina_HIv1___Sc0000010","transcript",2497342,2500887,3545,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"164","Pocillopora_meandrina_HIv1___RNAseq.g6919.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000002",6079035,6084410,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",6080130,6083971,3841,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"165","Pocillopora_meandrina_HIv1___TS.g9756.t1","GO:0042025","host cell nucleus",17,3,0.03,3.7e-06,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000013",6787577,6795010,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",6789451,6792289,2838,0.176470588235294,"Pocillopora tuahiniensis","piRNA"
"166","Pocillopora_meandrina_HIv1___RNAseq.g6728.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000002",3703340,3711345,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",3701305,3704736,1396,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"167","Pocillopora_meandrina_HIv1___RNAseq.g16257.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000003",14080011,14086151,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",14080018,14085812,5794,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"168","Pocillopora_meandrina_HIv1___RNAseq.g16257.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000003",14080011,14086151,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",14080018,14085812,5794,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"169","Pocillopora_meandrina_HIv1___TS.g21317.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000019",5483017,5501965,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",5491736,5493919,2183,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"170","Pocillopora_meandrina_HIv1___RNAseq.g17090.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000036",83954,91693,"Pocillopora_meandrina_HIv1___Sc0000036","transcript",85135,86761,1626,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"171","Pocillopora_meandrina_HIv1___RNAseq.g17090.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000036",83954,91693,"Pocillopora_meandrina_HIv1___Sc0000036","transcript",85135,86761,1626,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"172","Pocillopora_meandrina_HIv1___RNAseq.g3637.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000013",7398591,7407024,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",7400426,7403107,2681,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"173","Pocillopora_meandrina_HIv1___RNAseq.g26952.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000006",2573320,2586773,"Pocillopora_meandrina_HIv1___Sc0000006","transcript",2578083,2585685,7602,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"174","Pocillopora_meandrina_HIv1___RNAseq.g1805.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000008",2003184,2024008,"Pocillopora_meandrina_HIv1___Sc0000008","transcript",2015777,2016166,389,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"175","Pocillopora_meandrina_HIv1___RNAseq.g7292.t1","GO:0042575","DNA polymerase complex",425,11,0.78,1.1e-10,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000002",11007008,11012024,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",11007082,11012466,4942,0.0258823529411765,"Pocillopora tuahiniensis","piRNA"
"176","Pocillopora_meandrina_HIv1___RNAseq.g21904.t1","GO:0042025","host cell nucleus",17,3,0.03,3.7e-06,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000000",10376955,10381586,"Pocillopora_meandrina_HIv1___Sc0000000","transcript",10377338,10381414,4076,0.176470588235294,"Pocillopora tuahiniensis","piRNA"
"177","Pocillopora_meandrina_HIv1___RNAseq.g6730.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000002",3703340,3711345,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",3708356,3710821,2465,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"178","Pocillopora_meandrina_HIv1___RNAseq.g27989.t1","GO:0005634","nucleus",5690,15,10.38,0.02159,"Cellular Components","Pocillopora_meandrina_HIv1___Sc0000006",12435230,12463480,"Pocillopora_meandrina_HIv1___Sc0000006","transcript",12445464,12446291,827,0.00263620386643234,"Pocillopora tuahiniensis","piRNA"
"179","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,1637,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"180","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,1637,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"181","Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,1007,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"182","Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,1007,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"183","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,3920,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"184","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,5658,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"185","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,5658,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"186","Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,2159,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"187","Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,2159,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"188","Pocillopora_meandrina_HIv1___TS.g13639.t1b","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000021",6212021,6231942,"Pocillopora_meandrina_HIv1___Sc0000021","transcript",6215380,6216850,1470,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"189","Pocillopora_meandrina_HIv1___RNAseq.g18201.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3830307,3833256,2949,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"190","Pocillopora_meandrina_HIv1___RNAseq.g13147.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000010",2497140,2503741,"Pocillopora_meandrina_HIv1___Sc0000010","transcript",2497342,2500887,3545,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"191","Pocillopora_meandrina_HIv1___RNAseq.g13147.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000010",2497140,2503741,"Pocillopora_meandrina_HIv1___Sc0000010","transcript",2497342,2500887,3545,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"192","Pocillopora_meandrina_HIv1___RNAseq.g6919.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000002",6079035,6084410,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",6080130,6083971,3841,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"193","Pocillopora_meandrina_HIv1___TS.g9756.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000013",6787577,6795010,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",6789451,6792289,2838,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"194","Pocillopora_meandrina_HIv1___RNAseq.g1806.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000008",2003184,2024008,"Pocillopora_meandrina_HIv1___Sc0000008","transcript",2019737,2031383,4271,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"195","Pocillopora_meandrina_HIv1___RNAseq.g6728.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000002",3703340,3711345,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",3701305,3704736,1396,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"196","Pocillopora_meandrina_HIv1___RNAseq.g6728.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000002",3703340,3711345,"Pocillopora_meandrina_HIv1___Sc0000002","transcript",3701305,3704736,1396,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"197","Pocillopora_meandrina_HIv1___RNAseq.g16257.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000003",14080011,14086151,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",14080018,14085812,5794,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"198","Pocillopora_meandrina_HIv1___RNAseq.g16257.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000003",14080011,14086151,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",14080018,14085812,5794,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"199","Pocillopora_meandrina_HIv1___TS.g21317.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000019",5483017,5501965,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",5491736,5493919,2183,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"200","Pocillopora_meandrina_HIv1___TS.g21317.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000019",5483017,5501965,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",5491736,5493919,2183,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"201","Pocillopora_meandrina_HIv1___RNAseq.g19233.t1","GO:0008270","zinc ion binding",1238,14,2.65,9.1e-08,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000001",7491180,7496937,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",7494081,7495580,1499,0.0113085621970921,"Pocillopora tuahiniensis","piRNA"
"202","Pocillopora_meandrina_HIv1___RNAseq.g17090.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000036",83954,91693,"Pocillopora_meandrina_HIv1___Sc0000036","transcript",85135,86761,1626,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
"203","Pocillopora_meandrina_HIv1___RNAseq.g17090.t1","GO:0004519","endonuclease activity",528,9,1.13,4.5e-06,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000036",83954,91693,"Pocillopora_meandrina_HIv1___Sc0000036","transcript",85135,86761,1626,0.0170454545454545,"Pocillopora tuahiniensis","piRNA"
"204","Pocillopora_meandrina_HIv1___RNAseq.g3637.t1","GO:0003676","nucleic acid binding",3267,20,7,1.4e-09,"Molecular Functions","Pocillopora_meandrina_HIv1___Sc0000013",7398591,7407024,"Pocillopora_meandrina_HIv1___Sc0000013","transcript",7400426,7403107,2681,0.00612182430364249,"Pocillopora tuahiniensis","piRNA"
