Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058070.1:8446974-8447403	Cluster_4097	N	0	438	0	24	136
NC_058070.1:8453254-8453680	Cluster_4098	N	0	60	0	17	37
NC_058070.1:8460708-8461131	Cluster_4099	N	10	31	6	88	12
NC_058070.1:8480363-8480792	Cluster_4100	N	6	195	0	29	132
NC_058070.1:8547354-8547759	Cluster_4101	N	22	17	18	12	15
NC_058070.1:8688530-8688977	Cluster_4102	N	33	36	34	12	185
NC_058070.1:8689137-8690015	Cluster_4103	N	309	169	45	371	105
NC_058070.1:8800417-8800919	Cluster_4104	N	189	566	0	95	169
NC_058070.1:8832086-8832515	Cluster_4105	N	6	16	11	466	3
NC_058070.1:8832769-8833616	Cluster_4106	N	353	2179	587	333	791
NC_058070.1:8833920-8834499	Cluster_4107	N	830	388	756	42	568
NC_058070.1:8864468-8864900	Cluster_4108	N	53	130	33	8	87
NC_058070.1:8871314-8872552	Cluster_4109	N	119	51	76	1725	1957
NC_058070.1:8877698-8878126	Cluster_4110	N	0	0	105	18	85
NC_058070.1:8925040-8925469	Cluster_4111	N	0	161	1	0	0
NC_058070.1:8933097-8933615	Cluster_4112	N	209	12	0	102	1
NC_058070.1:8934190-8934591	Cluster_4113	N	124	24	9	43	2
NC_058070.1:8943501-8943929	Cluster_4114	N	5	0	3	250	5
NC_058070.1:8962778-8963265	Cluster_4115	N	369	334	119	350	128
NC_058070.1:8989397-8990119	Cluster_4116	N	139	126	217	34	19
NC_058070.1:8990187-8990615	Cluster_4117	N	128	56	92	9	21
NC_058070.1:9016616-9017043	Cluster_4118	N	130	81	2	0	36
NC_058070.1:9017536-9017964	Cluster_4119	N	146	71	5	1	37
NC_058070.1:9049943-9050469	Cluster_4120	N	1538	3031	0	0	576
NC_058070.1:9124364-9124793	Cluster_4121	N	636	1	2	243	0
NC_058070.1:9272961-9273921	Cluster_4122	N	897	37	7	10	61
NC_058070.1:9275073-9275599	Cluster_4123	N	270	116	157	152	296
NC_058070.1:9325908-9326585	Cluster_4124	N	52	2	1919	6	102
NC_058070.1:9357961-9358388	Cluster_4125	N	96	97	122	35	51
NC_058070.1:9363059-9363655	Cluster_4126	N	127	165	135	64	83
NC_058070.1:9394643-9395100	Cluster_4127	N	627	144	396	116	211
NC_058070.1:9509331-9509850	Cluster_4128	N	108	103	96	33	172
NC_058070.1:9510653-9511061	Cluster_4129	N	13	46	52	10	9
NC_058070.1:9517618-9518046	Cluster_4130	N	46	47	45	37	22
NC_058070.1:9518052-9518481	Cluster_4131	N	34	56	47	37	21
NC_058070.1:9537731-9538150	Cluster_4132	N	118	0	0	14	0
NC_058070.1:9546754-9547183	Cluster_4133	N	3	12	217	41	26
NC_058070.1:9596326-9596754	Cluster_4134	N	0	259	1	0	2
NC_058070.1:9598116-9598657	Cluster_4135	N	3	4127	11	3	64
NC_058070.1:9600453-9600880	Cluster_4136	N	1	129	7	0	0
NC_058070.1:9662822-9663373	Cluster_4137	N	4	762	0	0	1
NC_058070.1:9665365-9665766	Cluster_4138	N	1	107	2	0	1
NC_058070.1:9685800-9686227	Cluster_4139	N	110	4	2	247	220
NC_058070.1:9782765-9783194	Cluster_4140	N	128	1	0	43	0
NC_058070.1:9824668-9825071	Cluster_4141	N	38	45	0	33	13
NC_058070.1:9834672-9835082	Cluster_4142	N	17	80	61	10	22
NC_058070.1:9836256-9836681	Cluster_4143	N	12	77	0	26	14
NC_058070.1:9978425-9979378	Cluster_4144	N	20	617	2179	805	74
NC_058070.1:10098439-10098868	Cluster_4145	N	1	357	4	0	0
NC_058070.1:10258294-10259391	Cluster_4146	N	2670	64	3629	33	693
NC_058070.1:10259837-10260266	Cluster_4147	N	7	2	216	4	3
NC_058070.1:10260305-10260737	Cluster_4148	N	53	12	568	12	1
NC_058070.1:10264251-10264737	Cluster_4149	N	435	2	10	2	1
NC_058070.1:10264923-10265730	Cluster_4150	N	1806	7	3	1	2
NC_058070.1:10266182-10266608	Cluster_4151	N	83	1	73	10	31
NC_058070.1:10266622-10267048	Cluster_4152	N	8	0	156	0	3
NC_058070.1:10267139-10268363	Cluster_4153	N	900	8	347	35	699
NC_058070.1:10292616-10293087	Cluster_4154	N	323	160	331	103	144
NC_058070.1:10293405-10293882	Cluster_4155	N	620	618	1216	321	1139
NC_058070.1:10316333-10316824	Cluster_4156	N	13	6	12	8	383
NC_058070.1:10356732-10358118	Cluster_4157	N	4596	4332	116	3137	3000
NC_058070.1:10358264-10358693	Cluster_4158	N	94	90	5	92	45
NC_058070.1:10380463-10380873	Cluster_4159	N	61	17	19	26	6
NC_058070.1:10403527-10404015	Cluster_4160	N	0	102	11	1798	41
NC_058070.1:10506317-10506719	Cluster_4161	N	108	48	41	54	9
NC_058070.1:10506974-10508631	Cluster_4162	N	928	108	201	1198	46
NC_058070.1:10509035-10509947	Cluster_4163	N	533	4	106	484	22
NC_058070.1:10509973-10511445	Cluster_4164	N	3258	748	297	4044	90
NC_058070.1:10511714-10512604	Cluster_4165	N	1065	649	105	1733	29
NC_058070.1:10606146-10606573	Cluster_4166	N	22	0	86	26	430
NC_058070.1:10767127-10767556	Cluster_4167	N	137	17	24	5	14
NC_058070.1:10780684-10781194	Cluster_4168	N	704	157	292	33	211
NC_058070.1:10837535-10837962	Cluster_4169	N	0	0	458	0	0
NC_058070.1:10853742-10854169	Cluster_4170	N	0	2	0	45	114
NC_058070.1:10854186-10854615	Cluster_4171	N	8	0	21	312	1287
NC_058070.1:10946335-10946764	Cluster_4172	N	509	0	18	33	11
NC_058070.1:10947056-10947571	Cluster_4173	N	179	0	213	39	11
NC_058070.1:10949257-10950105	Cluster_4174	N	257	63	130	1444	19
NC_058070.1:10983954-10984381	Cluster_4175	N	3	1	143	13	513
NC_058070.1:11004790-11005218	Cluster_4176	N	0	43	19	59	0
NC_058070.1:11007008-11007425	Cluster_4177	N	0	197	11	6	0
NC_058070.1:11049816-11050246	Cluster_4178	N	85	43	104	16	242
NC_058070.1:11053585-11054017	Cluster_4179	N	104	71	142	48	48
NC_058070.1:11055957-11056397	Cluster_4180	N	1	4	336	5	1
NC_058070.1:11063647-11064804	Cluster_4181	N	177	125	47	375	157
NC_058070.1:11065776-11066185	Cluster_4182	N	115	7	37	29	35
NC_058070.1:11072907-11073357	Cluster_4183	N	300	5	398	355	8
NC_058070.1:11083631-11084062	Cluster_4184	N	46	36	112	8	51
NC_058070.1:11086111-11086927	Cluster_4185	N	48	20	181	3	202
NC_058070.1:11087705-11088127	Cluster_4186	N	10	48	11	91	12
NC_058070.1:11098577-11103023	Cluster_4187	N	74	6040	4534	4947	2890
NC_058070.1:11103062-11104070	Cluster_4188	N	4	949	44	69	219
NC_058070.1:11104174-11104777	Cluster_4189	N	7	340	7	3	25
NC_058070.1:11152270-11152821	Cluster_4190	N	94	137	78	33	68
NC_058070.1:11153907-11154650	Cluster_4191	N	47	64	100	97	39
NC_058070.1:11154855-11155302	Cluster_4192	N	117	61	66	298	51
NC_058070.1:11155707-11156135	Cluster_4193	N	18	1	22	201	36
NC_058070.1:11156147-11156912	Cluster_4194	N	90	50	236	1055	89
NC_058070.1:11157837-11158308	Cluster_4195	N	75	82	43	2226	656
NC_058070.1:11165383-11165792	Cluster_4196	N	1	5	0	1	171
NC_058070.1:11167524-11167942	Cluster_4197	N	0	6	6	0	149
NC_058070.1:11168068-11168798	Cluster_4198	N	1	9	4	1	251
NC_058070.1:11173015-11173558	Cluster_4199	N	165	251	100	51	57
NC_058070.1:11178039-11179905	Cluster_4200	N	21572	18920	16897	7807	8153
NC_058070.1:11184858-11185286	Cluster_4201	N	59	28	67	11	25
NC_058070.1:11186118-11186547	Cluster_4202	N	62	40	6	731	3
NC_058070.1:11193191-11193615	Cluster_4203	N	1	1	1	641	2
NC_058070.1:11195507-11195934	Cluster_4204	N	71	32	76	29	23
NC_058070.1:11198973-11199720	Cluster_4205	N	101	19	74	363	14
NC_058070.1:11200637-11201065	Cluster_4206	N	12	11	218	7	5
NC_058070.1:11202656-11203671	Cluster_4207	N	187	120	500	187	289
NC_058070.1:11204489-11204921	Cluster_4208	N	154	146	516	111	282
NC_058070.1:11208619-11209766	Cluster_4209	N	278	357	4630	3196	3241
NC_058070.1:11212845-11213323	Cluster_4210	N	303	781	67	148	17
NC_058070.1:11221696-11222425	Cluster_4211	N	879	119	56	117	334
NC_058070.1:11224969-11225417	Cluster_4212	N	728	4135	124	28	10
NC_058070.1:11225565-11226470	Cluster_4213	N	2750	4659	1566	373	76
NC_058070.1:11229161-11229762	Cluster_4214	N	0	198	707	126	25
NC_058070.1:11231961-11232514	Cluster_4215	N	1187	13	6	4	23
NC_058070.1:11235168-11235595	Cluster_4216	N	168	14	6	2	29
NC_058070.1:11239146-11239920	Cluster_4217	N	277	184	153	222	114
NC_058070.1:11248885-11249313	Cluster_4218	N	39	28	0	34	51
NC_058070.1:11252478-11252935	Cluster_4219	N	174	82	92	90	6
NC_058070.1:11253378-11253807	Cluster_4220	N	17	136	11	3	52
NC_058070.1:11253831-11254358	Cluster_4221	N	251	111	1224	66	153
NC_058070.1:11255348-11255773	Cluster_4222	N	25	21	63	11	0
NC_058070.1:11259084-11259513	Cluster_4223	N	1859	1	10	5	1
NC_058070.1:11261916-11262339	Cluster_4224	N	0	0	192	0	0
NC_058070.1:11265262-11265675	Cluster_4225	N	74	18	146	35	8
NC_058070.1:11266552-11266990	Cluster_4226	N	319	19	774	75	19
NC_058070.1:11267814-11268242	Cluster_4227	N	29	16	120	18	25
NC_058070.1:11268331-11268757	Cluster_4228	N	62	14	123	15	13
NC_058070.1:11269404-11269832	Cluster_4229	N	96	4	31	116	8
NC_058070.1:11272674-11273270	Cluster_4230	N	246	159	259	99	88
NC_058070.1:11274649-11275076	Cluster_4231	N	30	34	120	8	11
NC_058070.1:11276811-11278331	Cluster_4232	N	5621	1365	2577	10259	4101
NC_058070.1:11278383-11279803	Cluster_4233	N	2629	1292	761	3144	5079
NC_058070.1:11280320-11280745	Cluster_4234	N	35	12	84	31	8
NC_058070.1:11288612-11289054	Cluster_4235	N	1315	2	4889	1443	2874
NC_058070.1:11292676-11293328	Cluster_4236	N	20	2205	283	1196	28
NC_058070.1:11293462-11293889	Cluster_4237	N	31	14	26	316	4
NC_058070.1:11361137-11361559	Cluster_4238	N	2	1	84	2	2
NC_058070.1:11364265-11364891	Cluster_4239	N	483	1986	2166	1683	924
NC_058070.1:11364973-11365403	Cluster_4240	N	8	196	46	40	8
NC_058070.1:11382627-11383056	Cluster_4241	N	0	32	233	242	7
NC_058070.1:11383752-11384180	Cluster_4242	N	2	64	167	37	44
NC_058070.1:11449528-11449934	Cluster_4243	N	0	63	0	31	67
NC_058070.1:11450788-11451803	Cluster_4244	N	5	1212	9	124	29
NC_058070.1:11451864-11452264	Cluster_4245	N	0	92	8	7	0
NC_058070.1:11497403-11497863	Cluster_4246	N	137	355	108	91	329
NC_058070.1:11532947-11533718	Cluster_4247	N	480	847	533	6	5
NC_058070.1:11533847-11534885	Cluster_4248	N	274	234	36	2	2
NC_058070.1:11538089-11538494	Cluster_4249	N	0	130	0	1	0
NC_058070.1:11598945-11599040	Cluster_4250	Y	5245	14597	28659	9595	21600
NC_058070.1:11719590-11720008	Cluster_4251	N	50	37	1	2	0
NC_058070.1:11802618-11803103	Cluster_4252	N	1	0	357	53	1
NC_058070.1:11804085-11804512	Cluster_4253	N	4	63	7	109	2
NC_058070.1:11819701-11820255	Cluster_4254	N	6	275	106	70	133
NC_058070.1:12028462-12028892	Cluster_4255	N	0	0	81	0	981
NC_058070.1:12029775-12030473	Cluster_4256	N	80	190	86	0	187
NC_058070.1:12030958-12031359	Cluster_4257	N	14	19	63	0	75
NC_058070.1:12035960-12036386	Cluster_4258	N	19	0	29	422	25
NC_058070.1:12036506-12037307	Cluster_4259	N	746	750	584	135	50
NC_058070.1:12037590-12038022	Cluster_4260	N	9	1	112	80	20
NC_058070.1:12258005-12258414	Cluster_4261	N	15	55	10	11	146
NC_058070.1:12259962-12260389	Cluster_4262	N	15	14	34	57	14
NC_058070.1:12262016-12262470	Cluster_4263	N	14	28	52	37	86
NC_058070.1:12269668-12270120	Cluster_4264	N	66	84	222	111	144
NC_058070.1:12283425-12283930	Cluster_4265	N	115	59	211	1214	91
NC_058070.1:12336597-12337025	Cluster_4266	N	23	6	23	143	5
NC_058070.1:12448452-12448904	Cluster_4267	N	218	668	19	0	746
NC_058070.1:12449226-12449635	Cluster_4268	N	21	1	75	12	0
NC_058070.1:12451257-12452411	Cluster_4269	N	5	357	59	395	393
NC_058070.1:12489923-12490541	Cluster_4270	N	34	89	185	62	127
NC_058070.1:12503468-12504246	Cluster_4271	N	1660	395	0	44	169
NC_058070.1:12507345-12508005	Cluster_4272	N	258	237	115	178	58
NC_058070.1:12510733-12511273	Cluster_4273	N	416	527	1274	1272	654
NC_058070.1:12515680-12516247	Cluster_4274	N	50	285	74	115	0
NC_058070.1:12517522-12517950	Cluster_4275	N	4	7	94	5	5
NC_058070.1:12521874-12522291	Cluster_4276	N	0	0	0	169	0
NC_058070.1:12547613-12548056	Cluster_4277	N	645	1	0	85	209
NC_058070.1:12605324-12605747	Cluster_4278	N	0	0	180	3	1
NC_058070.1:12630540-12630968	Cluster_4279	N	3	2	1	0	170
NC_058070.1:12635624-12636051	Cluster_4280	N	23	160	2	0	1
NC_058070.1:12636629-12637099	Cluster_4281	N	229	0	19	3	1
NC_058070.1:12639973-12640410	Cluster_4282	N	30	381	7	0	1
NC_058070.1:12644874-12645302	Cluster_4283	N	3	89	85	92	9
NC_058070.1:12650902-12651345	Cluster_4284	N	213	58	39	1	4
NC_058070.1:12651623-12652130	Cluster_4285	N	529	133	225	5	9
NC_058070.1:12652944-12653383	Cluster_4286	N	281	157	9	0	0
NC_058070.1:12670025-12670452	Cluster_4287	N	48	18	56	105	6
NC_058070.1:12695177-12695604	Cluster_4288	N	96	1	0	79	0
NC_058070.1:12770247-12770675	Cluster_4289	N	40	56	0	0	3
NC_058070.1:12782478-12783120	Cluster_4290	N	60	43	334	14	124
NC_058070.1:12813502-12813929	Cluster_4291	N	27	98	21	3	13
NC_058070.1:12824646-12825086	Cluster_4292	N	129	188	251	110	105
NC_058070.1:12868014-12868441	Cluster_4293	N	0	31	13	83	70
NC_058070.1:12869176-12870306	Cluster_4294	N	818	319	530	291	170
NC_058070.1:12919039-12919685	Cluster_4295	N	74	200	127	5105	228
NC_058070.1:12943536-12943958	Cluster_4296	N	0	3	32	90	0
NC_058070.1:12995177-12995599	Cluster_4297	N	13	12	228	2	16
NC_058070.1:12999677-13000101	Cluster_4298	N	46	0	48	63	1
NC_058070.1:13017015-13017491	Cluster_4299	N	63	64	5	62	181
NC_058070.1:13018254-13018680	Cluster_4300	N	0	3	159	24	51
NC_058070.1:13024061-13024882	Cluster_4301	N	188	423	37	64	9
NC_058070.1:13024974-13025456	Cluster_4302	N	95	2120	24	111	50
NC_058070.1:13039468-13040229	Cluster_4303	N	327	22	26	268	265
NC_058070.1:13041385-13041965	Cluster_4304	N	360	1	0	0	6
NC_058070.1:13108265-13108686	Cluster_4305	N	29	21	29	13	7
NC_058070.1:13112515-13112944	Cluster_4306	N	433	6	1	2	5
NC_058070.1:13186778-13187327	Cluster_4307	N	71	55	126	95	63
NC_058070.1:13304745-13305654	Cluster_4308	N	0	190	0	378	577
NC_058070.1:13305741-13306472	Cluster_4309	N	2	494	1	916	417
NC_058070.1:13306729-13307276	Cluster_4310	N	1515	2880	627	572	306
NC_058070.1:13389820-13390227	Cluster_4311	N	0	4	6	1	102
NC_058070.1:13432752-13434046	Cluster_4312	N	400	1512	6743	10590	11130
NC_058070.1:13455339-13455752	Cluster_4313	N	1	1	0	1	85
NC_058070.1:13545005-13545481	Cluster_4314	N	1	1	402	0	0
NC_058070.1:13546412-13546838	Cluster_4315	N	28	72	131	51	93
NC_058070.1:13575703-13576146	Cluster_4316	N	92	0	268	957	350
NC_058070.1:13579487-13579983	Cluster_4317	N	94	17	78	6	88
NC_058070.1:13608190-13608616	Cluster_4318	N	13	0	76	37	3
NC_058070.1:13621152-13621562	Cluster_4319	N	37	62	46	9	7
NC_058070.1:13634069-13634495	Cluster_4320	N	95	11	54	79	54
NC_058070.1:13636772-13637199	Cluster_4321	N	0	147	1	0	1
NC_058070.1:13722645-13723074	Cluster_4322	N	0	0	560	27	146
NC_058070.1:13736850-13737278	Cluster_4323	N	16	0	231	9	7
NC_058070.1:13746344-13747194	Cluster_4324	N	1	0	253	2	108
NC_058070.1:13753836-13754262	Cluster_4325	N	0	0	82	0	42
NC_058070.1:13816907-13817322	Cluster_4326	N	298	221	45	103	0
NC_058070.1:13866161-13866762	Cluster_4327	N	10	558	191	1	4
NC_058070.1:14116896-14117314	Cluster_4328	N	3	3	0	26	170
NC_058070.1:14130733-14131160	Cluster_4329	N	87	159	24	0	1
NC_058070.1:14154546-14154980	Cluster_4330	N	819	3605	447	981	873
NC_058070.1:14423678-14425000	Cluster_4331	N	369	19	578	423	602
NC_058070.1:14436567-14437865	Cluster_4332	N	1159	1315	1	2406	845
NC_058070.1:14457463-14457896	Cluster_4333	N	0	10	0	37	1647
NC_058070.1:14458562-14458974	Cluster_4334	N	1	153	0	1	89
NC_058070.1:14467968-14468387	Cluster_4335	N	1214	375	339	0	0
NC_058070.1:14471908-14472326	Cluster_4336	N	237	116	41	0	0
NC_058070.1:14473389-14473892	Cluster_4337	N	83	7	2	128	147
NC_058070.1:14492699-14493127	Cluster_4338	N	53	52	46	15	3
NC_058070.1:14516784-14517211	Cluster_4339	N	53	26	31	24	22
NC_058070.1:14519742-14520164	Cluster_4340	N	20	33	63	12	13
NC_058070.1:14648442-14648873	Cluster_4341	N	1	471	7	0	0
NC_058070.1:14649013-14649429	Cluster_4342	N	0	108	0	0	0
NC_058070.1:14655766-14656248	Cluster_4343	N	743	63	2	253	1
NC_058070.1:14656309-14656743	Cluster_4344	N	282	93	5	205	11
NC_058070.1:14657290-14657707	Cluster_4345	N	30	92	0	0	1
NC_058070.1:14662676-14663103	Cluster_4346	N	1	27	89	5	46
NC_058070.1:14697545-14697967	Cluster_4347	N	14	60	20	77	129
NC_058070.1:14713044-14713475	Cluster_4348	N	3	5	121	109	96
NC_058070.1:14715021-14715542	Cluster_4349	N	11	422	76	117	84
NC_058070.1:14720195-14720626	Cluster_4350	N	7	5	101	113	105
NC_058070.1:14721669-14722326	Cluster_4351	N	38	235	397	109	134
NC_058070.1:14722451-14723366	Cluster_4352	N	245	806	791	302	466
NC_058070.1:14723394-14723858	Cluster_4353	N	108	230	190	25	50
NC_058070.1:14726113-14726530	Cluster_4354	N	26	30	22	54	23
NC_058070.1:14727536-14728228	Cluster_4355	N	150	33	119	42	56
NC_058070.1:14729149-14729569	Cluster_4356	N	174	38	69	29	76
NC_058070.1:14729600-14730679	Cluster_4357	N	374	82	297	76	325
NC_058070.1:14731208-14731866	Cluster_4358	N	374	75	297	96	189
NC_058070.1:14772213-14772978	Cluster_4359	N	364	62	73	90	25
NC_058070.1:14775294-14775721	Cluster_4360	N	43	70	27	0	289
NC_058070.1:14778621-14779038	Cluster_4361	N	45	89	46	114	10
NC_058070.1:14784643-14785070	Cluster_4362	N	4	54	0	1	173
NC_058070.1:14787500-14787928	Cluster_4363	N	65	0	81	28	35
NC_058070.1:14796388-14797206	Cluster_4364	N	92	31	140	449	413
NC_058070.1:14918685-14919114	Cluster_4365	N	70	10	35	6	69
NC_058070.1:14927175-14927582	Cluster_4366	N	65	43	202	14	3
NC_058070.1:14927689-14930312	Cluster_4367	N	1035	554	3411	58	32
NC_058070.1:14930320-14931196	Cluster_4368	N	658	388	4273	8	9
NC_058070.1:14940753-14941181	Cluster_4369	N	2	0	2	88	157
NC_058070.1:14946123-14946551	Cluster_4370	N	3	2	4	204	240
NC_058070.1:15099670-15100100	Cluster_4371	N	0	0	191	19	0
NC_058070.1:15101342-15101908	Cluster_4372	N	0	334	407	824	16
NC_058070.1:15103776-15104322	Cluster_4373	N	85	232	311	98	13
NC_058070.1:15121572-15122409	Cluster_4374	N	0	1	500	1	23
NC_058070.1:15163689-15164116	Cluster_4375	N	50	5	53	25	17
NC_058070.1:15222474-15223008	Cluster_4376	N	1545	557	97	294	622
NC_058070.1:15224487-15225096	Cluster_4377	N	1733	3925	613	1317	1152
NC_058070.1:15379119-15379543	Cluster_4378	N	1	6	60	28	37
NC_058070.1:15630863-15631282	Cluster_4379	N	1	46	21	3	40
NC_058070.1:15632549-15633126	Cluster_4380	N	4	342	24	5	0
NC_058070.1:15645239-15645666	Cluster_4381	N	64	137	46	47	14
NC_058070.1:15720985-15721435	Cluster_4382	N	78	67	0	904	1
NC_058070.1:15740476-15740906	Cluster_4383	N	0	0	539	0	20
NC_058070.1:15757024-15757443	Cluster_4384	N	22	36	29	24	24
NC_058070.1:15779232-15780489	Cluster_4385	N	98	1546	1560	112	117
NC_058070.1:15783883-15784312	Cluster_4386	N	28	19	1	11	253
NC_058070.1:15784532-15784945	Cluster_4387	N	96	13	1	8	10
NC_058070.1:15793060-15793485	Cluster_4388	N	0	0	0	91	2
NC_058070.1:15802515-15802941	Cluster_4389	N	4	5	138	2	3
NC_058070.1:15812255-15812683	Cluster_4390	N	3	4	5	13	195
NC_058070.1:15826058-15826493	Cluster_4391	N	61	285	30	47	187
NC_058070.1:15827171-15827599	Cluster_4392	N	18	166	63	9	15
NC_058070.1:15834241-15835277	Cluster_4393	N	47	23	342	48	63
NC_058070.1:15848983-15849411	Cluster_4394	N	22	8	13	152	3
NC_058070.1:15885949-15886679	Cluster_4395	N	2479	109	1278	573	1416
NC_058070.1:15889565-15890104	Cluster_4396	N	60	0	1387	1	1
NC_058070.1:15890808-15891792	Cluster_4397	N	150	569	868	6	9
NC_058070.1:15893341-15894708	Cluster_4398	N	888	1188	1378	17	4
NC_058070.1:15929297-15929725	Cluster_4399	N	0	1	376	124	0
NC_058070.1:15940616-15941035	Cluster_4400	N	4	22	27	103	10
NC_058070.1:15941275-15941722	Cluster_4401	N	152	93	2275	154	269
NC_058070.1:15945792-15946218	Cluster_4402	N	28	5	14	12	25
NC_058070.1:15972463-15972888	Cluster_4403	N	93	0	1	0	0
NC_058070.1:15977066-15977490	Cluster_4404	N	5	0	98	11	8
NC_058070.1:15977519-15977948	Cluster_4405	N	2	40	108	0	2
NC_058070.1:15979311-15979743	Cluster_4406	N	27	25	98	16	42
NC_058070.1:15988052-15988481	Cluster_4407	N	145	155	78	29	20
NC_058070.1:15993026-15993443	Cluster_4408	N	21	35	44	19	19
NC_058070.1:15998442-15998967	Cluster_4409	N	84	96	91	55	56
NC_058070.1:16000592-16001017	Cluster_4410	N	47	53	78	9	23
NC_058070.1:16008189-16008616	Cluster_4411	N	0	0	0	1	181
NC_058070.1:16031110-16031541	Cluster_4412	N	55	268	260	3	21
NC_058070.1:16044385-16044813	Cluster_4413	N	25	3	7	170	0
NC_058070.1:16045262-16045686	Cluster_4414	N	29	26	119	77	6
NC_058070.1:16050373-16051444	Cluster_4415	N	131	86	328	418	0
NC_058070.1:16057571-16058017	Cluster_4416	N	19	208	55	94	257
NC_058070.1:16058862-16059606	Cluster_4417	N	1441	70	115	167	274
NC_058070.1:16060575-16062964	Cluster_4418	N	8800	118	5900	14207	1718
NC_058070.1:16064606-16065144	Cluster_4419	N	4	4	3	753	9
NC_058070.1:16075439-16075922	Cluster_4420	N	0	532	726	61	3
NC_058070.1:16077802-16078597	Cluster_4421	N	290	294	50	11	16
NC_058070.1:16099061-16099483	Cluster_4422	N	18	2	149	12	6
NC_058070.1:16101265-16102323	Cluster_4423	N	13	1666	430	21	850
NC_058070.1:16105744-16106191	Cluster_4424	N	0	518	86	10	190
NC_058070.1:16109810-16112575	Cluster_4425	N	126	4861	5908	1045	6156
NC_058070.1:16124099-16124575	Cluster_4426	N	162	6	10	8	220
NC_058070.1:16129435-16129864	Cluster_4427	N	11	110	50	10	4
NC_058070.1:16130789-16131218	Cluster_4428	N	0	332	20	125	1
NC_058070.1:16165260-16165917	Cluster_4429	N	4	0	11	1047	1
NC_058070.1:16181538-16182121	Cluster_4430	N	9	148	24	5	112
NC_058070.1:16194430-16195197	Cluster_4431	N	90	91	97	93	79
NC_058070.1:16195666-16196092	Cluster_4432	N	61	77	62	43	65
NC_058070.1:16196315-16197674	Cluster_4433	N	2804	1705	3514	3210	3659
NC_058070.1:16197769-16198196	Cluster_4434	N	84	10	22	38	23
NC_058070.1:16198644-16199463	Cluster_4435	N	549	84	152	178	937
NC_058070.1:16201708-16202503	Cluster_4436	N	57	735	2237	327	976
NC_058070.1:16203556-16203985	Cluster_4437	N	11	3	14	210	3
NC_058070.1:16212631-16213055	Cluster_4438	N	54	96	65	38	33
NC_058070.1:16213918-16214346	Cluster_4439	N	53	52	67	39	26
NC_058070.1:16214925-16215595	Cluster_4440	N	877	1114	96	458	852
NC_058070.1:16227910-16228449	Cluster_4441	N	169	55	38	93	168
NC_058070.1:16230971-16231371	Cluster_4442	N	4	0	11	211	0
NC_058070.1:16233050-16233479	Cluster_4443	N	9	3	44	60	24
NC_058070.1:16237906-16238572	Cluster_4444	N	10	40	37	1532	4
NC_058070.1:16239342-16239953	Cluster_4445	N	8	14	11	773	3
NC_058070.1:16240007-16240631	Cluster_4446	N	17	31	100	2902	7
NC_058070.1:16240736-16242167	Cluster_4447	N	3327	856	375	4530	353
NC_058070.1:16242205-16242705	Cluster_4448	N	24	45	367	155	47
NC_058070.1:16242782-16244453	Cluster_4449	N	1892	6875	3879	7768	3412
NC_058070.1:16246468-16246894	Cluster_4450	N	5	71	112	19	6
NC_058070.1:16255157-16255588	Cluster_4451	N	2	4	1324	1077	35
NC_058070.1:16263091-16263511	Cluster_4452	N	36	22	45	13	28
NC_058070.1:16264021-16264724	Cluster_4453	N	155	124	152	435	107
NC_058070.1:16265822-16266286	Cluster_4454	N	93	179	199	84	54
NC_058070.1:16272321-16273145	Cluster_4455	N	1059	5333	5546	910	1071
NC_058070.1:16278754-16279378	Cluster_4456	N	3	362	34	65	128
NC_058070.1:16286489-16286966	Cluster_4457	N	1	13	73	165	79
NC_058070.1:16292029-16292539	Cluster_4458	N	130	1	1833	160	38
NC_058070.1:16298587-16299016	Cluster_4459	N	39	26	76	9	249
NC_058070.1:16329654-16330830	Cluster_4460	N	374	20	32	91	880
NC_058070.1:16331883-16332310	Cluster_4461	N	54	2	15	20	38
NC_058070.1:16337950-16339501	Cluster_4462	N	2037	174	1988	3796	4943
NC_058070.1:16340844-16341391	Cluster_4463	N	87	318	99	112	175
NC_058070.1:16341500-16341934	Cluster_4464	N	98	128	134	246	54
NC_058070.1:16346959-16347376	Cluster_4465	N	45	18	34	16	42
NC_058070.1:16361270-16362010	Cluster_4466	N	69	52	92	115	82
NC_058070.1:16379995-16380423	Cluster_4467	N	96	150	163	30	233
NC_058070.1:16383108-16383529	Cluster_4468	N	7	78	1	35	0
NC_058070.1:16390994-16392083	Cluster_4469	N	49	25	87	744	18
NC_058070.1:16395905-16396332	Cluster_4470	N	0	148	2	0	2
NC_058070.1:16397327-16397755	Cluster_4471	N	1	18	1	144	5
NC_058070.1:16397950-16398373	Cluster_4472	N	1	16	2	152	37
NC_058070.1:16399705-16400131	Cluster_4473	N	9	2	11	34	59
NC_058070.1:16403756-16404183	Cluster_4474	N	49	54	70	28	39
NC_058070.1:16404440-16405273	Cluster_4475	N	33	3696	52	9	16
