"","X","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes","Species"
"45",94,"LOC114965810","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,"ID=rna-XM_029345528.2;Parent=gene-LOC114965810;Dbxref=GeneID:114965810,Genbank:XM_029345528.2;Name=XM_029345528.2;gbkey=mRNA;gene=LOC114965810;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized protein K02A2.6-like;transcript_id=XM_029345528.2",-10541,0.00207263224294854,"Acropora pulchra"
"46",95,"LOC114965810","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,"ID=rna-XM_029345528.2;Parent=gene-LOC114965810;Dbxref=GeneID:114965810,Genbank:XM_029345528.2;Name=XM_029345528.2;gbkey=mRNA;gene=LOC114965810;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized protein K02A2.6-like;transcript_id=XM_029345528.2",-10541,0.0119760479041916,"Acropora pulchra"
"47",96,"LOC114967414","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,"ID=rna-XM_029347425.2;Parent=gene-LOC114967414;Dbxref=GeneID:114967414,Genbank:XM_029347425.2;Name=XM_029347425.2;gbkey=mRNA;gene=LOC114967414;model_evidence=Supporting evidence includes similarity to: 8 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=zinc finger protein 862-like;transcript_id=XM_029347425.2",3202,0.00255188839741409,"Acropora pulchra"
"48",97,"LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,"ID=rna-XM_029351733.2;Parent=gene-LOC114971199;Dbxref=GeneID:114971199,Genbank:XM_029351733.2;Name=XM_029351733.2;gbkey=mRNA;gene=LOC114971199;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=protein ENL-like%2C transcript variant X1;transcript_id=XM_029351733.2",4124,0.00207263224294854,"Acropora pulchra"
"49",98,"LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,"ID=rna-XM_029351734.2;Parent=gene-LOC114971199;Dbxref=GeneID:114971199,Genbank:XM_029351734.2;Name=XM_029351734.2;gbkey=mRNA;gene=LOC114971199;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=protein ENL-like%2C transcript variant X2;transcript_id=XM_029351734.2",4124,0.00207263224294854,"Acropora pulchra"
"50",99,"LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,"ID=rna-XM_029351733.2;Parent=gene-LOC114971199;Dbxref=GeneID:114971199,Genbank:XM_029351733.2;Name=XM_029351733.2;gbkey=mRNA;gene=LOC114971199;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=protein ENL-like%2C transcript variant X1;transcript_id=XM_029351733.2",4124,0.00207263224294854,"Acropora pulchra"
"51",100,"LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,"ID=rna-XM_029351734.2;Parent=gene-LOC114971199;Dbxref=GeneID:114971199,Genbank:XM_029351734.2;Name=XM_029351734.2;gbkey=mRNA;gene=LOC114971199;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=protein ENL-like%2C transcript variant X2;transcript_id=XM_029351734.2",4124,0.00207263224294854,"Acropora pulchra"
"52",101,"LOC114973961","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058067.1",30797040,30806014,"NC_058067.1","mRNA",30815166,30819212,"ID=rna-XM_029354316.2;Parent=gene-LOC114973961;Dbxref=GeneID:114973961,Genbank:XM_029354316.2;Name=XM_029354316.2;gbkey=mRNA;gene=LOC114973961;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=uncharacterized LOC114973961;transcript_id=XM_029354316.2",-9152,0.00207263224294854,"Acropora pulchra"
"53",102,"LOC122947278","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058079.1",10942018,10952991,"NC_058079.1","mRNA",10946598,10953476,"ID=rna-XM_044307929.1;Parent=gene-LOC122947278;Dbxref=GeneID:122947278,Genbank:XM_044307929.1;Name=XM_044307929.1;gbkey=mRNA;gene=LOC122947278;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 61%25 coverage of the annotated genomic feature by RNAseq alignments;product=TNF receptor-associated factor 5-like;transcript_id=XM_044307929.1",6393,0.00207263224294854,"Acropora pulchra"
"54",104,"LOC114948732","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,"ID=rna-XM_044309350.1;Parent=gene-LOC114948732;Dbxref=GeneID:114948732,Genbank:XM_044309350.1;Name=XM_044309350.1;gbkey=mRNA;gene=LOC114948732;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 29 samples with support for all annotated introns;product=putative nuclease HARBI1;transcript_id=XM_044309350.1",2100,0.00255188839741409,"Acropora pulchra"
"55",105,"LOC114948732","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,"ID=rna-XM_044309350.1;Parent=gene-LOC114948732;Dbxref=GeneID:114948732,Genbank:XM_044309350.1;Name=XM_044309350.1;gbkey=mRNA;gene=LOC114948732;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 29 samples with support for all annotated introns;product=putative nuclease HARBI1;transcript_id=XM_044309350.1",2100,0.00207263224294854,"Acropora pulchra"
"56",107,"LOC114968804","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.00207263224294854,"Acropora pulchra"
"57",108,"LOC122949366","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.00255188839741409,"Acropora pulchra"
"58",110,"LOC122949366","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.00207263224294854,"Acropora pulchra"
"59",112,"LOC114967789","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.00255188839741409,"Acropora pulchra"
"60",114,"LOC114967789","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.00207263224294854,"Acropora pulchra"
"61",115,"LOC122950733","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322643.1",73,4997,"NW_025322643.1","mRNA",88979,91474,"ID=rna-XM_044310721.1;Parent=gene-LOC122950733;Dbxref=GeneID:122950733,Genbank:XM_044310721.1;Name=XM_044310721.1;gbkey=mRNA;gene=LOC122950733;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 21%25 coverage of the annotated genomic feature by RNAseq alignments;product=zinc finger MYM-type protein 1-like;transcript_id=XM_044310721.1",-83982,0.00255188839741409,"Acropora pulchra"
"62",116,"LOC122950925","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.00255188839741409,"Acropora pulchra"
"63",117,"LOC122950925","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.00207263224294854,"Acropora pulchra"
"64",118,"LOC122952191","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,"ID=rna-XM_044312236.1;Parent=gene-LOC122952191;Dbxref=GeneID:122952191,Genbank:XM_044312236.1;Name=XM_044312236.1;gbkey=mRNA;gene=LOC122952191;model_evidence=Supporting evidence includes similarity to: 5 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044312236.1",1673,0.00207263224294854,"Acropora pulchra"
"65",119,"LOC122952191","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,"ID=rna-XM_044312236.1;Parent=gene-LOC122952191;Dbxref=GeneID:122952191,Genbank:XM_044312236.1;Name=XM_044312236.1;gbkey=mRNA;gene=LOC122952191;model_evidence=Supporting evidence includes similarity to: 5 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044312236.1",1673,0.0119760479041916,"Acropora pulchra"
"66",120,"LOC122956629","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,"ID=rna-XM_044316312.1;Parent=gene-LOC122956629;Dbxref=GeneID:122956629,Genbank:XM_044316312.1;Name=XM_044316312.1;gbkey=mRNA;gene=LOC122956629;model_evidence=Supporting evidence includes similarity to: 4 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044316312.1",1796,0.00207263224294854,"Acropora pulchra"
"67",121,"LOC122956629","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,"ID=rna-XM_044316312.1;Parent=gene-LOC122956629;Dbxref=GeneID:122956629,Genbank:XM_044316312.1;Name=XM_044316312.1;gbkey=mRNA;gene=LOC122956629;model_evidence=Supporting evidence includes similarity to: 4 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044316312.1",1796,0.0119760479041916,"Acropora pulchra"
"68",124,"LOC122960659","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,"ID=rna-XM_044323091.1;Parent=gene-LOC122960659;Dbxref=GeneID:122960659,Genbank:XM_044323091.1;Name=XM_044323091.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC122960659;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 81 samples with support for all annotated introns;product=zinc finger protein 862-like;transcript_id=XM_044323091.1",-1796,0.00255188839741409,"Acropora pulchra"
"69",128,"LOC122961172","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,"ID=rna-XM_044323762.1;Parent=gene-LOC122961172;Dbxref=GeneID:122961172,Genbank:XM_044323762.1;Name=XM_044323762.1;gbkey=mRNA;gene=LOC122961172;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C and 91%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122961172;transcript_id=XM_044323762.1",4019,0.00255188839741409,"Acropora pulchra"
"70",129,"LOC122961747","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,"ID=rna-XM_044324554.1;Parent=gene-LOC122961747;Dbxref=GeneID:122961747,Genbank:XM_044324554.1;Name=XM_044324554.1;gbkey=mRNA;gene=LOC122961747;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=uncharacterized LOC122961747;transcript_id=XM_044324554.1",869,0.00255188839741409,"Acropora pulchra"
"71",130,"LOC122961747","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,"ID=rna-XM_044324554.1;Parent=gene-LOC122961747;Dbxref=GeneID:122961747,Genbank:XM_044324554.1;Name=XM_044324554.1;gbkey=mRNA;gene=LOC122961747;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=uncharacterized LOC122961747;transcript_id=XM_044324554.1",869,0.00207263224294854,"Acropora pulchra"
"72",131,"LOC122962131","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,"ID=rna-XM_044325046.1;Parent=gene-LOC122962131;Dbxref=GeneID:122962131,Genbank:XM_044325046.1;Name=XM_044325046.1;gbkey=mRNA;gene=LOC122962131;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325046.1",926,0.00207263224294854,"Acropora pulchra"
"73",132,"LOC122962131","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,"ID=rna-XM_044325046.1;Parent=gene-LOC122962131;Dbxref=GeneID:122962131,Genbank:XM_044325046.1;Name=XM_044325046.1;gbkey=mRNA;gene=LOC122962131;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325046.1",926,0.0119760479041916,"Acropora pulchra"
"74",133,"LOC114950214","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,"ID=rna-XM_044325047.1;Parent=gene-LOC114950214;Dbxref=GeneID:114950214,Genbank:XM_044325047.1;Name=XM_044325047.1;gbkey=mRNA;gene=LOC114950214;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 79%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325047.1",2092,0.00207263224294854,"Acropora pulchra"
"75",134,"LOC114950214","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,"ID=rna-XM_044325047.1;Parent=gene-LOC114950214;Dbxref=GeneID:114950214,Genbank:XM_044325047.1;Name=XM_044325047.1;gbkey=mRNA;gene=LOC114950214;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 79%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325047.1",2092,0.0119760479041916,"Acropora pulchra"
"76",135,"LOC122963280","GO:0042025","host cell nucleus",72,2,0.1,0.0037,"Cellular Components","NC_058075.1",12980181,12985154,"NC_058075.1","mRNA",12981953,12983830,"ID=rna-XM_044326695.1;Parent=gene-LOC122963280;Dbxref=GeneID:122963280,Genbank:XM_044326695.1;Name=XM_044326695.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC122963280;model_evidence=Supporting evidence includes similarity to: 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 80 samples with support for all annotated introns;product=uncharacterized LOC122963280;transcript_id=XM_044326695.1",1877,0.0277777777777778,"Acropora pulchra"
"77",136,"LOC122964458","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,"ID=rna-XM_044328014.1;Parent=gene-LOC122964458;Dbxref=GeneID:122964458,Genbank:XM_044328014.1;Name=XM_044328014.1;gbkey=mRNA;gene=LOC122964458;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044328014.1",-972,0.00207263224294854,"Acropora pulchra"
"78",137,"LOC122964458","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,"ID=rna-XM_044328014.1;Parent=gene-LOC122964458;Dbxref=GeneID:122964458,Genbank:XM_044328014.1;Name=XM_044328014.1;gbkey=mRNA;gene=LOC122964458;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044328014.1",-972,0.0119760479041916,"Acropora pulchra"
"79",138,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-26809,0.00419287211740042,"Acropora pulchra"
"80",139,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-10610,0.00419287211740042,"Acropora pulchra"
"81",140,"LOC114949708","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NW_025322639.1",552725,557583,"NW_025322639.1","mRNA",553678,555304,"ID=rna-XM_029326050.2;Parent=gene-LOC114949708;Dbxref=GeneID:114949708,Genbank:XM_029326050.2;Name=XM_029326050.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949708;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=uncharacterized LOC114949708;transcript_id=XM_029326050.2",1626,0.00723327305605787,"Acropora pulchra"
"82",142,"LOC114951564","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,"ID=rna-XM_029327730.2;Parent=gene-LOC114951564;Dbxref=GeneID:114951564,Genbank:XM_029327730.2;Name=XM_029327730.2;gbkey=mRNA;gene=LOC114951564;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=zinc finger protein 862-like;transcript_id=XM_029327730.2",-14381,0.00419287211740042,"Acropora pulchra"
"83",144,"LOC114959002","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.00412654745529574,"Acropora pulchra"
"84",153,"LOC114961822","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058076.1",1894179,1899982,"NC_058076.1","mRNA",1886532,1905239,"ID=rna-XM_029340673.2;Parent=gene-LOC114961822;Dbxref=GeneID:114961822,Genbank:XM_029340673.2;Name=XM_029340673.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114961822;model_evidence=Supporting evidence includes similarity to: 6 mRNAs%2C 8 Proteins%2C and 96%25 coverage of the annotated genomic feature by RNAseq alignments;product=DNA repair protein complementing XP-A cells homolog;transcript_id=XM_029340673.2",5803,0.00759144237405107,"Acropora pulchra"
"85",154,"LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341272.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341272.2;Name=XM_029341272.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 13 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 48 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X1;transcript_id=XM_029341272.2",-14692,0.00412654745529574,"Acropora pulchra"
"86",155,"LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341274.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341274.2;Name=XM_029341274.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 14 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 56 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X2;transcript_id=XM_029341274.2",-14692,0.00412654745529574,"Acropora pulchra"
"87",156,"LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341272.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341272.2;Name=XM_029341272.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 13 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 48 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X1;transcript_id=XM_029341272.2",-14692,0.00412654745529574,"Acropora pulchra"
"88",157,"LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341274.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341274.2;Name=XM_029341274.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 14 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 56 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X2;transcript_id=XM_029341274.2",-14692,0.00412654745529574,"Acropora pulchra"
"89",159,"LOC114962739","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,"ID=rna-XM_029341779.2;Parent=gene-LOC114962739;Dbxref=GeneID:114962739,Genbank:XM_029341779.2;Name=XM_029341779.2;gbkey=mRNA;gene=LOC114962739;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 52%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114962739;transcript_id=XM_029341779.2",-553,0.00412654745529574,"Acropora pulchra"
