Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058068.1:32311-32740	Cluster_2505	N	48	7	60	9	8
NC_058068.1:66075-66484	Cluster_2506	N	116	9	0	0	2
NC_058068.1:112671-113089	Cluster_2507	N	12	78	18	43	33
NC_058068.1:195455-195875	Cluster_2508	N	18	48	16	28	35
NC_058068.1:422778-423207	Cluster_2509	N	97	678	1	2	471
NC_058068.1:423603-424034	Cluster_2510	N	184	252	1	3	32
NC_058068.1:447465-447888	Cluster_2511	N	542	233	429	267	431
NC_058068.1:477283-477711	Cluster_2512	N	1	727	0	2	0
NC_058068.1:479811-480345	Cluster_2513	N	1510	2476	3474	1122	2451
NC_058068.1:484418-484955	Cluster_2514	N	298	280	106	88	244
NC_058068.1:486583-487110	Cluster_2515	N	1106	923	587	965	373
NC_058068.1:488495-489232	Cluster_2516	N	124	200	56	221	88
NC_058068.1:493760-494229	Cluster_2517	N	524	1114	586	579	774
NC_058068.1:495482-496018	Cluster_2518	N	318	290	346	133	328
NC_058068.1:496360-496827	Cluster_2519	N	48	69	261	34	77
NC_058068.1:570162-570590	Cluster_2520	N	108	0	40	1	0
NC_058068.1:597827-597919	Cluster_2521	Y	6847	12455	14421	13353	12067
NC_058068.1:598123-598215	Cluster_2522	Y	4511	4061	3817	5761	5200
NC_058068.1:643676-644105	Cluster_2523	N	59	121	51	108	73
NC_058068.1:1113734-1114138	Cluster_2524	N	81	82	153	30	74
NC_058068.1:1323518-1323944	Cluster_2525	N	49	0	43	30	70
NC_058068.1:1537645-1538067	Cluster_2526	N	11	27	27	10	41
NC_058068.1:1965774-1966197	Cluster_2527	N	36	36	21	31	25
NC_058068.1:1994361-1994783	Cluster_2528	N	16	31	20	19	44
NC_058068.1:2005791-2006218	Cluster_2529	N	14	110	10	0	70
NC_058068.1:2059721-2060251	Cluster_2530	N	78	110	193	35	291
NC_058068.1:2163857-2164281	Cluster_2531	N	8	37	38	35	26
NC_058068.1:2169724-2170151	Cluster_2532	N	106	2	2	3	1
NC_058068.1:2269078-2269494	Cluster_2533	N	11	22	23	34	21
NC_058068.1:2275186-2275613	Cluster_2534	N	130	42	10	35	0
NC_058068.1:2431066-2431484	Cluster_2535	N	44	31	22	62	36
NC_058068.1:2579083-2579619	Cluster_2536	N	59	97	51	18	111
NC_058068.1:2682924-2683399	Cluster_2537	N	107	240	121	147	209
NC_058068.1:2700051-2700481	Cluster_2538	N	59	7	14	136	11
NC_058068.1:2714293-2715607	Cluster_2539	N	819	1046	1120	978	10
NC_058068.1:2749973-2750421	Cluster_2540	N	47	41	109	44	45
NC_058068.1:2750560-2751019	Cluster_2541	N	150	313	816	210	343
NC_058068.1:2816298-2816814	Cluster_2542	N	4076	4120	7818	6172	5592
NC_058068.1:2860571-2860980	Cluster_2543	N	15	26	17	12	57
NC_058068.1:2862122-2862580	Cluster_2544	N	66	106	65	54	133
NC_058068.1:3215606-3216020	Cluster_2545	N	36	3	71	25	33
NC_058068.1:3522909-3523334	Cluster_2546	N	0	13	3	0	92
NC_058068.1:3572279-3572697	Cluster_2547	N	0	0	89	0	29
NC_058068.1:3616375-3616793	Cluster_2548	N	16	6	0	0	88
NC_058068.1:3696752-3697175	Cluster_2549	N	61	0	13	0	26
NC_058068.1:3722089-3722512	Cluster_2550	N	24	49	17	87	77
NC_058068.1:3756500-3756594	Cluster_2551	Y	3678	1703	1631	2410	2088
NC_058068.1:4131372-4131800	Cluster_2552	N	45	86	4	0	1
NC_058068.1:4605437-4605857	Cluster_2553	N	0	1	99	0	0
NC_058068.1:4725147-4725594	Cluster_2554	N	77	70	86	60	52
NC_058068.1:4763256-4763684	Cluster_2555	N	152	0	0	33	0
NC_058068.1:5317691-5318118	Cluster_2556	N	0	1	2	221	2
NC_058068.1:5405187-5405664	Cluster_2557	N	0	1	12	87	170
NC_058068.1:5483881-5484307	Cluster_2558	N	0	2	137	2	78
NC_058068.1:5717363-5718445	Cluster_2559	N	6598	2691	1938	4888	4916
NC_058068.1:5718642-5721167	Cluster_2560	N	2154	8506	2012	2168	2048
NC_058068.1:5841698-5842119	Cluster_2561	N	12	4	54	9	17
NC_058068.1:5847107-5847518	Cluster_2562	N	40	46	30	19	41
NC_058068.1:5849204-5849762	Cluster_2563	N	6231	298	3663	1161	3325
NC_058068.1:5983757-5984186	Cluster_2564	N	339	333	4	1	1
NC_058068.1:6044706-6045151	Cluster_2565	N	40	140	1451	25	208
NC_058068.1:6045235-6045710	Cluster_2566	N	27	294	563	145	257
NC_058068.1:6164096-6164838	Cluster_2567	N	6	385	34	134	12
NC_058068.1:6205358-6205784	Cluster_2568	N	22	12	44	96	16
NC_058068.1:6488058-6488479	Cluster_2569	N	22	40	27	20	78
NC_058068.1:6491208-6491635	Cluster_2570	N	19	61	42	22	173
NC_058068.1:6608257-6608678	Cluster_2571	N	30	18	15	8	18
NC_058068.1:6795884-6796306	Cluster_2572	N	8	47	24	11	18
NC_058068.1:6812230-6812639	Cluster_2573	N	20	24	58	4	38
NC_058068.1:6813453-6813909	Cluster_2574	N	49	184	30	0	6
NC_058068.1:6851751-6852249	Cluster_2575	N	7816	12826	0	27570	24310
NC_058068.1:6868307-6868798	Cluster_2576	N	7635	6301	3546	0	0
NC_058068.1:7217297-7217713	Cluster_2577	N	19	20	14	21	21
NC_058068.1:7223539-7223967	Cluster_2578	N	52	36	21	33	11
NC_058068.1:7478470-7478992	Cluster_2579	N	392	416	639	196	507
NC_058068.1:7679709-7680219	Cluster_2580	N	115	130	162	26	8
NC_058068.1:7710408-7711098	Cluster_2581	N	1	422	16	114	66
NC_058068.1:7714569-7715111	Cluster_2582	N	42	62	54	97	23
NC_058068.1:7715427-7715860	Cluster_2583	N	0	69	0	74	136
NC_058068.1:7725819-7726247	Cluster_2584	N	94	23	205	6	28
NC_058068.1:7783811-7784231	Cluster_2585	N	0	25	9	62	6
NC_058068.1:7880238-7880666	Cluster_2586	N	5	12	48	5	49
NC_058068.1:7908400-7908827	Cluster_2587	N	13	13	131	8	2
NC_058068.1:7908898-7909327	Cluster_2588	N	40	31	125	23	23
NC_058068.1:7909337-7909764	Cluster_2589	N	43	13	178	12	6
NC_058068.1:7929028-7929792	Cluster_2590	N	3	62	476	45	114
NC_058068.1:7942723-7943149	Cluster_2591	N	22	34	52	19	9
NC_058068.1:7947207-7947634	Cluster_2592	N	0	105	6	0	89
NC_058068.1:7949311-7949740	Cluster_2593	N	6	0	233	7	3
NC_058068.1:7950056-7951336	Cluster_2594	N	199	13	2316	659	4
NC_058068.1:7951747-7952872	Cluster_2595	N	3311	31	9061	3889	18
NC_058068.1:7952887-7953402	Cluster_2596	N	273	4	699	762	2
NC_058068.1:7960321-7960728	Cluster_2597	N	37	4	35	28	22
NC_058068.1:7964963-7965390	Cluster_2598	N	3	63	3	76	18
NC_058068.1:7966413-7967497	Cluster_2599	N	230	18	414	3	1
NC_058068.1:7973673-7974102	Cluster_2600	N	208	216	159	2	3
NC_058068.1:7976611-7977039	Cluster_2601	N	120	7	154	8	2
NC_058068.1:7977593-7978021	Cluster_2602	N	5	11	135	12	30
NC_058068.1:7981015-7982514	Cluster_2603	N	965	101	120	177	73
NC_058068.1:7982586-7983741	Cluster_2604	N	1123	131	148	232	55
NC_058068.1:7987762-7988191	Cluster_2605	N	156	280	3	57	556
NC_058068.1:7999847-8000274	Cluster_2606	N	12	2	0	150	3
NC_058068.1:8001027-8001454	Cluster_2607	N	79	57	0	6	0
NC_058068.1:8014746-8015172	Cluster_2608	N	4	16	128	65	14
NC_058068.1:8016999-8017421	Cluster_2609	N	88	42	0	6	0
NC_058068.1:8026275-8026974	Cluster_2610	N	2	844	2	0	0
NC_058068.1:8157560-8157988	Cluster_2611	N	32	8	38	197	159
NC_058068.1:8160629-8161057	Cluster_2612	N	5	40	266	12	7
NC_058068.1:8172973-8173923	Cluster_2613	N	45	121	36	37	709
NC_058068.1:8189627-8190123	Cluster_2614	N	1187	333	0	223	271
NC_058068.1:8196803-8197233	Cluster_2615	N	5	0	1	0	351
NC_058068.1:8292686-8293113	Cluster_2616	N	0	1	2	14	263
NC_058068.1:8294200-8294691	Cluster_2617	N	65	0	1254	0	0
NC_058068.1:8338588-8339042	Cluster_2618	N	34	10	109	8	41
NC_058068.1:8349913-8350338	Cluster_2619	N	22	21	33	6	26
NC_058068.1:8368562-8368992	Cluster_2620	N	22	229	5	1	1
NC_058068.1:8702333-8702758	Cluster_2621	N	48	1	63	51	39
NC_058068.1:8709483-8710223	Cluster_2622	N	655	2124	1466	456	3769
NC_058068.1:8861839-8862266	Cluster_2623	N	0	87	1	0	0
NC_058068.1:9022781-9023207	Cluster_2624	N	63	86	44	20	54
NC_058068.1:9024110-9024723	Cluster_2625	N	180	452	698	198	266
NC_058068.1:9036884-9037311	Cluster_2626	N	12	15	17	16	215
NC_058068.1:9039192-9039613	Cluster_2627	N	34	24	127	47	47
NC_058068.1:9039640-9040055	Cluster_2628	N	27	6	16	105	19
NC_058068.1:9060359-9060787	Cluster_2629	N	60	0	2	21	83
NC_058068.1:9068122-9068538	Cluster_2630	N	0	188	11	0	3
NC_058068.1:9119905-9120523	Cluster_2631	N	70	75	514	29	0
NC_058068.1:9165270-9165700	Cluster_2632	N	0	2	89	352	6
NC_058068.1:9232601-9233027	Cluster_2633	N	7	67	28	34	47
NC_058068.1:9241156-9241584	Cluster_2634	N	13	421	10	6	17
NC_058068.1:9242481-9242909	Cluster_2635	N	190	1	14	5	21
NC_058068.1:9260905-9261411	Cluster_2636	N	89	454	206	1	62
NC_058068.1:9262491-9262923	Cluster_2637	N	76	77	93	0	122
NC_058068.1:9313495-9314232	Cluster_2638	N	114	71	880	33	185
NC_058068.1:9349403-9349962	Cluster_2639	N	160	16	167	187	79
NC_058068.1:9351112-9352130	Cluster_2640	N	138	368	39	7	80
NC_058068.1:9418067-9418496	Cluster_2641	N	259	511	46	149	33
NC_058068.1:9418737-9419166	Cluster_2642	N	49	6	504	13	8
NC_058068.1:9419255-9419746	Cluster_2643	N	581	7	151	47	119
NC_058068.1:9420771-9421180	Cluster_2644	N	51	5	7	17	32
NC_058068.1:9426755-9427242	Cluster_2645	N	115	108	0	18	168
NC_058068.1:9437749-9438201	Cluster_2646	N	270	48	288	463	21
NC_058068.1:9439866-9440293	Cluster_2647	N	0	1	0	338	0
NC_058068.1:9447158-9447583	Cluster_2648	N	0	0	0	179	1
NC_058068.1:9468607-9469032	Cluster_2649	N	104	33	190	9	190
NC_058068.1:9474766-9475385	Cluster_2650	N	8	2076	72	96	81
NC_058068.1:9483006-9483615	Cluster_2651	N	39	2	0	3	780
NC_058068.1:9501590-9502112	Cluster_2652	N	80	119	95	45	20
NC_058068.1:9506703-9507284	Cluster_2653	N	59	3	307	4	15
NC_058068.1:9511765-9512201	Cluster_2654	N	17	9	6	385	3
NC_058068.1:9538304-9538732	Cluster_2655	N	14	0	91	19	32
NC_058068.1:9545376-9545804	Cluster_2656	N	14	0	93	25	38
NC_058068.1:9553703-9554130	Cluster_2657	N	2	0	2	6	88
NC_058068.1:9554879-9555306	Cluster_2658	N	0	1	2	2	88
NC_058068.1:9577873-9578449	Cluster_2659	N	48	82	82	41	99
NC_058068.1:9582428-9582860	Cluster_2660	N	50	1167	1	6	5
NC_058068.1:9593972-9594392	Cluster_2661	N	3	0	129	0	0
NC_058068.1:9595312-9596049	Cluster_2662	N	1058	2	2717	9	1
NC_058068.1:9596328-9596834	Cluster_2663	N	147	8	135	14	1
NC_058068.1:9597045-9597526	Cluster_2664	N	151	0	623	2	0
NC_058068.1:9631353-9632000	Cluster_2665	N	536	1	530	340	178
NC_058068.1:9726042-9726809	Cluster_2666	N	272	674	562	817	361
NC_058068.1:9728521-9729463	Cluster_2667	N	144	670	173	1795	108
NC_058068.1:9730132-9730707	Cluster_2668	N	109	113	465	406	173
NC_058068.1:9734908-9735336	Cluster_2669	N	148	0	2	0	4
NC_058068.1:9776475-9776939	Cluster_2670	N	21	33	36	112	16
NC_058068.1:9778486-9779500	Cluster_2671	N	30	51	86	1516	124
NC_058068.1:9873440-9873869	Cluster_2672	N	0	137	15	0	0
NC_058068.1:9938360-9938778	Cluster_2673	N	4	63	4	17	31
NC_058068.1:10012092-10012512	Cluster_2674	N	72	16	1	1	0
NC_058068.1:10026614-10027046	Cluster_2675	N	4	68	114	383	31
NC_058068.1:10134397-10134819	Cluster_2676	N	3	21	7	82	15
NC_058068.1:10186592-10187000	Cluster_2677	N	0	0	0	1	91
NC_058068.1:10222722-10223150	Cluster_2678	N	0	44	35	49	6
NC_058068.1:10313989-10314415	Cluster_2679	N	240	4	1	4	14
NC_058068.1:10347349-10347776	Cluster_2680	N	2	1	41	152	23
NC_058068.1:10366881-10367307	Cluster_2681	N	9	110	0	0	61
NC_058068.1:10394514-10395417	Cluster_2682	N	16	385	13	1	16
NC_058068.1:10457800-10458210	Cluster_2683	N	80	7	25	50	106
NC_058068.1:10461362-10461791	Cluster_2684	N	0	0	0	1366	0
NC_058068.1:10528887-10529312	Cluster_2685	N	98	29	176	73	99
NC_058068.1:10552258-10552686	Cluster_2686	N	46	31	109	6	60
NC_058068.1:10559222-10559653	Cluster_2687	N	3376	0	36	1	1
NC_058068.1:10600923-10601346	Cluster_2688	N	58	0	4	20	20
NC_058068.1:10619963-10620519	Cluster_2689	N	25	24	2	1283	933
NC_058068.1:10621192-10621824	Cluster_2690	N	2	43	46	113	107
NC_058068.1:10709810-10710223	Cluster_2691	N	29	7	41	1	35
NC_058068.1:10722276-10722848	Cluster_2692	N	51	53	178	40	85
NC_058068.1:10837892-10838320	Cluster_2693	N	0	59	163	3	0
NC_058068.1:10863007-10863436	Cluster_2694	N	156	0	2	8	4
NC_058068.1:10903233-10903664	Cluster_2695	N	0	543	1	0	5
NC_058068.1:10907436-10907861	Cluster_2696	N	107	19	213	62	123
NC_058068.1:10907878-10908423	Cluster_2697	N	271	200	10	12	151
NC_058068.1:10913968-10914368	Cluster_2698	N	81	150	11	2	3
NC_058068.1:10920082-10923186	Cluster_2699	N	192	6193	466	257	149
NC_058068.1:10923310-10925625	Cluster_2700	N	172	2047	237	846	181
NC_058068.1:10925636-10926054	Cluster_2701	N	4	188	9	20	5
NC_058068.1:10926852-10927354	Cluster_2702	N	36	0	0	238	349
NC_058068.1:10973192-10974080	Cluster_2703	N	22	3409	58	0	44
NC_058068.1:10984921-10985348	Cluster_2704	N	19	83	48	88	44
NC_058068.1:10989523-10990048	Cluster_2705	N	100	68	50	80	64
NC_058068.1:10992344-10992753	Cluster_2706	N	44	15	12	82	3
NC_058068.1:11078079-11078507	Cluster_2707	N	36	45	37	0	3
NC_058068.1:11079216-11079668	Cluster_2708	N	35	65	4	13	204
NC_058068.1:11096197-11096603	Cluster_2709	N	77	5	0	25	3
NC_058068.1:11144636-11145088	Cluster_2710	N	3	621	602	596	3427
NC_058068.1:11166909-11167326	Cluster_2711	N	3	0	912	14	492
NC_058068.1:11261013-11261454	Cluster_2712	N	116	2	143	40	23
NC_058068.1:11264344-11264768	Cluster_2713	N	56	2	0	27	5
NC_058068.1:11265039-11266432	Cluster_2714	N	928	314	1049	935	296
NC_058068.1:11267578-11268527	Cluster_2715	N	115	606	676	53	206
NC_058068.1:11315994-11316422	Cluster_2716	N	2	7	3	158	2
NC_058068.1:11323686-11324189	Cluster_2717	N	156	170	383	624	617
NC_058068.1:11342814-11343230	Cluster_2718	N	58	6	25	17	61
NC_058068.1:11343324-11344499	Cluster_2719	N	226	28	385	88	361
NC_058068.1:11345584-11346143	Cluster_2720	N	107	1	3630	19	240
NC_058068.1:11490763-11491189	Cluster_2721	N	2	41	0	23	156
NC_058068.1:11523174-11524050	Cluster_2722	N	666	568	820	315	706
NC_058068.1:11624770-11625182	Cluster_2723	N	45	25	5	23	12
NC_058068.1:11734177-11734586	Cluster_2724	N	0	0	85	1	0
NC_058068.1:11746732-11747150	Cluster_2725	N	111	28	22	72	90
NC_058068.1:11788661-11789090	Cluster_2726	N	14	134	340	0	239
NC_058068.1:11803335-11803763	Cluster_2727	N	2	11	0	285	3
NC_058068.1:11811064-11812351	Cluster_2728	N	16	130	350	224	400
NC_058068.1:11812634-11813064	Cluster_2729	N	9	12	103	0	1
NC_058068.1:11846892-11847321	Cluster_2730	N	0	598	8	1	0
NC_058068.1:11847471-11848054	Cluster_2731	N	1	254	384	32	127
NC_058068.1:11908718-11909750	Cluster_2732	N	169	998	3979	3	1068
NC_058068.1:11909785-11910215	Cluster_2733	N	231	14	22	673	0
NC_058068.1:11913272-11913810	Cluster_2734	N	307	62	174	84	76
NC_058068.1:11914380-11914840	Cluster_2735	N	130	84	37	131	171
NC_058068.1:11914952-11915379	Cluster_2736	N	44	10	47	84	19
NC_058068.1:11916246-11916947	Cluster_2737	N	434	0	58	890	2
NC_058068.1:11958735-11959181	Cluster_2738	N	55	146	48	478	0
NC_058068.1:11960677-11961147	Cluster_2739	N	239	341	657	43	125
NC_058068.1:11970744-11971171	Cluster_2740	N	60	50	0	37	0
NC_058068.1:12032158-12032658	Cluster_2741	N	183	26	144	62	63
NC_058068.1:12057024-12057584	Cluster_2742	N	233	316	372	307	458
NC_058068.1:12079188-12079597	Cluster_2743	N	3	64	0	1	15
NC_058068.1:12097612-12098094	Cluster_2744	N	49	153	59	14	0
NC_058068.1:12156139-12156562	Cluster_2745	N	90	1	0	1	0
NC_058068.1:12159585-12160015	Cluster_2746	N	57	34	38	0	136
NC_058068.1:12161734-12162238	Cluster_2747	N	196	0	57	1	269
NC_058068.1:12164928-12165353	Cluster_2748	N	22	84	6	30	92
NC_058068.1:12165728-12166157	Cluster_2749	N	47	258	15	289	26
NC_058068.1:12176100-12176863	Cluster_2750	N	666	8	0	76	161
NC_058068.1:12177317-12177746	Cluster_2751	N	230	116	101	0	209
NC_058068.1:12179652-12180509	Cluster_2752	N	193	11	16	102	75
NC_058068.1:12185789-12186213	Cluster_2753	N	69	52	17	21	65
NC_058068.1:12212975-12213569	Cluster_2754	N	12	988	212	109	0
NC_058068.1:12214214-12214646	Cluster_2755	N	3	38	515	58	0
NC_058068.1:12217649-12218487	Cluster_2756	N	122	177	427	11	206
NC_058068.1:12222475-12222897	Cluster_2757	N	37	173	0	3	2
NC_058068.1:12238421-12238855	Cluster_2758	N	78	4	147	80	95
NC_058068.1:12246030-12246458	Cluster_2759	N	157	15	1	0	1
NC_058068.1:12267110-12267911	Cluster_2760	N	21	9	35	144	197
NC_058068.1:12275798-12276224	Cluster_2761	N	56	0	91	0	1
NC_058068.1:12347886-12348312	Cluster_2762	N	25	51	6	29	10
NC_058068.1:12365855-12366274	Cluster_2763	N	89	0	0	3	41
NC_058068.1:12374335-12374762	Cluster_2764	N	14	58	14	80	3
NC_058068.1:12375062-12375490	Cluster_2765	N	38	0	0	136	18
NC_058068.1:12406257-12406692	Cluster_2766	N	4913	7	107337	28	4097
NC_058068.1:12407264-12407672	Cluster_2767	N	11	1	149	3	3
NC_058068.1:12407967-12408400	Cluster_2768	N	95	33	326	9	27
NC_058068.1:12408880-12409307	Cluster_2769	N	63	4	192	4	0
NC_058068.1:12409334-12409796	Cluster_2770	N	179	58	572	17	18
NC_058068.1:12410154-12410596	Cluster_2771	N	75	11	355	9	24
NC_058068.1:12410859-12411287	Cluster_2772	N	30	1	153	1	9
NC_058068.1:12413483-12413916	Cluster_2773	N	5001	8	33	21	3962
NC_058068.1:12482150-12482577	Cluster_2774	N	172	0	390	2	177
NC_058068.1:12529712-12530385	Cluster_2775	N	17	700	48	304	3568
NC_058068.1:12547483-12547883	Cluster_2776	N	23	13	24	6	111
NC_058068.1:12548544-12549053	Cluster_2777	N	18	4	11	24	430
NC_058068.1:12549173-12549582	Cluster_2778	N	2	0	13	9	104
NC_058068.1:12549940-12550348	Cluster_2779	N	21	9	20	16	219
NC_058068.1:12555599-12556029	Cluster_2780	N	0	25	6	1283	268
NC_058068.1:12571758-12572186	Cluster_2781	N	2	154	5	0	21
NC_058068.1:12575904-12576330	Cluster_2782	N	0	3	0	171	0
NC_058068.1:12582295-12582724	Cluster_2783	N	4	13	58	50	34
NC_058068.1:12591006-12591432	Cluster_2784	N	25	0	2	1	131
NC_058068.1:12591569-12591992	Cluster_2785	N	65	1	0	0	92
NC_058068.1:12592321-12592870	Cluster_2786	N	661	18	0	2	741
NC_058068.1:12596039-12596466	Cluster_2787	N	186	2	2	1	2
NC_058068.1:12598415-12598823	Cluster_2788	N	99	10	9	1	4
NC_058068.1:12613776-12614204	Cluster_2789	N	0	2	155	0	1
NC_058068.1:12634658-12635073	Cluster_2790	N	13	1	2	94	23
NC_058068.1:12635125-12635551	Cluster_2791	N	18	136	1	67	92
NC_058068.1:12640778-12641208	Cluster_2792	N	17	11	226	41	3
NC_058068.1:12646761-12647186	Cluster_2793	N	98	52	64	32	22
NC_058068.1:12647797-12648427	Cluster_2794	N	36	43	2380	5042	29
NC_058068.1:12648488-12648935	Cluster_2795	N	7	1	191	332	0
NC_058068.1:12650615-12651176	Cluster_2796	N	856	126	273	30	136
NC_058068.1:12651187-12651603	Cluster_2797	N	71	80	32	8	18
NC_058068.1:12655684-12656131	Cluster_2798	N	4	544	0	2	1
NC_058068.1:12657036-12657463	Cluster_2799	N	112	144	68	16	16
NC_058068.1:12661713-12662141	Cluster_2800	N	64	13	181	50	54
NC_058068.1:12665105-12665615	Cluster_2801	N	0	4203	278	950	50
NC_058068.1:12668377-12669066	Cluster_2802	N	139	71	140	20	88
NC_058068.1:12669360-12670314	Cluster_2803	N	171	270	121	106	121
NC_058068.1:12681226-12681646	Cluster_2804	N	65	81	101	36	46
NC_058068.1:12681673-12682230	Cluster_2805	N	163	309	226	21	63
NC_058068.1:12685179-12685610	Cluster_2806	N	141	82	154	115	93
NC_058068.1:12695943-12696529	Cluster_2807	N	286	4	3	2	19
NC_058068.1:12700467-12700896	Cluster_2808	N	21	166	234	0	134
NC_058068.1:12700911-12701855	Cluster_2809	N	7	395	288	3	243
NC_058068.1:12708731-12709159	Cluster_2810	N	16	0	0	71	31
NC_058068.1:12712911-12713339	Cluster_2811	N	57	2	174	0	23
NC_058068.1:12713787-12714433	Cluster_2812	N	279	3	170	0	408
NC_058068.1:12717218-12717653	Cluster_2813	N	154	91	1	21	80
NC_058068.1:12727767-12728503	Cluster_2814	N	596	501	607	2	167
NC_058068.1:12731362-12731790	Cluster_2815	N	29	55	3	10	118
NC_058068.1:12732323-12733913	Cluster_2816	N	575	935	1131	11	291
NC_058068.1:12734712-12737005	Cluster_2817	N	5938	12148	2105	6014	823
NC_058068.1:12737057-12737582	Cluster_2818	N	4983	9346	13107	10947	5128
NC_058068.1:12749564-12750182	Cluster_2819	N	6417	10330	1	10101	793
NC_058068.1:12751683-12752111	Cluster_2820	N	139	112	0	9	0
NC_058068.1:12753288-12753933	Cluster_2821	N	262	99	0	85	0
NC_058068.1:12755500-12755927	Cluster_2822	N	9	20	0	219	0
NC_058068.1:12757891-12758318	Cluster_2823	N	10	152	7	7	5
NC_058068.1:12761121-12761550	Cluster_2824	N	0	245	0	7	60
NC_058068.1:12762055-12762484	Cluster_2825	N	31	111	11	119	77
NC_058068.1:12763196-12763987	Cluster_2826	N	1112	4409	699	238	155
NC_058068.1:12766563-12767498	Cluster_2827	N	3	1	726	9	0
NC_058068.1:12770358-12770766	Cluster_2828	N	4	92	6	44	20
NC_058068.1:12770788-12771197	Cluster_2829	N	3	54	4	18	38
NC_058068.1:12772391-12772817	Cluster_2830	N	3	42	2	31	188
NC_058068.1:12772865-12773292	Cluster_2831	N	5	199	0	32	132
NC_058068.1:12773360-12774035	Cluster_2832	N	16	477	10	58	1186
NC_058068.1:12774191-12775472	Cluster_2833	N	28	32	113	46	7966
NC_058068.1:12775477-12776179	Cluster_2834	N	30	6	63	38	1938
NC_058068.1:12776541-12777146	Cluster_2835	N	11	2	65	11	1174
NC_058068.1:12779936-12780632	Cluster_2836	N	11	7	528	14	8
NC_058068.1:12789271-12789675	Cluster_2837	N	0	46	1	83	31
NC_058068.1:12791891-12792400	Cluster_2838	N	583	6	430	3	0
NC_058068.1:12793186-12793607	Cluster_2839	N	27	50	47	20	9
NC_058068.1:12796222-12796650	Cluster_2840	N	22	66	75	19	48
NC_058068.1:12797653-12798853	Cluster_2841	N	3626	2505	64	528	3300
NC_058068.1:12798884-12799681	Cluster_2842	N	1413	470	192	24	432
NC_058068.1:12799810-12800222	Cluster_2843	N	5	5	64	4	18
NC_058068.1:12801006-12801432	Cluster_2844	N	7	2	142	14	2
NC_058068.1:12802471-12802992	Cluster_2845	N	114	85	350	94	0
NC_058068.1:12804235-12805200	Cluster_2846	N	570	83	1797	169	3
NC_058068.1:12807426-12808227	Cluster_2847	N	278	205	409	160	2
NC_058068.1:12809261-12809853	Cluster_2848	N	3654	11	1099	8	185
NC_058068.1:12809872-12811106	Cluster_2849	N	842	8	4492	13	154
NC_058068.1:12816485-12816950	Cluster_2850	N	227	30	141	12	8
NC_058068.1:12816998-12817527	Cluster_2851	N	12115	189	5011	18	27
NC_058068.1:12817932-12818544	Cluster_2852	N	10895	413	3958	48	33
NC_058068.1:12831126-12832484	Cluster_2853	N	55	3115	61	36	21
NC_058068.1:12845783-12846211	Cluster_2854	N	0	25	66	29	7
NC_058068.1:12850177-12850600	Cluster_2855	N	38	60	62	12	10
NC_058068.1:12859857-12860401	Cluster_2856	N	491	60	181	497	250
NC_058068.1:12863962-12864391	Cluster_2857	N	51	37	88	20	12
NC_058068.1:12880215-12881169	Cluster_2858	N	47	39	1862	92	1961
NC_058068.1:12881675-12882154	Cluster_2859	N	38	15	77	14	98
NC_058068.1:12897630-12898097	Cluster_2860	N	1343	72	506	237	284
NC_058068.1:12906788-12907216	Cluster_2861	N	63	214	3	2	20
NC_058068.1:12949705-12950451	Cluster_2862	N	643	1	676	880	39
NC_058068.1:12951567-12952508	Cluster_2863	N	798	11	32	681	15
NC_058068.1:12965059-12965487	Cluster_2864	N	27	234	125	5	6
NC_058068.1:12965494-12965922	Cluster_2865	N	42	567	29	3	109
NC_058068.1:12967943-12968368	Cluster_2866	N	25	23	13	76	26
NC_058068.1:12968510-12969198	Cluster_2867	N	521	1812	138	1760	1595
NC_058068.1:12969605-12970260	Cluster_2868	N	72	1	9064	232	24
NC_058068.1:12972112-12972561	Cluster_2869	N	12	3	1257	546	40
NC_058068.1:12977613-12978410	Cluster_2870	N	8	1	814	146	11
NC_058068.1:12979699-12980583	Cluster_2871	N	41	2	3283	3386	775
NC_058068.1:12986367-12987300	Cluster_2872	N	541	880	523	39	911
NC_058068.1:12987374-12987802	Cluster_2873	N	145	270	9	2	7
NC_058068.1:12988245-12988673	Cluster_2874	N	336	44	51	2	3
NC_058068.1:13057671-13058224	Cluster_2875	N	40	77	86	60	74
NC_058068.1:13059090-13059534	Cluster_2876	N	48	164	145	112	180
NC_058068.1:13060318-13060729	Cluster_2877	N	21	55	39	48	57
NC_058068.1:13062016-13062463	Cluster_2878	N	24	140	106	66	31
NC_058068.1:13063228-13063667	Cluster_2879	N	22	44	185	114	95
NC_058068.1:13068551-13068979	Cluster_2880	N	30	26	10	159	27
NC_058068.1:13069845-13070270	Cluster_2881	N	28	11	30	175	33
NC_058068.1:13070289-13070692	Cluster_2882	N	13	26	9	109	37
NC_058068.1:13080935-13082439	Cluster_2883	N	360	602	579	677	378
NC_058068.1:13082573-13084379	Cluster_2884	N	822	1272	2526	1715	1272
