# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Pmea_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Pmea_lncRNA_counts_matrix.txt" "RNA-POC-47.sorted.bam" "RNA-POC-48.sorted.bam" "RNA-POC-50.sorted.bam" "RNA-POC-53.sorted.bam" "RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POC-47.sorted.bam	RNA-POC-48.sorted.bam	RNA-POC-50.sorted.bam	RNA-POC-53.sorted.bam	RNA-POC-57.sorted.bam
lncRNA_1593	Pocillopora_meandrina_HIv1___Sc0000002	3811204	3811903	+	700	0	65	52	20	0
lncRNA_1594	Pocillopora_meandrina_HIv1___Sc0000002	3812685	3812939	+	255	0	0	5	0	37
lncRNA_1595	Pocillopora_meandrina_HIv1___Sc0000002	4048742	4049073	+	332	64	34	14	13	0
lncRNA_1596	Pocillopora_meandrina_HIv1___Sc0000002	4302489	4302713	+	225	0	54	0	15	0
lncRNA_1597	Pocillopora_meandrina_HIv1___Sc0000002	4479448	4480304	+	857	14	57	72	90	20
lncRNA_1598	Pocillopora_meandrina_HIv1___Sc0000002	4485141	4485378	+	238	0	21	8	10	0
lncRNA_1599	Pocillopora_meandrina_HIv1___Sc0000002	4911016	4911313	+	298	0	33	15	0	0
lncRNA_1600	Pocillopora_meandrina_HIv1___Sc0000002	4914854	4915129	+	276	0	0	0	2	26
lncRNA_1601	Pocillopora_meandrina_HIv1___Sc0000002	4916034	4916510	+	477	0	3	47	17	24
lncRNA_1602	Pocillopora_meandrina_HIv1___Sc0000002	4990765	4991055	+	291	31	21	33	18	6
lncRNA_1603	Pocillopora_meandrina_HIv1___Sc0000002	5001395	5001702	+	308	13	2	11	0	22
lncRNA_1604	Pocillopora_meandrina_HIv1___Sc0000002	5002570	5002772	+	203	6	20	0	2	0
lncRNA_1605	Pocillopora_meandrina_HIv1___Sc0000002	5166424	5166813	+	390	0	33	5	0	86
lncRNA_1606	Pocillopora_meandrina_HIv1___Sc0000002	5181465	5182163	+	699	12	45	44	122	0
lncRNA_1607	Pocillopora_meandrina_HIv1___Sc0000002	5648234	5648552	+	319	0	0	0	0	0
lncRNA_1608	Pocillopora_meandrina_HIv1___Sc0000002	5699331	5699768	+	438	0	46	68	0	0
lncRNA_1609	Pocillopora_meandrina_HIv1___Sc0000002	5705223	5705499	+	277	0	19	0	0	1
lncRNA_1610	Pocillopora_meandrina_HIv1___Sc0000002	5777983	5778209	+	227	0	14	9	5	0
lncRNA_1611	Pocillopora_meandrina_HIv1___Sc0000002	5857301	5857682	+	382	0	0	17	60	0
lncRNA_1612	Pocillopora_meandrina_HIv1___Sc0000002	5866180	5866403	+	224	18	0	0	0	0
lncRNA_1613	Pocillopora_meandrina_HIv1___Sc0000002	5869978	5870622	+	645	2	0	45	33	0
lncRNA_1614	Pocillopora_meandrina_HIv1___Sc0000002	5918825	5919340	+	516	0	32	64	33	0
lncRNA_1615	Pocillopora_meandrina_HIv1___Sc0000002	5947006	5947380	+	375	30	4	20	15	0
lncRNA_1616	Pocillopora_meandrina_HIv1___Sc0000002	5949003	5949272	+	270	3	6	22	19	6
lncRNA_1617	Pocillopora_meandrina_HIv1___Sc0000002	5951101	5951302	+	202	4	0	0	9	24
lncRNA_1618	Pocillopora_meandrina_HIv1___Sc0000002	5995669	5996241	+	573	20	12	9	28	32
lncRNA_1619	Pocillopora_meandrina_HIv1___Sc0000002	6002056	6002259	+	204	0	0	0	20	0
lncRNA_1620	Pocillopora_meandrina_HIv1___Sc0000002	6039056	6039425	+	370	0	8	14	31	7
lncRNA_1621	Pocillopora_meandrina_HIv1___Sc0000002	6115011	6115968	+	958	6	35	94	75	0
lncRNA_1622	Pocillopora_meandrina_HIv1___Sc0000002	6125668	6125999	+	332	3	28	0	4	0
lncRNA_1623	Pocillopora_meandrina_HIv1___Sc0000002	6146465	6146855	+	391	1	0	32	0	2
lncRNA_1624	Pocillopora_meandrina_HIv1___Sc0000002	6147223	6147740	+	518	0	25	45	35	0
lncRNA_1625	Pocillopora_meandrina_HIv1___Sc0000002	6191650	6192035	+	386	0	3	41	16	0
lncRNA_1626	Pocillopora_meandrina_HIv1___Sc0000002	6194198	6194599	+	402	0	30	14	28	0
lncRNA_1627	Pocillopora_meandrina_HIv1___Sc0000002	6439083	6439618	+	536	0	0	51	54	0
lncRNA_1628	Pocillopora_meandrina_HIv1___Sc0000002	6808129	6808860	+	732	8	67	49	0	29
lncRNA_1629	Pocillopora_meandrina_HIv1___Sc0000002	6847698	6848312	+	615	4	3	7	252	66
lncRNA_1630	Pocillopora_meandrina_HIv1___Sc0000002	6849326	6849530	+	205	0	16	0	22	0
lncRNA_1631	Pocillopora_meandrina_HIv1___Sc0000002	6944316	6944582	+	267	21	0	4	0	0
lncRNA_1632	Pocillopora_meandrina_HIv1___Sc0000002	7034232	7034456	+	225	0	40	12	22	0
lncRNA_1633	Pocillopora_meandrina_HIv1___Sc0000002	7039136	7039886	+	751	38	95	76	32	38
lncRNA_1634	Pocillopora_meandrina_HIv1___Sc0000002	7068108	7068366	+	259	0	0	6	5	24
lncRNA_1635	Pocillopora_meandrina_HIv1___Sc0000002	7150578	7151091	+	514	6	35	41	5	2
lncRNA_1636	Pocillopora_meandrina_HIv1___Sc0000002	7155739	7156224	+	486	2	72	120	32	0
lncRNA_1637	Pocillopora_meandrina_HIv1___Sc0000002	7162483	7163016	+	534	0	12	62	4	0
lncRNA_1638	Pocillopora_meandrina_HIv1___Sc0000002	7383435	7383752	+	318	2	0	33	13	51
lncRNA_1639	Pocillopora_meandrina_HIv1___Sc0000002	7416067	7416306	+	240	18	0	0	0	0
lncRNA_1640	Pocillopora_meandrina_HIv1___Sc0000002	7457736	7458309	+	574	0	2	61	40	0
lncRNA_1641	Pocillopora_meandrina_HIv1___Sc0000002	7459481	7459937	+	457	37	0	23	25	0
lncRNA_1642	Pocillopora_meandrina_HIv1___Sc0000002	7553268	7553644	+	377	0	0	0	50	0
lncRNA_1643	Pocillopora_meandrina_HIv1___Sc0000002	7554906	7555456	+	551	0	15	48	15	0
lncRNA_1644	Pocillopora_meandrina_HIv1___Sc0000002	7752585	7752980	+	396	1	29	0	0	0
lncRNA_1645	Pocillopora_meandrina_HIv1___Sc0000002	7940450	7940935	+	486	12	11	0	36	0
lncRNA_1646	Pocillopora_meandrina_HIv1___Sc0000002	7943182	7943498	+	317	0	0	0	0	0
lncRNA_1647	Pocillopora_meandrina_HIv1___Sc0000002	8031386	8031630	+	245	0	5	10	0	0
lncRNA_1648	Pocillopora_meandrina_HIv1___Sc0000002	8058791	8059022	+	232	8	6	2	26	0
lncRNA_1649	Pocillopora_meandrina_HIv1___Sc0000002	8083511	8083788	+	278	0	45	8	22	1
lncRNA_1650	Pocillopora_meandrina_HIv1___Sc0000002	8085637	8085847	+	211	0	18	20	20	0
lncRNA_1651	Pocillopora_meandrina_HIv1___Sc0000002	8090928	8091193	+	266	0	0	6	38	0
lncRNA_1652	Pocillopora_meandrina_HIv1___Sc0000002	8140667	8141240	+	574	44	43	88	26	72
lncRNA_1653	Pocillopora_meandrina_HIv1___Sc0000002	8264028	8264287	+	260	0	0	0	32	0
lncRNA_1654	Pocillopora_meandrina_HIv1___Sc0000002	8266077	8266564	+	488	0	61	26	12	0
lncRNA_1655	Pocillopora_meandrina_HIv1___Sc0000002	8280132	8281491	+	1360	42	73	44	91	51
lncRNA_1656	Pocillopora_meandrina_HIv1___Sc0000002	8306011	8306258	+	248	22	0	0	0	14
lncRNA_1657	Pocillopora_meandrina_HIv1___Sc0000002	8374437	8376444	+	2008	0	6	121	8311	21
lncRNA_1658	Pocillopora_meandrina_HIv1___Sc0000002	8492228	8492494	+	267	30	0	0	0	0
lncRNA_1659	Pocillopora_meandrina_HIv1___Sc0000002	8537356	8537750	+	395	0	3	56	0	6
lncRNA_1660	Pocillopora_meandrina_HIv1___Sc0000002	8548558	8548879	+	322	0	1	61	13	0
lncRNA_1661	Pocillopora_meandrina_HIv1___Sc0000002	8639812	8640086	+	275	12	4	25	14	28
lncRNA_1662	Pocillopora_meandrina_HIv1___Sc0000002	8659149	8660186	+	1038	157	4	52	102	111
lncRNA_1663	Pocillopora_meandrina_HIv1___Sc0000002	8690326	8690541	+	216	0	20	0	6	0
lncRNA_1664	Pocillopora_meandrina_HIv1___Sc0000002	8691734	8692228	+	495	0	0	43	0	0
lncRNA_1665	Pocillopora_meandrina_HIv1___Sc0000002	8694632	8695556	+	925	0	10	99	16	16
lncRNA_1666	Pocillopora_meandrina_HIv1___Sc0000002	8718364	8718710	+	347	0	34	68	12	6
lncRNA_1667	Pocillopora_meandrina_HIv1___Sc0000002	8755447	8755699	+	253	0	1	20	0	0
lncRNA_1668	Pocillopora_meandrina_HIv1___Sc0000002	8800665	8800977	+	313	30	0	0	3	4
lncRNA_1669	Pocillopora_meandrina_HIv1___Sc0000002	8996056	8998323	+	2268	698	112	908	938	55
lncRNA_1670	Pocillopora_meandrina_HIv1___Sc0000002	9013141	9014183	+	1043	0	0	2	0	0
lncRNA_1671	Pocillopora_meandrina_HIv1___Sc0000002	9016380	9016797	+	418	0	7	6	2	30
lncRNA_1672	Pocillopora_meandrina_HIv1___Sc0000002	9188386	9189221	+	836	16	65	3	10	61
lncRNA_1673	Pocillopora_meandrina_HIv1___Sc0000002	9215437	9215760	+	324	0	26	33	34	0
lncRNA_1674	Pocillopora_meandrina_HIv1___Sc0000002	9244714	9245077	+	364	0	23	6	44	0
lncRNA_1675	Pocillopora_meandrina_HIv1___Sc0000002	9316656	9317016	+	361	0	8	10	0	5
lncRNA_1676	Pocillopora_meandrina_HIv1___Sc0000002	9331349	9331624	+	276	30	200	1843	270	135
lncRNA_1677	Pocillopora_meandrina_HIv1___Sc0000002	9359014	9359292	+	279	181	156	154	181	132
lncRNA_1678	Pocillopora_meandrina_HIv1___Sc0000002	9616141	9616394	+	254	4	20	33	18	61
lncRNA_1679	Pocillopora_meandrina_HIv1___Sc0000002	9803633	9805096	+	1464	40	0	100	0	192
lncRNA_1680	Pocillopora_meandrina_HIv1___Sc0000002	9899486	9899812	+	327	0	13	7	61	0
lncRNA_1681	Pocillopora_meandrina_HIv1___Sc0000002	9932294	9932680	+	387	0	3	11	14	25
lncRNA_1682	Pocillopora_meandrina_HIv1___Sc0000002	10562624	10562892	+	269	0	21	22	0	1
lncRNA_1683	Pocillopora_meandrina_HIv1___Sc0000002	10564448	10564779	+	332	0	0	34	0	4
lncRNA_1684	Pocillopora_meandrina_HIv1___Sc0000002	10738086	10738309	+	224	0	0	22	0	0
lncRNA_1685	Pocillopora_meandrina_HIv1___Sc0000002	11095113	11095912	+	800	61	9	51	20	108
lncRNA_1686	Pocillopora_meandrina_HIv1___Sc0000002	11590074	11590425	+	352	17	0	3	4	46
lncRNA_1687	Pocillopora_meandrina_HIv1___Sc0000002	11600936	11601175	+	240	0	0	1	19	0
lncRNA_1688	Pocillopora_meandrina_HIv1___Sc0000002	11612883	11613165	+	283	19	15	4	8	4
lncRNA_1689	Pocillopora_meandrina_HIv1___Sc0000002	11613995	11614211	+	217	20	1	15	0	0
lncRNA_1690	Pocillopora_meandrina_HIv1___Sc0000002	11615810	11616050	+	241	16	37	0	1	3
lncRNA_1691	Pocillopora_meandrina_HIv1___Sc0000002	11858267	11858541	+	275	0	0	25	5	0
lncRNA_1692	Pocillopora_meandrina_HIv1___Sc0000002	11909854	11910462	+	609	12	14	66	35	0
lncRNA_1693	Pocillopora_meandrina_HIv1___Sc0000002	12099277	12099854	+	578	37	51	51	6	21
lncRNA_1694	Pocillopora_meandrina_HIv1___Sc0000002	12107549	12107782	+	234	0	2	44	0	0
lncRNA_1695	Pocillopora_meandrina_HIv1___Sc0000002	12123422	12123683	+	262	0	0	18	0	0
lncRNA_1696	Pocillopora_meandrina_HIv1___Sc0000002	12125273	12125507	+	235	0	0	1	3	28
lncRNA_1697	Pocillopora_meandrina_HIv1___Sc0000002	12235551	12235855	+	305	0	23	0	10	0
lncRNA_1698	Pocillopora_meandrina_HIv1___Sc0000002	12261850	12262184	+	335	0	0	39	2	0
lncRNA_1699	Pocillopora_meandrina_HIv1___Sc0000002	12316221	12316618	+	398	6	29	36	21	0
lncRNA_1700	Pocillopora_meandrina_HIv1___Sc0000002	12358103	12358405	+	303	0	0	0	28	0
lncRNA_1701	Pocillopora_meandrina_HIv1___Sc0000002	12479768	12480098	+	331	10	0	0	40	0
lncRNA_1702	Pocillopora_meandrina_HIv1___Sc0000002	12630459	12630867	+	409	0	33	55	44	0
lncRNA_1703	Pocillopora_meandrina_HIv1___Sc0000002	12738917	12740364	+	1448	43	24	102	71	30
lncRNA_1704	Pocillopora_meandrina_HIv1___Sc0000002	12753437	12753790	+	354	4	35	8	0	2
lncRNA_1705	Pocillopora_meandrina_HIv1___Sc0000002	12769518	12769736	+	219	0	0	0	0	12
lncRNA_1706	Pocillopora_meandrina_HIv1___Sc0000002	13111791	13112215	+	425	0	28	18	38	0
lncRNA_1707	Pocillopora_meandrina_HIv1___Sc0000002	13169245	13169646	+	402	4	39	0	2	20
lncRNA_1708	Pocillopora_meandrina_HIv1___Sc0000002	13467998	13468572	+	575	75	18	50	100	54
lncRNA_1709	Pocillopora_meandrina_HIv1___Sc0000002	13471934	13472300	+	367	0	28	16	31	1
lncRNA_1710	Pocillopora_meandrina_HIv1___Sc0000002	13684366	13684752	+	387	22	22	37	26	1
lncRNA_1711	Pocillopora_meandrina_HIv1___Sc0000002	13728005	13728230	+	226	0	0	0	20	0
lncRNA_1712	Pocillopora_meandrina_HIv1___Sc0000002	13733764	13734755	+	992	54	43	135	109	46
lncRNA_1713	Pocillopora_meandrina_HIv1___Sc0000002	14006018	14006442	+	425	13	2	15	10	1
lncRNA_1714	Pocillopora_meandrina_HIv1___Sc0000002	14058083	14058334	+	252	28	0	4	0	0
lncRNA_1715	Pocillopora_meandrina_HIv1___Sc0000002	14078004	14081167	+	3164	67	277	309	140	788
lncRNA_1716	Pocillopora_meandrina_HIv1___Sc0000002	14092564	14092888	+	325	0	0	34	2	0
lncRNA_1717	Pocillopora_meandrina_HIv1___Sc0000002	14099584	14100459	+	876	10	48	111	71	6
lncRNA_1718	Pocillopora_meandrina_HIv1___Sc0000002	14102179	14102407	+	229	0	0	6	0	14
lncRNA_1719	Pocillopora_meandrina_HIv1___Sc0000002	14105648	14105907	+	260	0	0	13	34	12
lncRNA_1720	Pocillopora_meandrina_HIv1___Sc0000002	14109549	14109859	+	311	0	10	37	10	5
lncRNA_1721	Pocillopora_meandrina_HIv1___Sc0000002	14287372	14288451	+	1080	58	85	50	141	78
lncRNA_1722	Pocillopora_meandrina_HIv1___Sc0000002	14289569	14289832	+	264	4	6	0	35	10
lncRNA_1723	Pocillopora_meandrina_HIv1___Sc0000002	14486717	14487135	+	419	2	6	38	44	0
lncRNA_1724	Pocillopora_meandrina_HIv1___Sc0000002	14856182	14856533	+	352	2	7	36	22	17
lncRNA_1725	Pocillopora_meandrina_HIv1___Sc0000002	14858950	14859169	+	220	4	7	0	0	3
lncRNA_1726	Pocillopora_meandrina_HIv1___Sc0000002	14915076	14915352	+	277	19	25	23	15	16
lncRNA_1727	Pocillopora_meandrina_HIv1___Sc0000002	14952702	14953586	+	885	8	66	5	44	1
lncRNA_1728	Pocillopora_meandrina_HIv1___Sc0000002	14956848	14958101	+	1254	556	45	41	42	18
lncRNA_1729	Pocillopora_meandrina_HIv1___Sc0000002	15014903	15015171	+	269	0	22	0	2	0
lncRNA_1730	Pocillopora_meandrina_HIv1___Sc0000002	15133870	15134302	+	433	26	19	21	32	27
lncRNA_1731	Pocillopora_meandrina_HIv1___Sc0000002	15134577	15134887	+	311	27	23	16	32	6
lncRNA_1732	Pocillopora_meandrina_HIv1___Sc0000002	15208840	15209093	+	254	6	4	7	8	5
lncRNA_1733	Pocillopora_meandrina_HIv1___Sc0000002	15224261	15224744	+	484	0	14	58	30	2
lncRNA_1734	Pocillopora_meandrina_HIv1___Sc0000002	15236605	15236956	+	352	14	0	0	26	0
lncRNA_1735	Pocillopora_meandrina_HIv1___Sc0000002	15244966	15245966	+	1001	7	2	93	25	33
lncRNA_1736	Pocillopora_meandrina_HIv1___Sc0000002	15292402	15292807	+	406	0	0	0	32	0
lncRNA_1737	Pocillopora_meandrina_HIv1___Sc0000002	15397191	15397568	+	378	11	12	0	5	26
lncRNA_1738	Pocillopora_meandrina_HIv1___Sc0000002	15400207	15400788	+	582	9	36	29	30	45
lncRNA_1739	Pocillopora_meandrina_HIv1___Sc0000002	15407635	15408058	+	424	12	33	24	61	60
lncRNA_1740	Pocillopora_meandrina_HIv1___Sc0000002	15539013	15539278	+	266	0	0	4	25	0
lncRNA_1741	Pocillopora_meandrina_HIv1___Sc0000002	15556562	15557044	+	483	0	34	54	48	0
lncRNA_1742	Pocillopora_meandrina_HIv1___Sc0000002	15664067	15664469	+	403	0	9	7	29	0
lncRNA_1743	Pocillopora_meandrina_HIv1___Sc0000002	15666370	15666981	+	612	10	16	8	25	38
lncRNA_1744	Pocillopora_meandrina_HIv1___Sc0000002	15673163	15673444	+	282	4	32	11	16	4
lncRNA_1745	Pocillopora_meandrina_HIv1___Sc0000002	15716028	15716355	+	328	2	34	25	21	0
lncRNA_1746	Pocillopora_meandrina_HIv1___Sc0000002	15751159	15751560	+	402	0	9	25	41	0
lncRNA_1747	Pocillopora_meandrina_HIv1___Sc0000002	15772064	15772476	+	413	14	11	0	8	0
lncRNA_1748	Pocillopora_meandrina_HIv1___Sc0000002	16049965	16050203	+	239	29	2	30	0	6
lncRNA_1749	Pocillopora_meandrina_HIv1___Sc0000002	16055872	16057503	+	1632	432	12	206	190	154
lncRNA_1750	Pocillopora_meandrina_HIv1___Sc0000002	16157166	16157565	+	400	0	38	16	13	0
lncRNA_1751	Pocillopora_meandrina_HIv1___Sc0000002	16209780	16210046	+	267	0	35	12	18	0
lncRNA_1752	Pocillopora_meandrina_HIv1___Sc0000002	16311806	16312042	+	237	6	20	22	4	5
lncRNA_1753	Pocillopora_meandrina_HIv1___Sc0000002	16333055	16333390	+	336	14	0	8	0	24
lncRNA_1754	Pocillopora_meandrina_HIv1___Sc0000002	16348538	16348981	+	444	0	14	45	61	0
lncRNA_1755	Pocillopora_meandrina_HIv1___Sc0000002	16371423	16371695	+	273	0	0	14	18	0
lncRNA_1756	Pocillopora_meandrina_HIv1___Sc0000002	16404987	16405238	+	252	3	0	6	22	0
lncRNA_1757	Pocillopora_meandrina_HIv1___Sc0000002	16406408	16406609	+	202	0	22	0	0	0
lncRNA_1758	Pocillopora_meandrina_HIv1___Sc0000002	16409408	16410057	+	650	27	1	27	42	12
lncRNA_1759	Pocillopora_meandrina_HIv1___Sc0000002	16443708	16443926	+	219	0	0	50	1	5
lncRNA_1760	Pocillopora_meandrina_HIv1___Sc0000002	16642398	16642633	+	236	2	13	2	19	0
lncRNA_1761	Pocillopora_meandrina_HIv1___Sc0000002	16666604	16666824	+	221	0	0	0	0	3
lncRNA_1762	Pocillopora_meandrina_HIv1___Sc0000002	16667674	16668130	+	457	0	11	21	23	0
lncRNA_1763	Pocillopora_meandrina_HIv1___Sc0000002	16691708	16692129	+	422	0	0	0	0	0
lncRNA_1764	Pocillopora_meandrina_HIv1___Sc0000002	16697389	16697945	+	557	0	0	60	2	4
lncRNA_1765	Pocillopora_meandrina_HIv1___Sc0000002	16765340	16765876	+	537	0	12	40	60	0
lncRNA_1766	Pocillopora_meandrina_HIv1___Sc0000002	16859912	16860119	+	208	0	5	0	135	0
lncRNA_1767	Pocillopora_meandrina_HIv1___Sc0000002	16860451	16860710	+	260	3	0	0	169	3
lncRNA_1768	Pocillopora_meandrina_HIv1___Sc0000002	16905046	16905769	+	724	15	6	1	8	12
lncRNA_1769	Pocillopora_meandrina_HIv1___Sc0000002	16906898	16907648	+	751	0	42	11	27	6
lncRNA_1770	Pocillopora_meandrina_HIv1___Sc0000002	16923486	16923896	+	411	0	0	35	0	1
lncRNA_1771	Pocillopora_meandrina_HIv1___Sc0000002	16933691	16934005	+	315	0	12	7	5	5
lncRNA_1772	Pocillopora_meandrina_HIv1___Sc0000002	16943752	16944110	+	359	0	34	32	35	0
lncRNA_1773	Pocillopora_meandrina_HIv1___Sc0000002	16953618	16953875	+	258	0	6	16	30	0
lncRNA_1774	Pocillopora_meandrina_HIv1___Sc0000002	16967806	16968396	+	591	0	0	0	11	54
lncRNA_1775	Pocillopora_meandrina_HIv1___Sc0000002	17017637	17018038	+	402	0	113	0	13	3
lncRNA_1776	Pocillopora_meandrina_HIv1___Sc0000002	17222922	17223127	+	206	0	30	19	3	0
lncRNA_1777	Pocillopora_meandrina_HIv1___Sc0000002	17287797	17290331	+	2535	0	0	0	0	0
lncRNA_1778	Pocillopora_meandrina_HIv1___Sc0000002	17300790	17301614	+	825	44	42	51	279	136
lncRNA_1779	Pocillopora_meandrina_HIv1___Sc0000002	17301927	17302434	+	508	11	35	4	11	26
lncRNA_1780	Pocillopora_meandrina_HIv1___Sc0000002	17319114	17319356	+	243	0	7	5	24	0
lncRNA_1781	Pocillopora_meandrina_HIv1___Sc0000002	17455127	17455350	+	224	26	4	0	0	0
lncRNA_1782	Pocillopora_meandrina_HIv1___Sc0000002	17458009	17458392	+	384	33	4	0	2	0
lncRNA_1783	Pocillopora_meandrina_HIv1___Sc0000002	17472386	17473023	+	638	1	8	59	16	0
lncRNA_1784	Pocillopora_meandrina_HIv1___Sc0000002	17510560	17510865	+	306	0	0	28	7	0
lncRNA_1785	Pocillopora_meandrina_HIv1___Sc0000002	17630126	17630767	+	642	0	103	20	0	0
lncRNA_1786	Pocillopora_meandrina_HIv1___Sc0000002	17789844	17790269	+	426	0	26	10	60	0
lncRNA_1787	Pocillopora_meandrina_HIv1___Sc0000002	17924444	17924762	+	319	0	0	37	17	2
lncRNA_1788	Pocillopora_meandrina_HIv1___Sc0000002	17938324	17938766	+	443	0	0	0	0	51
lncRNA_1789	Pocillopora_meandrina_HIv1___Sc0000002	18119692	18119919	+	228	0	31	15	0	0
lncRNA_1790	Pocillopora_meandrina_HIv1___Sc0000002	18135665	18136079	+	415	0	36	3	22	0
lncRNA_1791	Pocillopora_meandrina_HIv1___Sc0000002	18170244	18170938	+	695	2	26	42	86	0
lncRNA_1792	Pocillopora_meandrina_HIv1___Sc0000002	18228327	18228816	+	490	36	28	34	60	51
lncRNA_1793	Pocillopora_meandrina_HIv1___Sc0000002	18264117	18264354	+	238	26	5	0	0	0
lncRNA_1794	Pocillopora_meandrina_HIv1___Sc0000002	18294291	18294504	+	214	39	200	16	109	329
lncRNA_1795	Pocillopora_meandrina_HIv1___Sc0000002	18365524	18365784	+	261	0	1	1	10	0
lncRNA_1796	Pocillopora_meandrina_HIv1___Sc0000002	18415303	18415688	+	386	0	19	31	28	1
lncRNA_1797	Pocillopora_meandrina_HIv1___Sc0000002	18469577	18469848	+	272	0	26	47	0	0
lncRNA_1798	Pocillopora_meandrina_HIv1___Sc0000002	18547807	18548530	+	724	4	2	19	135	0
lncRNA_1799	Pocillopora_meandrina_HIv1___Sc0000002	18560663	18561035	+	373	4	3	47	7	12
lncRNA_1800	Pocillopora_meandrina_HIv1___Sc0000002	18637762	18638075	+	314	0	11	2	0	0
lncRNA_1801	Pocillopora_meandrina_HIv1___Sc0000002	18638346	18638600	+	255	5	29	13	22	6
lncRNA_1802	Pocillopora_meandrina_HIv1___Sc0000002	18820163	18820671	+	509	0	20	17	38	0
lncRNA_1803	Pocillopora_meandrina_HIv1___Sc0000002	18941912	18942295	+	384	0	20	1	5	2
lncRNA_1804	Pocillopora_meandrina_HIv1___Sc0000002	18950362	18950578	+	217	15	22	24	18	0
lncRNA_1805	Pocillopora_meandrina_HIv1___Sc0000002	18953433	18953752	+	320	0	0	0	0	16
lncRNA_1806	Pocillopora_meandrina_HIv1___Sc0000002	19079228	19079640	+	413	31	0	14	35	0
lncRNA_1807	Pocillopora_meandrina_HIv1___Sc0000002	19149212	19149429	+	218	21	18	7	0	0
lncRNA_1808	Pocillopora_meandrina_HIv1___Sc0000002	19198153	19198420	+	268	20	7	0	0	2
lncRNA_1809	Pocillopora_meandrina_HIv1___Sc0000002	19198925	19199491	+	567	11	29	59	17	0
lncRNA_1810	Pocillopora_meandrina_HIv1___Sc0000002	19202188	19202427	+	240	6	22	0	22	0
lncRNA_1811	Pocillopora_meandrina_HIv1___Sc0000002	19206797	19207080	+	284	0	3	21	0	0
lncRNA_1812	Pocillopora_meandrina_HIv1___Sc0000002	19243238	19243445	+	208	18	40	4	14	18
lncRNA_1813	Pocillopora_meandrina_HIv1___Sc0000002	19247599	19247813	+	215	0	16	0	0	0
lncRNA_1814	Pocillopora_meandrina_HIv1___Sc0000002	19284991	19285331	+	341	0	0	30	15	0
lncRNA_1815	Pocillopora_meandrina_HIv1___Sc0000002	19285963	19286870	+	908	31	5	90	80	0
lncRNA_1816	Pocillopora_meandrina_HIv1___Sc0000002	19301117	19301422	+	306	2	0	38	2	0
lncRNA_1817	Pocillopora_meandrina_HIv1___Sc0000002	19308073	19308353	+	281	0	1	8	36	0
lncRNA_1818	Pocillopora_meandrina_HIv1___Sc0000002	19340646	19341327	+	682	6	14	27	70	8
lncRNA_1819	Pocillopora_meandrina_HIv1___Sc0000002	19601238	19601498	+	261	20	0	6	16	4
lncRNA_1820	Pocillopora_meandrina_HIv1___Sc0000002	19649253	19649506	+	254	37	4	1	0	0
lncRNA_1821	Pocillopora_meandrina_HIv1___Sc0000002	19675388	19675617	+	230	8	0	0	0	12
lncRNA_1822	Pocillopora_meandrina_HIv1___Sc0000002	19718707	19718964	+	258	0	5	16	0	0
lncRNA_1823	Pocillopora_meandrina_HIv1___Sc0000003	297521	302898	+	5378	75	215	97	124	42
lncRNA_1824	Pocillopora_meandrina_HIv1___Sc0000003	324037	326235	+	2199	0	0	0	0	0
lncRNA_1825	Pocillopora_meandrina_HIv1___Sc0000003	612887	615281	+	2395	0	37	201	2	496
lncRNA_1826	Pocillopora_meandrina_HIv1___Sc0000003	656655	658516	+	1862	0	0	0	0	0
lncRNA_1827	Pocillopora_meandrina_HIv1___Sc0000003	719001	721228	+	2228	0	0	0	0	0
lncRNA_1828	Pocillopora_meandrina_HIv1___Sc0000003	719001	721228	+	2228	0	0	0	0	0
lncRNA_1829	Pocillopora_meandrina_HIv1___Sc0000003	1325150	1326133	+	984	140	589	405	653	462
lncRNA_1830	Pocillopora_meandrina_HIv1___Sc0000003	1355556	1356922	+	1367	3903	2506	4984	2927	3993
lncRNA_1831	Pocillopora_meandrina_HIv1___Sc0000003	1694819	1696404	+	1586	27	42	27	39	22
lncRNA_1832	Pocillopora_meandrina_HIv1___Sc0000003	1747283	1749580	+	2298	0	10	0	39	10
lncRNA_1833	Pocillopora_meandrina_HIv1___Sc0000003	1791419	1794251	+	2833	221	42	64	211	117
lncRNA_1834	Pocillopora_meandrina_HIv1___Sc0000003	2668497	2677012	+	8516	107	95	36	25	140
lncRNA_1835	Pocillopora_meandrina_HIv1___Sc0000003	2670012	2676446	+	6435	0	0	0	0	0
lncRNA_1836	Pocillopora_meandrina_HIv1___Sc0000003	2672580	2673578	+	999	0	0	0	0	0
lncRNA_1837	Pocillopora_meandrina_HIv1___Sc0000003	2682486	2684097	+	1612	1	0	10	0	0
lncRNA_1838	Pocillopora_meandrina_HIv1___Sc0000003	2683020	2684097	+	1078	0	0	0	0	0
lncRNA_1839	Pocillopora_meandrina_HIv1___Sc0000003	2688610	2690635	+	2026	0	0	0	0	0
lncRNA_1840	Pocillopora_meandrina_HIv1___Sc0000003	2688618	2690635	+	2018	0	0	0	0	0
