Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000002:12946840-12947269	Cluster_1019	N	172	87	176	16	17
Pocillopora_meandrina_HIv1___Sc0000002:12947409-12947849	Cluster_1020	N	190	57	99	11	3
Pocillopora_meandrina_HIv1___Sc0000002:12948059-12948461	Cluster_1021	N	46	85	50	5	7
Pocillopora_meandrina_HIv1___Sc0000002:12949693-12950122	Cluster_1022	N	136	10	3	17	67
Pocillopora_meandrina_HIv1___Sc0000002:12972851-12973278	Cluster_1023	N	55	96	50	86	19
Pocillopora_meandrina_HIv1___Sc0000002:13260092-13260514	Cluster_1024	N	14	1	8	102	1
Pocillopora_meandrina_HIv1___Sc0000002:13280874-13281378	Cluster_1025	N	48	117	85	245	247
Pocillopora_meandrina_HIv1___Sc0000002:13301880-13302293	Cluster_1026	N	0	7	0	123	0
Pocillopora_meandrina_HIv1___Sc0000002:13313713-13314217	Cluster_1027	N	85	171	159	247	790
Pocillopora_meandrina_HIv1___Sc0000002:13354138-13354564	Cluster_1028	N	0	89	51	1	9
Pocillopora_meandrina_HIv1___Sc0000002:13453547-13453972	Cluster_1029	N	92	3	0	115	1
Pocillopora_meandrina_HIv1___Sc0000002:13526667-13527088	Cluster_1030	N	148	95	476	151	19
Pocillopora_meandrina_HIv1___Sc0000002:13553543-13553957	Cluster_1031	N	1	2	2	78	14
Pocillopora_meandrina_HIv1___Sc0000002:13698198-13698628	Cluster_1032	N	21	129	942	14	68
Pocillopora_meandrina_HIv1___Sc0000002:13773137-13773566	Cluster_1033	N	469	10	0	320	69
Pocillopora_meandrina_HIv1___Sc0000002:13812879-13813306	Cluster_1034	N	1	201	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:14200611-14201079	Cluster_1035	N	65	102	105	15	48
Pocillopora_meandrina_HIv1___Sc0000002:14203895-14204320	Cluster_1036	N	32	38	54	1	0
Pocillopora_meandrina_HIv1___Sc0000002:14286365-14286773	Cluster_1037	N	9	20	12	21	49
Pocillopora_meandrina_HIv1___Sc0000002:14380365-14380782	Cluster_1038	N	4	60	18	4	21
Pocillopora_meandrina_HIv1___Sc0000002:14495754-14496184	Cluster_1039	N	91	17	334	140	0
Pocillopora_meandrina_HIv1___Sc0000002:14689147-14689571	Cluster_1040	N	38	17	35	12	6
Pocillopora_meandrina_HIv1___Sc0000002:14748982-14749487	Cluster_1041	N	1	65	13	433	77
Pocillopora_meandrina_HIv1___Sc0000002:14800682-14801120	Cluster_1042	N	966	526	476	907	231
Pocillopora_meandrina_HIv1___Sc0000002:14803374-14803892	Cluster_1043	N	97	94	26	132	54
Pocillopora_meandrina_HIv1___Sc0000002:14810100-14810529	Cluster_1044	N	239	1	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:14815557-14815984	Cluster_1045	N	5	42	28	76	34
Pocillopora_meandrina_HIv1___Sc0000002:14816227-14818006	Cluster_1046	N	504	193	19	908	136
Pocillopora_meandrina_HIv1___Sc0000002:14818832-14819261	Cluster_1047	N	171	30	5	0	16
Pocillopora_meandrina_HIv1___Sc0000002:14914671-14915087	Cluster_1048	N	41	12	37	18	48
Pocillopora_meandrina_HIv1___Sc0000002:14921910-14922397	Cluster_1049	N	2	14	0	527	25
Pocillopora_meandrina_HIv1___Sc0000002:14957498-14958006	Cluster_1050	N	3	1	3	3470	11
Pocillopora_meandrina_HIv1___Sc0000002:15113131-15113640	Cluster_1051	N	423	72	3	123	35
Pocillopora_meandrina_HIv1___Sc0000002:15290742-15291230	Cluster_1052	N	501	489	741	782	790
Pocillopora_meandrina_HIv1___Sc0000002:15324522-15325223	Cluster_1053	N	97	57	63	48	11
Pocillopora_meandrina_HIv1___Sc0000002:15326450-15326881	Cluster_1054	N	113	45	27	90	12
Pocillopora_meandrina_HIv1___Sc0000002:15410169-15410610	Cluster_1055	N	154	0	197	91	166
Pocillopora_meandrina_HIv1___Sc0000002:15749261-15749351	Cluster_1056	Y	74	26	58	94	15
Pocillopora_meandrina_HIv1___Sc0000002:15762578-15763408	Cluster_1057	N	1762	1148	679	463	772
Pocillopora_meandrina_HIv1___Sc0000002:15781900-15782431	Cluster_1058	N	70	29	102	109	172
Pocillopora_meandrina_HIv1___Sc0000002:15893987-15894539	Cluster_1059	N	125	72	0	1	31
Pocillopora_meandrina_HIv1___Sc0000002:15894892-15895491	Cluster_1060	N	389	571	1	0	553
Pocillopora_meandrina_HIv1___Sc0000002:15991422-15991832	Cluster_1061	N	65	30	5	67	5
Pocillopora_meandrina_HIv1___Sc0000002:15992067-15992491	Cluster_1062	N	97	40	61	26	8
Pocillopora_meandrina_HIv1___Sc0000002:15992523-15993292	Cluster_1063	N	188	101	67	78	37
Pocillopora_meandrina_HIv1___Sc0000002:15993376-15993916	Cluster_1064	N	276	21	12	4	10
Pocillopora_meandrina_HIv1___Sc0000002:15994245-15996216	Cluster_1065	N	2400	175	330	648	82
Pocillopora_meandrina_HIv1___Sc0000002:16076887-16077338	Cluster_1066	N	1787	633	1523	1661	384
Pocillopora_meandrina_HIv1___Sc0000002:16084908-16085406	Cluster_1067	N	2110	2919	848	1356	2370
Pocillopora_meandrina_HIv1___Sc0000002:16086692-16087210	Cluster_1068	N	237	139	134	347	409
Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650	Cluster_1069	Y	824	527	640	641	337
Pocillopora_meandrina_HIv1___Sc0000002:16801047-16801473	Cluster_1070	N	54	5	85	66	20
Pocillopora_meandrina_HIv1___Sc0000002:16868237-16868878	Cluster_1071	N	211	21	205	55	20
Pocillopora_meandrina_HIv1___Sc0000002:16915483-16915903	Cluster_1072	N	2	85	0	4	0
Pocillopora_meandrina_HIv1___Sc0000002:16938840-16939269	Cluster_1073	N	1	1	253	2	2
Pocillopora_meandrina_HIv1___Sc0000002:16988102-16988565	Cluster_1074	N	111	1	0	253	3
Pocillopora_meandrina_HIv1___Sc0000002:16990790-16991219	Cluster_1075	N	2	0	1	175	1
Pocillopora_meandrina_HIv1___Sc0000002:17295508-17295925	Cluster_1076	N	165	111	133	45	39
Pocillopora_meandrina_HIv1___Sc0000002:17411375-17411793	Cluster_1077	N	9	67	31	78	130
Pocillopora_meandrina_HIv1___Sc0000002:17612209-17612634	Cluster_1078	N	56	5	16	34	4
Pocillopora_meandrina_HIv1___Sc0000002:17612844-17613360	Cluster_1079	N	465	230	259	143	36
Pocillopora_meandrina_HIv1___Sc0000002:17766802-17767230	Cluster_1080	N	65	10	28	11	0
Pocillopora_meandrina_HIv1___Sc0000002:17800791-17801407	Cluster_1081	N	254	17	42	64	46
Pocillopora_meandrina_HIv1___Sc0000002:17801485-17802229	Cluster_1082	N	281	20	65	132	67
Pocillopora_meandrina_HIv1___Sc0000002:18043378-18043918	Cluster_1083	N	248	646	166	486	641
Pocillopora_meandrina_HIv1___Sc0000002:18085264-18085716	Cluster_1084	N	146	66	105	104	86
Pocillopora_meandrina_HIv1___Sc0000002:18091100-18091512	Cluster_1085	N	7	19	7	21	58
Pocillopora_meandrina_HIv1___Sc0000002:18236792-18237213	Cluster_1086	N	0	1	15	109	1
Pocillopora_meandrina_HIv1___Sc0000002:18758455-18759131	Cluster_1087	N	223	222	243	59	15
Pocillopora_meandrina_HIv1___Sc0000002:18981108-18982285	Cluster_1088	N	134	68	3067	2453	1143
Pocillopora_meandrina_HIv1___Sc0000002:19017322-19017749	Cluster_1089	N	4	0	97	1	4
Pocillopora_meandrina_HIv1___Sc0000002:19137117-19137621	Cluster_1090	N	107	1	70	19	44
Pocillopora_meandrina_HIv1___Sc0000002:19218596-19219029	Cluster_1091	N	220	2	93	188	3
Pocillopora_meandrina_HIv1___Sc0000002:19227899-19228326	Cluster_1092	N	26	1	21	85	0
Pocillopora_meandrina_HIv1___Sc0000002:19229721-19230339	Cluster_1093	N	152	66	178	1207	158
Pocillopora_meandrina_HIv1___Sc0000002:19435173-19435585	Cluster_1094	N	12	32	27	46	89
Pocillopora_meandrina_HIv1___Sc0000002:19445465-19445890	Cluster_1095	N	8	31	12	93	88
Pocillopora_meandrina_HIv1___Sc0000002:19537005-19537432	Cluster_1096	N	0	0	0	79	1
Pocillopora_meandrina_HIv1___Sc0000002:19538138-19538717	Cluster_1097	N	195	522	354	1028	977
Pocillopora_meandrina_HIv1___Sc0000002:19565330-19565759	Cluster_1098	N	154	30	14	11	68
Pocillopora_meandrina_HIv1___Sc0000003:96476-96895	Cluster_1099	N	39	63	70	54	21
Pocillopora_meandrina_HIv1___Sc0000003:128499-128910	Cluster_1100	N	7	21	8	35	70
Pocillopora_meandrina_HIv1___Sc0000003:174205-175182	Cluster_1101	N	64	4	451	218	18
Pocillopora_meandrina_HIv1___Sc0000003:207738-208184	Cluster_1102	N	20	31	497	2	60
Pocillopora_meandrina_HIv1___Sc0000003:295505-296483	Cluster_1103	N	224	203	302	789	4
Pocillopora_meandrina_HIv1___Sc0000003:313570-314553	Cluster_1104	N	110	0	678	9	50
Pocillopora_meandrina_HIv1___Sc0000003:314771-315207	Cluster_1105	N	49	3	251	0	202
Pocillopora_meandrina_HIv1___Sc0000003:448959-449506	Cluster_1106	N	44	197	58	166	305
Pocillopora_meandrina_HIv1___Sc0000003:467252-467911	Cluster_1107	N	65	200	76	112	172
Pocillopora_meandrina_HIv1___Sc0000003:495066-495158	Cluster_1108	Y	304	154	194	153	185
Pocillopora_meandrina_HIv1___Sc0000003:788738-789165	Cluster_1109	N	10	15	118	8	17
Pocillopora_meandrina_HIv1___Sc0000003:879187-879850	Cluster_1110	N	70	168	79	225	448
Pocillopora_meandrina_HIv1___Sc0000003:1018753-1019619	Cluster_1111	N	46	59	738	267	429
Pocillopora_meandrina_HIv1___Sc0000003:1364282-1364948	Cluster_1112	N	146	420	226	915	1055
Pocillopora_meandrina_HIv1___Sc0000003:1709656-1710326	Cluster_1113	N	29	110	33	149	245
Pocillopora_meandrina_HIv1___Sc0000003:1751792-1752219	Cluster_1114	N	58	1	38	72	0
Pocillopora_meandrina_HIv1___Sc0000003:1752820-1753250	Cluster_1115	N	13	5	1226	23	12
Pocillopora_meandrina_HIv1___Sc0000003:1932935-1933362	Cluster_1116	N	16	27	121	312	22
Pocillopora_meandrina_HIv1___Sc0000003:1934606-1935033	Cluster_1117	N	5	13	11	532	0
Pocillopora_meandrina_HIv1___Sc0000003:1936185-1936612	Cluster_1118	N	1	2	653	0	1
Pocillopora_meandrina_HIv1___Sc0000003:2241887-2242315	Cluster_1119	N	29	10	1	149	3
Pocillopora_meandrina_HIv1___Sc0000003:2476590-2477024	Cluster_1120	N	6236	10434	16363	26246	4204
Pocillopora_meandrina_HIv1___Sc0000003:2614870-2615287	Cluster_1121	N	105	0	0	0	1
Pocillopora_meandrina_HIv1___Sc0000003:2620719-2621157	Cluster_1122	N	431	50	5	18	0
Pocillopora_meandrina_HIv1___Sc0000003:2622155-2622589	Cluster_1123	N	28	0	186	13	4
Pocillopora_meandrina_HIv1___Sc0000003:2627197-2627614	Cluster_1124	N	95	0	0	0	1
Pocillopora_meandrina_HIv1___Sc0000003:2645319-2645747	Cluster_1125	N	50	4	9	84	9
Pocillopora_meandrina_HIv1___Sc0000003:2763211-2763632	Cluster_1126	N	5	20	23	47	10
Pocillopora_meandrina_HIv1___Sc0000003:2763676-2764158	Cluster_1127	N	21782	30538	24711	42541	74603
Pocillopora_meandrina_HIv1___Sc0000003:2849464-2849939	Cluster_1128	N	31	174	29	38	99
Pocillopora_meandrina_HIv1___Sc0000003:3008153-3009654	Cluster_1129	N	5142	881	4271	2397	909
Pocillopora_meandrina_HIv1___Sc0000003:3012955-3013651	Cluster_1130	N	0	225	1	997	0
Pocillopora_meandrina_HIv1___Sc0000003:3014086-3014511	Cluster_1131	N	0	3	105	0	1
Pocillopora_meandrina_HIv1___Sc0000003:3014674-3015310	Cluster_1132	N	0	26	1	355	1
Pocillopora_meandrina_HIv1___Sc0000003:3015890-3016320	Cluster_1133	N	0	0	0	303	0
Pocillopora_meandrina_HIv1___Sc0000003:3033168-3033634	Cluster_1134	N	12	20	77	102	43
Pocillopora_meandrina_HIv1___Sc0000003:3033677-3034111	Cluster_1135	N	164	47	140	56	15
Pocillopora_meandrina_HIv1___Sc0000003:3035420-3036545	Cluster_1136	N	2124	1016	1303	101	114
Pocillopora_meandrina_HIv1___Sc0000003:3036789-3037216	Cluster_1137	N	33	56	1	5	1
Pocillopora_meandrina_HIv1___Sc0000003:3048099-3049557	Cluster_1138	N	1150	228	436	241	76
Pocillopora_meandrina_HIv1___Sc0000003:3062518-3063909	Cluster_1139	N	674	477	757	320	110
Pocillopora_meandrina_HIv1___Sc0000003:3212023-3212452	Cluster_1140	N	109	9	38	26	4
Pocillopora_meandrina_HIv1___Sc0000003:3214048-3214563	Cluster_1141	N	200	11	24	68	14
Pocillopora_meandrina_HIv1___Sc0000003:3221779-3222319	Cluster_1142	N	111	97	141	145	21
Pocillopora_meandrina_HIv1___Sc0000003:3228849-3229281	Cluster_1143	N	43	41	2	687	30
Pocillopora_meandrina_HIv1___Sc0000003:3303172-3303600	Cluster_1144	N	297	714	346	0	431
Pocillopora_meandrina_HIv1___Sc0000003:3347350-3347833	Cluster_1145	N	52	6	2	0	102
Pocillopora_meandrina_HIv1___Sc0000003:3438712-3439139	Cluster_1146	N	14	12	124	11	19
Pocillopora_meandrina_HIv1___Sc0000003:3439687-3440217	Cluster_1147	N	366	1	8	11	0
Pocillopora_meandrina_HIv1___Sc0000003:3758358-3758770	Cluster_1148	N	18	26	10	40	36
Pocillopora_meandrina_HIv1___Sc0000003:3760949-3761352	Cluster_1149	N	4	18	3	25	58
Pocillopora_meandrina_HIv1___Sc0000003:3989630-3990139	Cluster_1150	N	28	15	126	137	12
Pocillopora_meandrina_HIv1___Sc0000003:4427878-4428306	Cluster_1151	N	16	1	117	29	0
Pocillopora_meandrina_HIv1___Sc0000003:4502940-4503367	Cluster_1152	N	96	53	23	2	1
Pocillopora_meandrina_HIv1___Sc0000003:4503574-4504275	Cluster_1153	N	433	252	296	6	28
Pocillopora_meandrina_HIv1___Sc0000003:4505323-4506571	Cluster_1154	N	3798	356	934	37	143
Pocillopora_meandrina_HIv1___Sc0000003:4619797-4620224	Cluster_1155	N	11	9	121	9	11
Pocillopora_meandrina_HIv1___Sc0000003:4842828-4843448	Cluster_1156	N	68	83	89	76	194
Pocillopora_meandrina_HIv1___Sc0000003:4945307-4945849	Cluster_1157	N	498	26	2	52	2
Pocillopora_meandrina_HIv1___Sc0000003:4946513-4946940	Cluster_1158	N	95	49	35	9	1
Pocillopora_meandrina_HIv1___Sc0000003:5028952-5029429	Cluster_1159	N	90	47	83	370	166
Pocillopora_meandrina_HIv1___Sc0000003:5030876-5031354	Cluster_1160	N	93	237	185	564	602
Pocillopora_meandrina_HIv1___Sc0000003:5148334-5148807	Cluster_1161	N	35	43	35	116	109
Pocillopora_meandrina_HIv1___Sc0000003:5182536-5182959	Cluster_1162	N	12	28	23	67	98
Pocillopora_meandrina_HIv1___Sc0000003:5372310-5372735	Cluster_1163	N	143	52	69	19	8
Pocillopora_meandrina_HIv1___Sc0000003:5692287-5693120	Cluster_1164	N	14	13	580	1	32
Pocillopora_meandrina_HIv1___Sc0000003:5694635-5695063	Cluster_1165	N	173	39	4	13	12
Pocillopora_meandrina_HIv1___Sc0000003:5755579-5756010	Cluster_1166	N	57	38	64	238	18
Pocillopora_meandrina_HIv1___Sc0000003:5760139-5760610	Cluster_1167	N	3082	4311	7737	30137	21660
Pocillopora_meandrina_HIv1___Sc0000003:5831350-5831779	Cluster_1168	N	4	49	0	54	0
Pocillopora_meandrina_HIv1___Sc0000003:5911110-5911540	Cluster_1169	N	158	841	1377	9	162
Pocillopora_meandrina_HIv1___Sc0000003:5965071-5965586	Cluster_1170	N	5	69	27	87	198
Pocillopora_meandrina_HIv1___Sc0000003:5965723-5966238	Cluster_1171	N	6	91	30	76	170
Pocillopora_meandrina_HIv1___Sc0000003:6019954-6020383	Cluster_1172	N	24	47	32	51	65
Pocillopora_meandrina_HIv1___Sc0000003:6328548-6328949	Cluster_1173	N	6	8	10	37	82
Pocillopora_meandrina_HIv1___Sc0000003:6386367-6386828	Cluster_1174	N	24	76	42	118	203
Pocillopora_meandrina_HIv1___Sc0000003:6424799-6425229	Cluster_1175	N	4	1	85	310	186
Pocillopora_meandrina_HIv1___Sc0000003:6569728-6570155	Cluster_1176	N	104	52	25	9	3
Pocillopora_meandrina_HIv1___Sc0000003:6670538-6670966	Cluster_1177	N	57	0	68	64	50
Pocillopora_meandrina_HIv1___Sc0000003:6672454-6672917	Cluster_1178	N	26	166	491	90	337
Pocillopora_meandrina_HIv1___Sc0000003:6767976-6768388	Cluster_1179	N	9	49	5	54	57
Pocillopora_meandrina_HIv1___Sc0000003:6774529-6774948	Cluster_1180	N	15	33	17	41	61
Pocillopora_meandrina_HIv1___Sc0000003:6775676-6776091	Cluster_1181	N	7	33	5	17	29
Pocillopora_meandrina_HIv1___Sc0000003:6885701-6886302	Cluster_1182	N	35	463	52	79	62
Pocillopora_meandrina_HIv1___Sc0000003:6910359-6911008	Cluster_1183	N	1	2	2	228	119
Pocillopora_meandrina_HIv1___Sc0000003:6988889-6989345	Cluster_1184	N	1	66	82	60	0
Pocillopora_meandrina_HIv1___Sc0000003:7133223-7133650	Cluster_1185	N	114	43	27	5	2
Pocillopora_meandrina_HIv1___Sc0000003:7244498-7244925	Cluster_1186	N	2	9	8	143	100
Pocillopora_meandrina_HIv1___Sc0000003:7299311-7299715	Cluster_1187	N	6	23	19	49	67
Pocillopora_meandrina_HIv1___Sc0000003:7299821-7300240	Cluster_1188	N	18	66	24	108	169
Pocillopora_meandrina_HIv1___Sc0000003:7300249-7300656	Cluster_1189	N	15	34	25	61	95
Pocillopora_meandrina_HIv1___Sc0000003:7353741-7354272	Cluster_1190	N	17	49	11	64	217
Pocillopora_meandrina_HIv1___Sc0000003:7408170-7409498	Cluster_1191	N	62	578	100	376	635
Pocillopora_meandrina_HIv1___Sc0000003:7409540-7409952	Cluster_1192	N	6	39	2	33	104
Pocillopora_meandrina_HIv1___Sc0000003:7410474-7410907	Cluster_1193	N	11	111	12	99	182
Pocillopora_meandrina_HIv1___Sc0000003:7411420-7411846	Cluster_1194	N	8	91	18	49	136
Pocillopora_meandrina_HIv1___Sc0000003:7412367-7413218	Cluster_1195	N	36	271	55	195	290
Pocillopora_meandrina_HIv1___Sc0000003:7562319-7562747	Cluster_1196	N	0	1	94	2	0
Pocillopora_meandrina_HIv1___Sc0000003:7599784-7601072	Cluster_1197	N	791	430	617	914	157
Pocillopora_meandrina_HIv1___Sc0000003:7622721-7623130	Cluster_1198	N	141	0	1	1	1
Pocillopora_meandrina_HIv1___Sc0000003:7626252-7626678	Cluster_1199	N	189	1	2	4	3
Pocillopora_meandrina_HIv1___Sc0000003:7633872-7634301	Cluster_1200	N	130	3	2	7	60
Pocillopora_meandrina_HIv1___Sc0000003:7659437-7659861	Cluster_1201	N	26	31	49	18	7
Pocillopora_meandrina_HIv1___Sc0000003:7947458-7947877	Cluster_1202	N	12	58	41	53	102
Pocillopora_meandrina_HIv1___Sc0000003:7948713-7949136	Cluster_1203	N	28	43	33	90	151
Pocillopora_meandrina_HIv1___Sc0000003:7955162-7955577	Cluster_1204	N	16	35	29	56	144
Pocillopora_meandrina_HIv1___Sc0000003:8175305-8175722	Cluster_1205	N	10	67	9	7	6
Pocillopora_meandrina_HIv1___Sc0000003:8251830-8252248	Cluster_1206	N	10	29	13	17	3
Pocillopora_meandrina_HIv1___Sc0000003:8266188-8266654	Cluster_1207	N	16	87	67	152	198
Pocillopora_meandrina_HIv1___Sc0000003:8314379-8314796	Cluster_1208	N	602	337	283	0	10
Pocillopora_meandrina_HIv1___Sc0000003:8365220-8365649	Cluster_1209	N	81	15	17	68	33
Pocillopora_meandrina_HIv1___Sc0000003:8389908-8390326	Cluster_1210	N	9	24	16	33	72
Pocillopora_meandrina_HIv1___Sc0000003:8391648-8392053	Cluster_1211	N	23	40	10	50	96
Pocillopora_meandrina_HIv1___Sc0000003:8392372-8393246	Cluster_1212	N	127	263	71	306	464
Pocillopora_meandrina_HIv1___Sc0000003:8442393-8443322	Cluster_1213	N	2825	854	754	1915	352
Pocillopora_meandrina_HIv1___Sc0000003:8459705-8460134	Cluster_1214	N	128	8	68	390	51
Pocillopora_meandrina_HIv1___Sc0000003:8619933-8620351	Cluster_1215	N	60	10	0	79	1
Pocillopora_meandrina_HIv1___Sc0000003:8622404-8623297	Cluster_1216	N	68	126	121	80	144
Pocillopora_meandrina_HIv1___Sc0000003:8648200-8648648	Cluster_1217	N	150	72	123	121	29
Pocillopora_meandrina_HIv1___Sc0000003:8649170-8649599	Cluster_1218	N	100	14	5	25	5
Pocillopora_meandrina_HIv1___Sc0000003:8658110-8658528	Cluster_1219	N	70	888	52	201	649
Pocillopora_meandrina_HIv1___Sc0000003:8680823-8681250	Cluster_1220	N	28	69	70	17	25
Pocillopora_meandrina_HIv1___Sc0000003:8682424-8682830	Cluster_1221	N	32	38	75	3	79
Pocillopora_meandrina_HIv1___Sc0000003:8695585-8696014	Cluster_1222	N	0	16	788	0	0
Pocillopora_meandrina_HIv1___Sc0000003:8780641-8782418	Cluster_1223	N	707	440	716	656	232
Pocillopora_meandrina_HIv1___Sc0000003:8905394-8905822	Cluster_1224	N	12	6	111	41	3
Pocillopora_meandrina_HIv1___Sc0000003:8907631-8908059	Cluster_1225	N	56	20	31	44	9
Pocillopora_meandrina_HIv1___Sc0000003:8915298-8915727	Cluster_1226	N	23	13	31	172	4
Pocillopora_meandrina_HIv1___Sc0000003:8916612-8917188	Cluster_1227	N	101	41	190	0	78
Pocillopora_meandrina_HIv1___Sc0000003:8920685-8921364	Cluster_1228	N	410	397	793	1658	215
Pocillopora_meandrina_HIv1___Sc0000003:8969736-8970166	Cluster_1229	N	11	2	253	3	13
Pocillopora_meandrina_HIv1___Sc0000003:9071829-9072246	Cluster_1230	N	3	48	1	159	365
Pocillopora_meandrina_HIv1___Sc0000003:9149634-9150114	Cluster_1231	N	107	453	0	0	0
Pocillopora_meandrina_HIv1___Sc0000003:9291034-9292771	Cluster_1232	N	689	452	764	662	248
Pocillopora_meandrina_HIv1___Sc0000003:9403760-9404177	Cluster_1233	N	7	184	20	28	111
Pocillopora_meandrina_HIv1___Sc0000003:9565787-9566383	Cluster_1234	N	1197	516	1488	1195	1132
Pocillopora_meandrina_HIv1___Sc0000003:9657566-9657996	Cluster_1235	N	30	47	176	134	0
Pocillopora_meandrina_HIv1___Sc0000003:9699669-9700425	Cluster_1236	N	332	122	541	460	14
Pocillopora_meandrina_HIv1___Sc0000003:9709233-9709736	Cluster_1237	N	2020	267	932	455	52
Pocillopora_meandrina_HIv1___Sc0000003:9744440-9744843	Cluster_1238	N	30	59	65	54	28
Pocillopora_meandrina_HIv1___Sc0000003:9751847-9752327	Cluster_1239	N	3299	317	529	1950	211
Pocillopora_meandrina_HIv1___Sc0000003:9758869-9759872	Cluster_1240	N	729	154	233	269	10
Pocillopora_meandrina_HIv1___Sc0000003:9762294-9762712	Cluster_1241	N	1	76	2	30	0
Pocillopora_meandrina_HIv1___Sc0000003:9768332-9768759	Cluster_1242	N	51	36	34	20	1
Pocillopora_meandrina_HIv1___Sc0000003:9777948-9778366	Cluster_1243	N	7	78	0	1	7
Pocillopora_meandrina_HIv1___Sc0000003:9784035-9784462	Cluster_1244	N	28	0	55	0	0
Pocillopora_meandrina_HIv1___Sc0000003:9784980-9785408	Cluster_1245	N	9	1	105	2	3
Pocillopora_meandrina_HIv1___Sc0000003:9795699-9796507	Cluster_1246	N	4752	2452	3185	4299	99
Pocillopora_meandrina_HIv1___Sc0000003:9799378-9799805	Cluster_1247	N	37	13	50	25	2
Pocillopora_meandrina_HIv1___Sc0000003:9800889-9801315	Cluster_1248	N	48	18	15	48	7
Pocillopora_meandrina_HIv1___Sc0000003:9802651-9803059	Cluster_1249	N	52	13	22	35	16
Pocillopora_meandrina_HIv1___Sc0000003:9807539-9807963	Cluster_1250	N	43	2	54	7	2
Pocillopora_meandrina_HIv1___Sc0000003:9810528-9811501	Cluster_1251	N	16531	16414	10421	11653	223
Pocillopora_meandrina_HIv1___Sc0000003:9829639-9830065	Cluster_1252	N	35	40	33	19	0
Pocillopora_meandrina_HIv1___Sc0000003:9840509-9840938	Cluster_1253	N	75	26	13	0	5
Pocillopora_meandrina_HIv1___Sc0000003:9842981-9843409	Cluster_1254	N	7	1	5	96	1
Pocillopora_meandrina_HIv1___Sc0000003:9872204-9873001	Cluster_1255	N	272	91	165	1378	185
Pocillopora_meandrina_HIv1___Sc0000003:9891466-9891893	Cluster_1256	N	53	35	41	29	2
Pocillopora_meandrina_HIv1___Sc0000003:9902335-9902764	Cluster_1257	N	104	12	15	1	8
Pocillopora_meandrina_HIv1___Sc0000003:9904807-9905235	Cluster_1258	N	5	1	4	101	1
Pocillopora_meandrina_HIv1___Sc0000003:9912132-9912555	Cluster_1259	N	15	0	62	0	0
Pocillopora_meandrina_HIv1___Sc0000003:9920702-9921127	Cluster_1260	N	51	1	64	0	0
Pocillopora_meandrina_HIv1___Sc0000003:9932440-9933235	Cluster_1261	N	260	96	130	1312	202
Pocillopora_meandrina_HIv1___Sc0000003:9935602-9936183	Cluster_1262	N	0	236	457	9	0
Pocillopora_meandrina_HIv1___Sc0000003:9944352-9944779	Cluster_1263	N	44	34	33	16	2
Pocillopora_meandrina_HIv1___Sc0000003:9973243-9973662	Cluster_1264	N	83	0	48	0	0
Pocillopora_meandrina_HIv1___Sc0000003:9987992-9988421	Cluster_1265	N	0	7	321	1	4
Pocillopora_meandrina_HIv1___Sc0000003:9994430-9994857	Cluster_1266	N	26	0	58	0	1
Pocillopora_meandrina_HIv1___Sc0000003:10001373-10002717	Cluster_1267	N	13885	3807	8134	12676	154
Pocillopora_meandrina_HIv1___Sc0000003:10010816-10011898	Cluster_1268	N	3440	978	1687	2436	150
Pocillopora_meandrina_HIv1___Sc0000003:10012444-10012874	Cluster_1269	N	38	47	185	11	1
Pocillopora_meandrina_HIv1___Sc0000003:10014241-10014658	Cluster_1270	N	2	78	7	27	1
Pocillopora_meandrina_HIv1___Sc0000003:10064345-10065144	Cluster_1271	N	874	382	523	495	9
Pocillopora_meandrina_HIv1___Sc0000003:10079764-10080571	Cluster_1272	N	19617	3529	7640	9144	276
Pocillopora_meandrina_HIv1___Sc0000003:10095244-10095670	Cluster_1273	N	1	112	1	1	0
Pocillopora_meandrina_HIv1___Sc0000003:10129512-10129606	Cluster_1274	Y	3378	1865	3819	1429	801
Pocillopora_meandrina_HIv1___Sc0000003:10254529-10255384	Cluster_1275	N	10	260	2	301	105
Pocillopora_meandrina_HIv1___Sc0000003:10257231-10258204	Cluster_1276	N	2054	302	2	536	232
Pocillopora_meandrina_HIv1___Sc0000003:10258826-10259454	Cluster_1277	N	98	121	0	105	60
Pocillopora_meandrina_HIv1___Sc0000003:10343590-10344134	Cluster_1278	N	50	28	45	202	227
Pocillopora_meandrina_HIv1___Sc0000003:10366033-10366130	Cluster_1279	Y	248945	156868	209079	182357	61608
Pocillopora_meandrina_HIv1___Sc0000003:10467440-10467869	Cluster_1280	N	85	9	15	37	5
Pocillopora_meandrina_HIv1___Sc0000003:10524992-10525416	Cluster_1281	N	4	7	1	50	28
Pocillopora_meandrina_HIv1___Sc0000003:10659509-10659936	Cluster_1282	N	0	180	5	2	1
