Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0000130		Pocillopora_meandrina_HIv1___RNAseq.g3021.t1, Pocillopora_meandrina_HIv1___RNAseq.g4316.t1	Peve_00014106, Peve_00014107, Peve_00014108, Peve_00014110, Peve_00014112, Peve_00015917, Peve_00015945, Peve_00015946, Peve_00015947, Peve_00018322, Peve_00018323, Peve_00018324, Peve_00018325, Peve_00022683, Peve_00022688, Peve_00022689, Peve_00022703, Peve_00022704, Peve_00023084, Peve_00023626, Peve_00025339, Peve_00029185, Peve_00029186, Peve_00030654, Peve_00030844, Peve_00038755
OG0000131			Peve_00000690, Peve_00000691, Peve_00000692, Peve_00012601, Peve_00012602, Peve_00012604, Peve_00012605, Peve_00012606, Peve_00012607, Peve_00012610, Peve_00012611, Peve_00012612, Peve_00022335, Peve_00024259, Peve_00024260, Peve_00024263, Peve_00028016, Peve_00028018, Peve_00028836, Peve_00028837, Peve_00028838, Peve_00028839, Peve_00035763, Peve_00035765, Peve_00035766, Peve_00035770, Peve_00035771, Peve_00042143
OG0000132	XP_029182349.2, XP_029187409.2, XP_029203164.2, XP_044162823.1, XP_044162937.1, XP_044164663.1, XP_044166489.1, XP_044166662.1, XP_044167099.1, XP_044167221.1, XP_044167799.1, XP_044167868.1, XP_044167887.1, XP_044168100.1, XP_044171487.1, XP_044172841.1, XP_044172843.1, XP_044173176.1, XP_044178175.1, XP_044179137.1, XP_044180040.1, XP_044180433.1, XP_044182130.1	Pocillopora_meandrina_HIv1___RNAseq.g11026.t1a	Peve_00019639, Peve_00029204, Peve_00036130
OG0000133	XP_029182807.2, XP_029183604.2, XP_029190403.2, XP_029197593.2, XP_029198631.2, XP_044163400.1, XP_044165590.1, XP_044166768.1, XP_044167411.1, XP_044167445.1, XP_044167981.1, XP_044168386.1, XP_044169974.1, XP_044171140.1, XP_044171526.1, XP_044171528.1, XP_044171605.1, XP_044171881.1, XP_044176678.1, XP_044176707.1, XP_044178582.1, XP_044179670.1, XP_044182027.1, XP_044182695.1, XP_044183204.1	Pocillopora_meandrina_HIv1___RNAseq.g24932.t1, Pocillopora_meandrina_HIv1___TS.g8633.t1	
OG0000134	XP_029184002.2, XP_029197154.2, XP_029204053.2, XP_029204076.2, XP_029204088.2, XP_044163871.1, XP_044163883.1, XP_044165673.1, XP_044166306.1, XP_044166609.1, XP_044167265.1, XP_044168445.1, XP_044171319.1, XP_044171320.1, XP_044171738.1, XP_044171740.1, XP_044171817.1, XP_044171818.1, XP_044172387.1, XP_044174269.1, XP_044174275.1, XP_044175281.1, XP_044182164.1, XP_044183000.1, XP_044183214.1, XP_044183215.1		Peve_00030866
OG0000135	XP_029186373.2, XP_029186374.2	Pocillopora_meandrina_HIv1___RNAseq.g376.t1	Peve_00002671, Peve_00008561, Peve_00008564, Peve_00008565, Peve_00014212, Peve_00014214, Peve_00014215, Peve_00014218, Peve_00014959, Peve_00020781, Peve_00022015, Peve_00022017, Peve_00023504, Peve_00024702, Peve_00029275, Peve_00033081, Peve_00033105, Peve_00033750, Peve_00033751, Peve_00033752, Peve_00033756, Peve_00033759, Peve_00038921, Peve_00044473
OG0000136	XP_029189410.2	Pocillopora_meandrina_HIv1___RNAseq.g21428.t1, Pocillopora_meandrina_HIv1___RNAseq.g21433.t1, Pocillopora_meandrina_HIv1___RNAseq.g21435.t1, Pocillopora_meandrina_HIv1___RNAseq.g21437.t1, Pocillopora_meandrina_HIv1___RNAseq.g21438.t1, Pocillopora_meandrina_HIv1___RNAseq.g21440.t1, Pocillopora_meandrina_HIv1___RNAseq.g21441.t1, Pocillopora_meandrina_HIv1___RNAseq.g21443.t1, Pocillopora_meandrina_HIv1___RNAseq.g21445.t1, Pocillopora_meandrina_HIv1___RNAseq.g21448.t1, Pocillopora_meandrina_HIv1___RNAseq.g21449.t1, Pocillopora_meandrina_HIv1___RNAseq.g21450.t1, Pocillopora_meandrina_HIv1___RNAseq.g21452.t1, Pocillopora_meandrina_HIv1___RNAseq.g21455.t1, Pocillopora_meandrina_HIv1___RNAseq.g21456.t1, Pocillopora_meandrina_HIv1___RNAseq.g21459.t1, Pocillopora_meandrina_HIv1___RNAseq.g21461.t1, Pocillopora_meandrina_HIv1___RNAseq.g21462.t1, Pocillopora_meandrina_HIv1___RNAseq.g21463.t1, Pocillopora_meandrina_HIv1___RNAseq.g21467.t1, Pocillopora_meandrina_HIv1___RNAseq.g21471.t1, Pocillopora_meandrina_HIv1___RNAseq.g21472.t1, Pocillopora_meandrina_HIv1___TS.g26182.t1, Pocillopora_meandrina_HIv1___TS.g26192.t1, Pocillopora_meandrina_HIv1___TS.g26203.t1b, Pocillopora_meandrina_HIv1___TS.g26217.t1	
OG0000137	XP_029190863.2, XP_029190864.2, XP_029190872.2, XP_029193973.2, XP_044169425.1, XP_044169427.1, XP_044169433.1, XP_044169434.1, XP_044169444.1, XP_044171457.1, XP_044171458.1, XP_044171459.1, XP_044180957.1, XP_044181209.1, XP_044181232.1, XP_044181235.1, XP_044181237.1, XP_044181238.1, XP_044181736.1, XP_044181816.1, XP_044181904.1, XP_044181905.1, XP_044181906.1, XP_044181908.1, XP_044181909.1, XP_044181944.1	Pocillopora_meandrina_HIv1___RNAseq.g24365.t1	
OG0000138	XP_029192966.1, XP_044168216.1, XP_044168217.1, XP_044168218.1, XP_044168219.1, XP_044168220.1, XP_044168221.1, XP_044179083.1, XP_044179084.1, XP_044179091.1, XP_044179092.1, XP_044179223.1, XP_044179224.1, XP_044179225.1, XP_044179226.1, XP_044179227.1, XP_044179228.1, XP_044179229.1, XP_044179231.1, XP_044179233.1, XP_044179234.1, XP_044179235.1, XP_044179236.1	Pocillopora_meandrina_HIv1___TS.g18331.t1	Peve_00011780, Peve_00027936, Peve_00027939
OG0000139	XP_029210845.2, XP_044164915.1, XP_044164986.1, XP_044164987.1, XP_044164991.1, XP_044164992.1, XP_044164993.1, XP_044164995.1, XP_044164996.1, XP_044164997.1, XP_044165129.1, XP_044165130.1, XP_044166066.1, XP_044166067.1, XP_044166068.1, XP_044166069.1, XP_044166070.1, XP_044166076.1, XP_044166803.1, XP_044166821.1, XP_044170220.1, XP_044170221.1, XP_044171648.1, XP_044183735.1, XP_044183736.1, XP_044183737.1		Peve_00033328
OG0000140	XP_044163089.1, XP_044166115.1, XP_044166117.1, XP_044166227.1, XP_044167794.1, XP_044170219.1, XP_044170326.1, XP_044170331.1, XP_044170816.1, XP_044172272.1, XP_044172564.1, XP_044172565.1, XP_044172566.1, XP_044172567.1, XP_044172568.1, XP_044172569.1, XP_044172572.1, XP_044172573.1, XP_044174423.1, XP_044174424.1, XP_044174425.1, XP_044174426.1, XP_044174429.1, XP_044174433.1, XP_044174434.1, XP_044174448.1, XP_044175361.1		
OG0000141		Pocillopora_meandrina_HIv1___RNAseq.g12457.t1, Pocillopora_meandrina_HIv1___RNAseq.g12468.t1, Pocillopora_meandrina_HIv1___RNAseq.g13058.t1, Pocillopora_meandrina_HIv1___RNAseq.g13075.t1, Pocillopora_meandrina_HIv1___RNAseq.g18505.t1, Pocillopora_meandrina_HIv1___RNAseq.g19470.t1, Pocillopora_meandrina_HIv1___RNAseq.g19481.t1, Pocillopora_meandrina_HIv1___RNAseq.g19482.t1, Pocillopora_meandrina_HIv1___RNAseq.g19492.t1, Pocillopora_meandrina_HIv1___RNAseq.g21930.t1, Pocillopora_meandrina_HIv1___TS.g1852.t1, Pocillopora_meandrina_HIv1___TS.g2008.t1, Pocillopora_meandrina_HIv1___TS.g2026.t1, Pocillopora_meandrina_HIv1___TS.g2066.t1, Pocillopora_meandrina_HIv1___TS.g21444.t1, Pocillopora_meandrina_HIv1___TS.g21450.t1, Pocillopora_meandrina_HIv1___TS.g21457.t1, Pocillopora_meandrina_HIv1___TS.g21458.t1, Pocillopora_meandrina_HIv1___TS.g21463.t1, Pocillopora_meandrina_HIv1___TS.g21469.t1, Pocillopora_meandrina_HIv1___TS.g21475.t1, Pocillopora_meandrina_HIv1___TS.g21480.t1, Pocillopora_meandrina_HIv1___TS.g21486.t1, Pocillopora_meandrina_HIv1___TS.g21491.t1, Pocillopora_meandrina_HIv1___TS.g3697.t1, Pocillopora_meandrina_HIv1___TS.g3707.t1, Pocillopora_meandrina_HIv1___TS.g3717.t1	
OG0000142		Pocillopora_meandrina_HIv1___RNAseq.g9978.t1	Peve_00001307, Peve_00001308, Peve_00001310, Peve_00001312, Peve_00001315, Peve_00001316, Peve_00001318, Peve_00014675, Peve_00014677, Peve_00015299, Peve_00015300, Peve_00015301, Peve_00015307, Peve_00015308, Peve_00015309, Peve_00015319, Peve_00015320, Peve_00015321, Peve_00017526, Peve_00017527, Peve_00017528, Peve_00017532, Peve_00018604, Peve_00018605, Peve_00018606, Peve_00018608
OG0000143			Peve_00001375, Peve_00003239, Peve_00012631, Peve_00012632, Peve_00012638, Peve_00015949, Peve_00021092, Peve_00022301, Peve_00025166, Peve_00025168, Peve_00030542, Peve_00033701, Peve_00035224, Peve_00035698, Peve_00035699, Peve_00035703, Peve_00035705, Peve_00035708, Peve_00035711, Peve_00035712, Peve_00035713, Peve_00035715, Peve_00035716, Peve_00035717, Peve_00035719, Peve_00035720, Peve_00042619
OG0000144	XP_029179724.2, XP_029180958.2, XP_029210477.2, XP_044176979.1, XP_044177181.1	Pocillopora_meandrina_HIv1___RNAseq.g18660.t1, Pocillopora_meandrina_HIv1___RNAseq.g26205.t1	Peve_00009821, Peve_00011697, Peve_00012725, Peve_00012729, Peve_00017968, Peve_00018117, Peve_00018120, Peve_00018121, Peve_00021336, Peve_00021337, Peve_00021339, Peve_00021342, Peve_00021343, Peve_00022866, Peve_00025008, Peve_00027614, Peve_00027657, Peve_00040888, Peve_00045086
OG0000145	XP_029181505.2, XP_029182125.2, XP_029205444.2, XP_029212728.2, XP_044163453.1, XP_044165720.1, XP_044165724.1, XP_044167908.1, XP_044167961.1, XP_044168917.1, XP_044171575.1, XP_044171873.1, XP_044172503.1, XP_044175148.1, XP_044178876.1, XP_044179113.1, XP_044179907.1, XP_044182086.1, XP_044183237.1, XP_044184720.1	Pocillopora_meandrina_HIv1___RNAseq.g20595.t1, Pocillopora_meandrina_HIv1___RNAseq.g20619.t1, Pocillopora_meandrina_HIv1___RNAseq.g27267.t1, Pocillopora_meandrina_HIv1___TS.g4119.t1, Pocillopora_meandrina_HIv1___TS.g6892.t1b	Peve_00035063
OG0000146	XP_029182842.2, XP_029182843.2, XP_029182844.2, XP_029182848.2, XP_029182849.2, XP_029182851.2, XP_029182870.2, XP_029182871.2, XP_029182872.2, XP_044176006.1, XP_044176170.1, XP_044176171.1, XP_044176172.1, XP_044176173.1, XP_044176174.1, XP_044176175.1, XP_044176176.1, XP_044176177.1, XP_044176178.1, XP_044176179.1, XP_044176180.1, XP_044176181.1, XP_044176182.1, XP_044176183.1, XP_044176184.1, XP_044176185.1		
OG0000147	XP_029189355.2		Peve_00001037, Peve_00001038, Peve_00001039, Peve_00001042, Peve_00001045, Peve_00003705, Peve_00003706, Peve_00003710, Peve_00003712, Peve_00012193, Peve_00013543, Peve_00013544, Peve_00013566, Peve_00013571, Peve_00022223, Peve_00022224, Peve_00022225, Peve_00030558, Peve_00031055, Peve_00040115, Peve_00040407, Peve_00042998, Peve_00043005, Peve_00043010, Peve_00043012
OG0000148	XP_029191672.2	Pocillopora_meandrina_HIv1___RNAseq.g11324.t1, Pocillopora_meandrina_HIv1___RNAseq.g15758.t1, Pocillopora_meandrina_HIv1___RNAseq.g22152.t1, Pocillopora_meandrina_HIv1___RNAseq.g7645.t1a, Pocillopora_meandrina_HIv1___RNAseq.g865.t1, Pocillopora_meandrina_HIv1___RNAseq.g870.t1, Pocillopora_meandrina_HIv1___RNAseq.g871.t1, Pocillopora_meandrina_HIv1___RNAseq.g878.t1, Pocillopora_meandrina_HIv1___RNAseq.g887.t1, Pocillopora_meandrina_HIv1___RNAseq.g890.t1, Pocillopora_meandrina_HIv1___RNAseq.g891.t1, Pocillopora_meandrina_HIv1___TS.g5408.t1, Pocillopora_meandrina_HIv1___TS.g5410.t1, Pocillopora_meandrina_HIv1___TS.g7960.t1	Peve_00002246, Peve_00002255, Peve_00041682, Peve_00041685, Peve_00041687, Peve_00041690, Peve_00041691, Peve_00041702, Peve_00041730, Peve_00041745, Peve_00041746
OG0000149	XP_029197259.2, XP_029197289.2, XP_029204149.2, XP_029204150.2, XP_029204158.2, XP_029204163.2, XP_029204166.2, XP_044177741.1, XP_044182356.1, XP_044182358.1, XP_044182359.1, XP_044182360.1, XP_044182362.1, XP_044182363.1, XP_044182364.1, XP_044182365.1, XP_044182366.1, XP_044182367.1, XP_044182368.1, XP_044182369.1, XP_044182370.1, XP_044182371.1, XP_044182372.1, XP_044182824.1, XP_044182888.1, XP_044182889.1		
OG0000150	XP_029197917.1		Peve_00006236, Peve_00011751, Peve_00011752, Peve_00011753, Peve_00018592, Peve_00018594, Peve_00018596, Peve_00019203, Peve_00019205, Peve_00019206, Peve_00021737, Peve_00021738, Peve_00021739, Peve_00022816, Peve_00025391, Peve_00025392, Peve_00025393, Peve_00030597, Peve_00033276, Peve_00036088, Peve_00039081, Peve_00039082, Peve_00039088, Peve_00039375, Peve_00039376
OG0000151	XP_044178405.1		Peve_00002389, Peve_00003293, Peve_00003294, Peve_00003295, Peve_00004324, Peve_00004595, Peve_00006969, Peve_00007620, Peve_00007627, Peve_00014474, Peve_00018957, Peve_00021386, Peve_00025589, Peve_00025653, Peve_00027494, Peve_00030777, Peve_00030789, Peve_00035072, Peve_00035329, Peve_00037972, Peve_00038509, Peve_00040657, Peve_00040944, Peve_00041686, Peve_00041688
OG0000152		Pocillopora_meandrina_HIv1___RNAseq.g12476.t1, Pocillopora_meandrina_HIv1___RNAseq.g12477.t2, Pocillopora_meandrina_HIv1___RNAseq.g16775.t1, Pocillopora_meandrina_HIv1___RNAseq.g22222.t1, Pocillopora_meandrina_HIv1___RNAseq.g22223.t1, Pocillopora_meandrina_HIv1___RNAseq.g22229.t1, Pocillopora_meandrina_HIv1___RNAseq.g22230.t1, Pocillopora_meandrina_HIv1___RNAseq.g22235.t1, Pocillopora_meandrina_HIv1___RNAseq.g22240.t1, Pocillopora_meandrina_HIv1___RNAseq.g22244.t1, Pocillopora_meandrina_HIv1___RNAseq.g22246.t1, Pocillopora_meandrina_HIv1___RNAseq.g22248.t1, Pocillopora_meandrina_HIv1___RNAseq.g22249.t1, Pocillopora_meandrina_HIv1___RNAseq.g22250.t1, Pocillopora_meandrina_HIv1___RNAseq.g22253.t1, Pocillopora_meandrina_HIv1___RNAseq.g22256.t1, Pocillopora_meandrina_HIv1___RNAseq.g22258.t1, Pocillopora_meandrina_HIv1___RNAseq.g22260.t2, Pocillopora_meandrina_HIv1___RNAseq.g22261.t1, Pocillopora_meandrina_HIv1___RNAseq.g22375.t1, Pocillopora_meandrina_HIv1___TS.g26983.t1, Pocillopora_meandrina_HIv1___TS.g26985.t1, Pocillopora_meandrina_HIv1___TS.g26991.t1, Pocillopora_meandrina_HIv1___TS.g26996.t1, Pocillopora_meandrina_HIv1___TS.g26999.t1, Pocillopora_meandrina_HIv1___TS.g27010.t1	
OG0000153		Pocillopora_meandrina_HIv1___RNAseq.g11144.t1, Pocillopora_meandrina_HIv1___RNAseq.g11147.t1, Pocillopora_meandrina_HIv1___RNAseq.g14532.t1, Pocillopora_meandrina_HIv1___RNAseq.g14549.t1, Pocillopora_meandrina_HIv1___RNAseq.g14559.t2, Pocillopora_meandrina_HIv1___RNAseq.g14568.t1, Pocillopora_meandrina_HIv1___RNAseq.g14589.t1, Pocillopora_meandrina_HIv1___RNAseq.g14606.t1, Pocillopora_meandrina_HIv1___RNAseq.g14615.t1, Pocillopora_meandrina_HIv1___RNAseq.g20629.t1, Pocillopora_meandrina_HIv1___RNAseq.g20872.t1, Pocillopora_meandrina_HIv1___RNAseq.g24312.t1, Pocillopora_meandrina_HIv1___RNAseq.g24315.t1, Pocillopora_meandrina_HIv1___RNAseq.g24316.t1, Pocillopora_meandrina_HIv1___RNAseq.g25212.t1, Pocillopora_meandrina_HIv1___TS.g19484.t1, Pocillopora_meandrina_HIv1___TS.g19485.t1, Pocillopora_meandrina_HIv1___TS.g19497.t1, Pocillopora_meandrina_HIv1___TS.g4074.t1, Pocillopora_meandrina_HIv1___TS.g5974.t1, Pocillopora_meandrina_HIv1___TS.g5986.t1, Pocillopora_meandrina_HIv1___TS.g5995.t1, Pocillopora_meandrina_HIv1___TS.g6016.t1, Pocillopora_meandrina_HIv1___TS.g6025.t1, Pocillopora_meandrina_HIv1___TS.g6067.t1, Pocillopora_meandrina_HIv1___TS.g6095.t1	
OG0000154	XP_029179292.2, XP_029182074.2, XP_029183507.2, XP_029185714.1, XP_044164905.1, XP_044166357.1, XP_044166469.1, XP_044167094.1, XP_044169119.1, XP_044171378.1, XP_044173546.1, XP_044179545.1, XP_044181016.1, XP_044181319.1, XP_044182093.1, XP_044182641.1, XP_044182927.1, XP_044183415.1, XP_044184396.1	Pocillopora_meandrina_HIv1___RNAseq.g7922.t1	Peve_00014355, Peve_00021588, Peve_00025316, Peve_00035181, Peve_00041886
OG0000155	XP_029180427.2, XP_029199674.2, XP_044163304.1, XP_044165023.1, XP_044166830.1, XP_044166992.1, XP_044167298.1, XP_044168689.1, XP_044168757.1, XP_044171164.1, XP_044171240.1, XP_044171494.1, XP_044173693.1, XP_044174264.1, XP_044174294.1, XP_044174543.1, XP_044177038.1, XP_044178665.1, XP_044179073.1, XP_044181590.1, XP_044182083.1, XP_044182090.1, XP_044182099.1, XP_044182788.1, XP_044183287.1		
OG0000156	XP_029180449.2, XP_029181347.2, XP_029183137.2, XP_029208835.2, XP_044166223.1, XP_044167020.1, XP_044167507.1, XP_044168693.1, XP_044171621.1, XP_044173969.1, XP_044175229.1, XP_044175776.1, XP_044179381.1, XP_044180025.1, XP_044181810.1, XP_044182402.1, XP_044184795.1	Pocillopora_meandrina_HIv1___RNAseq.g14332.t1, Pocillopora_meandrina_HIv1___RNAseq.g18001.t1, Pocillopora_meandrina_HIv1___RNAseq.g2631.t1, Pocillopora_meandrina_HIv1___RNAseq.g3368.t1, Pocillopora_meandrina_HIv1___RNAseq.g4923.t1, Pocillopora_meandrina_HIv1___RNAseq.g4928.t1, Pocillopora_meandrina_HIv1___RNAseq.g742.t1, Pocillopora_meandrina_HIv1___TS.g30014.t1	
OG0000157	XP_029181717.2, XP_029181718.2, XP_029181719.2, XP_029181720.2, XP_029208468.2, XP_029208469.2, XP_029208470.2, XP_029208472.2, XP_029208473.2, XP_029208475.2, XP_044167005.1, XP_044176512.1, XP_044176513.1, XP_044176514.1, XP_044176515.1, XP_044176516.1, XP_044176517.1, XP_044176518.1, XP_044176519.1, XP_044176520.1, XP_044176521.1, XP_044176522.1, XP_044176524.1, XP_044176839.1, XP_044176840.1		
OG0000158	XP_029182015.2, XP_044166478.1, XP_044166875.1, XP_044167410.1, XP_044170558.1, XP_044170714.1, XP_044171633.1, XP_044182111.1, XP_044182754.1, XP_044182915.1	Pocillopora_meandrina_HIv1___RNAseq.g11340.t1, Pocillopora_meandrina_HIv1___RNAseq.g1203.t1, Pocillopora_meandrina_HIv1___RNAseq.g17016.t1a, Pocillopora_meandrina_HIv1___RNAseq.g17374.t1, Pocillopora_meandrina_HIv1___RNAseq.g19342.t1, Pocillopora_meandrina_HIv1___RNAseq.g20552.t1, Pocillopora_meandrina_HIv1___RNAseq.g24946.t1, Pocillopora_meandrina_HIv1___RNAseq.g25078.t1, Pocillopora_meandrina_HIv1___RNAseq.g25079.t1, Pocillopora_meandrina_HIv1___RNAseq.g864.t1, Pocillopora_meandrina_HIv1___RNAseq.g9615.t1, Pocillopora_meandrina_HIv1___TS.g15521.t1, Pocillopora_meandrina_HIv1___TS.g9452.t1	Peve_00002296, Peve_00035525
OG0000159	XP_029202016.2, XP_029202017.2, XP_029205597.2, XP_029205598.2, XP_029205599.2, XP_029205600.1, XP_029205603.2, XP_029205605.2, XP_029205606.2, XP_029205607.2, XP_029205610.2, XP_029205612.2, XP_029205616.2, XP_029205622.2, XP_044172679.1, XP_044181687.1, XP_044181848.1, XP_044181849.1, XP_044181850.1, XP_044181922.1, XP_044181923.1, XP_044181924.1, XP_044181925.1, XP_044181927.1, XP_044181928.1		
OG0000160	XP_029204336.2, XP_029205219.2, XP_029205222.2, XP_044166897.1, XP_044168014.1, XP_044168019.1, XP_044169740.1, XP_044170559.1, XP_044170807.1, XP_044170808.1, XP_044171305.1, XP_044171306.1, XP_044171747.1, XP_044172365.1, XP_044172366.1, XP_044172376.1, XP_044172377.1, XP_044174357.1, XP_044176683.1, XP_044176744.1, XP_044177073.1, XP_044178223.1, XP_044178519.1, XP_044184719.1		Peve_00030962
OG0000161	XP_044163782.1, XP_044171203.1	Pocillopora_meandrina_HIv1___RNAseq.g13440.t1, Pocillopora_meandrina_HIv1___RNAseq.g14659.t1a, Pocillopora_meandrina_HIv1___RNAseq.g16249.t1a, Pocillopora_meandrina_HIv1___RNAseq.g16249.t1b, Pocillopora_meandrina_HIv1___RNAseq.g16257.t1, Pocillopora_meandrina_HIv1___RNAseq.g18727.t1, Pocillopora_meandrina_HIv1___RNAseq.g18990.t1a, Pocillopora_meandrina_HIv1___RNAseq.g18990.t1b, Pocillopora_meandrina_HIv1___RNAseq.g21952.t1, Pocillopora_meandrina_HIv1___RNAseq.g23217.t1, Pocillopora_meandrina_HIv1___RNAseq.g28011.t1, Pocillopora_meandrina_HIv1___RNAseq.g3358.t1, Pocillopora_meandrina_HIv1___RNAseq.g6838.t1, Pocillopora_meandrina_HIv1___RNAseq.g7533.t1, Pocillopora_meandrina_HIv1___RNAseq.g7534.t1, Pocillopora_meandrina_HIv1___RNAseq.g9444.t1, Pocillopora_meandrina_HIv1___RNAseq.g9648.t1, Pocillopora_meandrina_HIv1___RNAseq.g969.t1, Pocillopora_meandrina_HIv1___TS.g1278.t1, Pocillopora_meandrina_HIv1___TS.g14252.t1, Pocillopora_meandrina_HIv1___TS.g18528.t1	Peve_00015159, Peve_00024921
OG0000162	XP_044175483.1, XP_044182129.1, XP_044182404.1, XP_044182635.1, XP_044182837.1, XP_044182838.1, XP_044182839.1, XP_044182840.1, XP_044182841.1, XP_044182842.1, XP_044182843.1, XP_044182844.1, XP_044182845.1, XP_044182847.1, XP_044182848.1, XP_044182849.1, XP_044182850.1, XP_044182851.1, XP_044182852.1, XP_044182853.1, XP_044182856.1, XP_044183091.1	Pocillopora_meandrina_HIv1___RNAseq.g53.t1	Peve_00014903, Peve_00029562
OG0000163		Pocillopora_meandrina_HIv1___RNAseq.g15531.t1, Pocillopora_meandrina_HIv1___RNAseq.g15532.t1, Pocillopora_meandrina_HIv1___RNAseq.g16400.t1, Pocillopora_meandrina_HIv1___RNAseq.g19072.t1, Pocillopora_meandrina_HIv1___RNAseq.g21735.t1, Pocillopora_meandrina_HIv1___RNAseq.g22853.t1, Pocillopora_meandrina_HIv1___RNAseq.g2395.t1, Pocillopora_meandrina_HIv1___RNAseq.g25024.t1, Pocillopora_meandrina_HIv1___RNAseq.g25047.t1, Pocillopora_meandrina_HIv1___RNAseq.g25829.t1, Pocillopora_meandrina_HIv1___RNAseq.g29666.t1, Pocillopora_meandrina_HIv1___RNAseq.g4128.t1, Pocillopora_meandrina_HIv1___RNAseq.g9486.t1, Pocillopora_meandrina_HIv1___TS.g20637.t1, Pocillopora_meandrina_HIv1___TS.g22081.t1, Pocillopora_meandrina_HIv1___TS.g22083.t1, Pocillopora_meandrina_HIv1___TS.g22085.t1, Pocillopora_meandrina_HIv1___TS.g22087.t1, Pocillopora_meandrina_HIv1___TS.g22089.t1, Pocillopora_meandrina_HIv1___TS.g22091.t1, Pocillopora_meandrina_HIv1___TS.g22094.t1, Pocillopora_meandrina_HIv1___TS.g22096.t1, Pocillopora_meandrina_HIv1___TS.g22098.t1, Pocillopora_meandrina_HIv1___TS.g22100.t1, Pocillopora_meandrina_HIv1___TS.g26745.t1	
OG0000164		Pocillopora_meandrina_HIv1___RNAseq.g24186.t1, Pocillopora_meandrina_HIv1___RNAseq.g24189.t1, Pocillopora_meandrina_HIv1___RNAseq.g24190.t1, Pocillopora_meandrina_HIv1___RNAseq.g24191.t1, Pocillopora_meandrina_HIv1___RNAseq.g24192.t1, Pocillopora_meandrina_HIv1___RNAseq.g24195.t1, Pocillopora_meandrina_HIv1___RNAseq.g24198.t1, Pocillopora_meandrina_HIv1___RNAseq.g24199.t1, Pocillopora_meandrina_HIv1___RNAseq.g24201.t1, Pocillopora_meandrina_HIv1___RNAseq.g24203.t1, Pocillopora_meandrina_HIv1___RNAseq.g24204.t1, Pocillopora_meandrina_HIv1___RNAseq.g24209.t1, Pocillopora_meandrina_HIv1___RNAseq.g24215.t1, Pocillopora_meandrina_HIv1___RNAseq.g24217.t1, Pocillopora_meandrina_HIv1___RNAseq.g24219.t1, Pocillopora_meandrina_HIv1___RNAseq.g24221.t1, Pocillopora_meandrina_HIv1___RNAseq.g24225.t1, Pocillopora_meandrina_HIv1___RNAseq.g24227.t1, Pocillopora_meandrina_HIv1___RNAseq.g24228.t1, Pocillopora_meandrina_HIv1___RNAseq.g24230.t1, Pocillopora_meandrina_HIv1___RNAseq.g24233.t1, Pocillopora_meandrina_HIv1___RNAseq.g24237.t1, Pocillopora_meandrina_HIv1___TS.g12150.t1, Pocillopora_meandrina_HIv1___TS.g12154.t1, Pocillopora_meandrina_HIv1___TS.g12182.t1	
OG0000165		Pocillopora_meandrina_HIv1___RNAseq.g14884.t1b, Pocillopora_meandrina_HIv1___RNAseq.g14885.t1, Pocillopora_meandrina_HIv1___RNAseq.g23389.t1, Pocillopora_meandrina_HIv1___RNAseq.g23390.t1, Pocillopora_meandrina_HIv1___RNAseq.g5472.t1, Pocillopora_meandrina_HIv1___RNAseq.g5474.t1, Pocillopora_meandrina_HIv1___RNAseq.g5475.t1, Pocillopora_meandrina_HIv1___RNAseq.g5476.t1, Pocillopora_meandrina_HIv1___RNAseq.g5480.t1, Pocillopora_meandrina_HIv1___RNAseq.g5481.t1, Pocillopora_meandrina_HIv1___RNAseq.g5483.t1, Pocillopora_meandrina_HIv1___RNAseq.g5484.t1, Pocillopora_meandrina_HIv1___RNAseq.g5485.t1, Pocillopora_meandrina_HIv1___RNAseq.g5486.t1, Pocillopora_meandrina_HIv1___RNAseq.g5487.t1, Pocillopora_meandrina_HIv1___RNAseq.g5488.t1, Pocillopora_meandrina_HIv1___RNAseq.g5489.t1, Pocillopora_meandrina_HIv1___RNAseq.g5517.t1, Pocillopora_meandrina_HIv1___RNAseq.g5522.t1, Pocillopora_meandrina_HIv1___TS.g12832.t1, Pocillopora_meandrina_HIv1___TS.g16275.t2, Pocillopora_meandrina_HIv1___TS.g24237.t1, Pocillopora_meandrina_HIv1___TS.g24238.t1, Pocillopora_meandrina_HIv1___TS.g24240.t1, Pocillopora_meandrina_HIv1___TS.g7772.t2	
OG0000166			Peve_00001232, Peve_00001238, Peve_00001699, Peve_00001700, Peve_00002609, Peve_00002616, Peve_00009260, Peve_00010741, Peve_00010747, Peve_00014727, Peve_00015717, Peve_00018493, Peve_00019155, Peve_00023868, Peve_00026740, Peve_00026807, Peve_00026985, Peve_00032449, Peve_00032939, Peve_00032940, Peve_00033806, Peve_00033807, Peve_00036280, Peve_00040002, Peve_00044323
