Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000002:3666073-3667754	Cluster_984	N	730	267	458	438	121
Pocillopora_meandrina_HIv1___Sc0000002:3668754-3670593	Cluster_985	N	6075	2303	2577	4779	2197
Pocillopora_meandrina_HIv1___Sc0000002:3674659-3675089	Cluster_986	N	81	21	42	28	1
Pocillopora_meandrina_HIv1___Sc0000002:3675642-3676070	Cluster_987	N	10	5	148	32	2
Pocillopora_meandrina_HIv1___Sc0000002:3676129-3676585	Cluster_988	N	3049	8606	9	7	5
Pocillopora_meandrina_HIv1___Sc0000002:3676790-3677257	Cluster_989	N	36	2131	0	2	1
Pocillopora_meandrina_HIv1___Sc0000002:3678079-3678480	Cluster_990	N	51	16	47	29	9
Pocillopora_meandrina_HIv1___Sc0000002:3678827-3679253	Cluster_991	N	109	13	71	48	14
Pocillopora_meandrina_HIv1___Sc0000002:3679595-3680568	Cluster_992	N	362	52	215	161	53
Pocillopora_meandrina_HIv1___Sc0000002:3680865-3682503	Cluster_993	N	517	236	1405	754	244
Pocillopora_meandrina_HIv1___Sc0000002:3682594-3683419	Cluster_994	N	147	43	76	57	17
Pocillopora_meandrina_HIv1___Sc0000002:3684709-3685113	Cluster_995	N	92	4	58	55	16
Pocillopora_meandrina_HIv1___Sc0000002:3688785-3689581	Cluster_996	N	116	20	83	85	423
Pocillopora_meandrina_HIv1___Sc0000002:3690290-3691344	Cluster_997	N	213	96	104	75	20
Pocillopora_meandrina_HIv1___Sc0000002:3694540-3695954	Cluster_998	N	2692	1729	2552	1346	90
Pocillopora_meandrina_HIv1___Sc0000002:3700620-3701262	Cluster_999	N	123	42	146	92	52
Pocillopora_meandrina_HIv1___Sc0000002:3703878-3704313	Cluster_1000	N	11	4	88	16	239
Pocillopora_meandrina_HIv1___Sc0000002:3705344-3706092	Cluster_1001	N	24	19	395	355	3
Pocillopora_meandrina_HIv1___Sc0000002:3706387-3707908	Cluster_1002	N	66	58	1890	3229	18
Pocillopora_meandrina_HIv1___Sc0000002:3707943-3710875	Cluster_1003	N	2351	1272	2226	4951	340
Pocillopora_meandrina_HIv1___Sc0000002:3712606-3713228	Cluster_1004	N	129	50	99	91	16
Pocillopora_meandrina_HIv1___Sc0000002:3715928-3716824	Cluster_1005	N	2756	1445	2260	2330	841
Pocillopora_meandrina_HIv1___Sc0000002:3718063-3719283	Cluster_1006	N	457	920	1	5	567
Pocillopora_meandrina_HIv1___Sc0000002:3719621-3720050	Cluster_1007	N	5	4	74	17	6
Pocillopora_meandrina_HIv1___Sc0000002:3725150-3726723	Cluster_1008	N	1855	961	143	5787	1748
Pocillopora_meandrina_HIv1___Sc0000002:3730451-3730897	Cluster_1009	N	31	38	384	26	41
Pocillopora_meandrina_HIv1___Sc0000002:3730961-3731833	Cluster_1010	N	1787	1225	854	3712	565
Pocillopora_meandrina_HIv1___Sc0000002:3742641-3743070	Cluster_1011	N	44	10	37	26	24
Pocillopora_meandrina_HIv1___Sc0000002:3745169-3745979	Cluster_1012	N	376	1351	1473	1933	731
Pocillopora_meandrina_HIv1___Sc0000002:3750061-3750938	Cluster_1013	N	122	34	92	935	33
Pocillopora_meandrina_HIv1___Sc0000002:3751156-3751595	Cluster_1014	N	100	0	130	96	30
Pocillopora_meandrina_HIv1___Sc0000002:3765212-3765636	Cluster_1015	N	44	13	53	23	2
Pocillopora_meandrina_HIv1___Sc0000002:3766723-3767137	Cluster_1016	N	40	15	11	50	7
Pocillopora_meandrina_HIv1___Sc0000002:3767202-3767611	Cluster_1017	N	41	0	30	27	1
Pocillopora_meandrina_HIv1___Sc0000002:3767638-3768039	Cluster_1018	N	56	20	23	48	5
Pocillopora_meandrina_HIv1___Sc0000002:3810076-3810492	Cluster_1019	N	16	39	15	26	124
Pocillopora_meandrina_HIv1___Sc0000002:3841944-3842042	Cluster_1020	Y	29372	23006	20932	25775	8950
Pocillopora_meandrina_HIv1___Sc0000002:3888855-3889274	Cluster_1021	N	15	31	15	20	1
Pocillopora_meandrina_HIv1___Sc0000002:3903134-3903757	Cluster_1022	N	0	13	30	242	34
Pocillopora_meandrina_HIv1___Sc0000002:3941035-3941465	Cluster_1023	N	314	106	109	23	64
Pocillopora_meandrina_HIv1___Sc0000002:3941650-3942338	Cluster_1024	N	1799	256	159	57	269
Pocillopora_meandrina_HIv1___Sc0000002:4018836-4019276	Cluster_1025	N	137	2	0	4225	5223
Pocillopora_meandrina_HIv1___Sc0000002:4047421-4047933	Cluster_1026	N	827	1132	253	235	99
Pocillopora_meandrina_HIv1___Sc0000002:4048071-4048664	Cluster_1027	N	285	546	33	174	6
Pocillopora_meandrina_HIv1___Sc0000002:4048723-4049272	Cluster_1028	N	523	75	36	26	4
Pocillopora_meandrina_HIv1___Sc0000002:4049287-4049710	Cluster_1029	N	7	54	33	23	30
Pocillopora_meandrina_HIv1___Sc0000002:4232214-4232630	Cluster_1030	N	18	47	28	12	51
Pocillopora_meandrina_HIv1___Sc0000002:4472766-4473180	Cluster_1031	N	0	0	3	62	10
Pocillopora_meandrina_HIv1___Sc0000002:4540570-4540973	Cluster_1032	N	5	15	2	92	25
Pocillopora_meandrina_HIv1___Sc0000002:4567952-4568379	Cluster_1033	N	11	11	108	5	16
Pocillopora_meandrina_HIv1___Sc0000002:4727880-4728316	Cluster_1034	N	3	196	1	2	1
Pocillopora_meandrina_HIv1___Sc0000002:4728531-4728984	Cluster_1035	N	15	270	21	1	0
Pocillopora_meandrina_HIv1___Sc0000002:4807583-4808012	Cluster_1036	N	94	10	3	41	8
Pocillopora_meandrina_HIv1___Sc0000002:4843678-4844094	Cluster_1037	N	2	13	12	28	106
Pocillopora_meandrina_HIv1___Sc0000002:4856630-4858806	Cluster_1038	N	497	117	665	425	207
Pocillopora_meandrina_HIv1___Sc0000002:4859814-4860855	Cluster_1039	N	202	44	297	213	109
Pocillopora_meandrina_HIv1___Sc0000002:4860993-4862594	Cluster_1040	N	1231	149	398	1088	150
Pocillopora_meandrina_HIv1___Sc0000002:4992098-4992528	Cluster_1041	N	349	96	79	1158	128
Pocillopora_meandrina_HIv1___Sc0000002:5173097-5173512	Cluster_1042	N	125	0	0	101	2
Pocillopora_meandrina_HIv1___Sc0000002:5433888-5434317	Cluster_1043	N	60	6	198	34	53
Pocillopora_meandrina_HIv1___Sc0000002:5496901-5497538	Cluster_1044	N	19	4	145	135	2
Pocillopora_meandrina_HIv1___Sc0000002:5604505-5604918	Cluster_1045	N	4	47	33	42	158
Pocillopora_meandrina_HIv1___Sc0000002:5605961-5606377	Cluster_1046	N	3	24	7	33	123
Pocillopora_meandrina_HIv1___Sc0000002:5647892-5648347	Cluster_1047	N	0	2	1	351	2
Pocillopora_meandrina_HIv1___Sc0000002:5674036-5674458	Cluster_1048	N	3	115	0	10	1
Pocillopora_meandrina_HIv1___Sc0000002:5730888-5731313	Cluster_1049	N	210	1	2	4	0
Pocillopora_meandrina_HIv1___Sc0000002:5864725-5865274	Cluster_1050	N	177	80	281	116	63
Pocillopora_meandrina_HIv1___Sc0000002:5865631-5866439	Cluster_1051	N	745	71	442	248	105
Pocillopora_meandrina_HIv1___Sc0000002:5883572-5884385	Cluster_1052	N	79	11	139	138	47
Pocillopora_meandrina_HIv1___Sc0000002:6062911-6063344	Cluster_1053	N	172	33	46	238	32
Pocillopora_meandrina_HIv1___Sc0000002:6066733-6067219	Cluster_1054	N	2	5	28	128	47
Pocillopora_meandrina_HIv1___Sc0000002:6069257-6069690	Cluster_1055	N	6	0	2	306	3
Pocillopora_meandrina_HIv1___Sc0000002:6072542-6072966	Cluster_1056	N	0	53	145	54	24
Pocillopora_meandrina_HIv1___Sc0000002:6072968-6073528	Cluster_1057	N	3	28	178	40	64
Pocillopora_meandrina_HIv1___Sc0000002:6079695-6081472	Cluster_1058	N	1399	1353	866	2164	287
Pocillopora_meandrina_HIv1___Sc0000002:6081680-6084218	Cluster_1059	N	625	803	479	1300	419
Pocillopora_meandrina_HIv1___Sc0000002:6090515-6091327	Cluster_1060	N	404	8	108	1	151
Pocillopora_meandrina_HIv1___Sc0000002:6094144-6095261	Cluster_1061	N	291	898	2575	743	662
Pocillopora_meandrina_HIv1___Sc0000002:6100032-6101266	Cluster_1062	N	5	195	2	1339	128
Pocillopora_meandrina_HIv1___Sc0000002:6102732-6103990	Cluster_1063	N	26	1603	32	2645	927
Pocillopora_meandrina_HIv1___Sc0000002:6511195-6511674	Cluster_1064	N	75	46	291	71	311
Pocillopora_meandrina_HIv1___Sc0000002:6728488-6728905	Cluster_1065	N	28	42	19	9	235
Pocillopora_meandrina_HIv1___Sc0000002:6783071-6783501	Cluster_1066	N	323	2	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:6892811-6894008	Cluster_1067	N	2745	301	3196	4738	145
Pocillopora_meandrina_HIv1___Sc0000002:6894228-6894656	Cluster_1068	N	0	0	2	152	19
Pocillopora_meandrina_HIv1___Sc0000002:7339211-7339638	Cluster_1069	N	0	0	0	81	0
Pocillopora_meandrina_HIv1___Sc0000002:7342301-7342716	Cluster_1070	N	40	81	79	0	1
Pocillopora_meandrina_HIv1___Sc0000002:7342738-7343167	Cluster_1071	N	34	125	121	5	4
Pocillopora_meandrina_HIv1___Sc0000002:7372934-7373361	Cluster_1072	N	1	0	0	148	0
Pocillopora_meandrina_HIv1___Sc0000002:7390574-7390990	Cluster_1073	N	0	261	61	121	37
Pocillopora_meandrina_HIv1___Sc0000002:7745983-7746398	Cluster_1074	N	21	44	15	51	63
Pocillopora_meandrina_HIv1___Sc0000002:7970887-7971311	Cluster_1075	N	194	0	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:8140572-8140991	Cluster_1076	N	1	9	23	21	27
Pocillopora_meandrina_HIv1___Sc0000002:8468347-8468765	Cluster_1077	N	41	17	30	22	34
Pocillopora_meandrina_HIv1___Sc0000002:8530203-8530636	Cluster_1078	N	0	74	378	430	1
Pocillopora_meandrina_HIv1___Sc0000002:8530938-8531364	Cluster_1079	N	37	64	225	7	18
Pocillopora_meandrina_HIv1___Sc0000002:8797245-8797663	Cluster_1080	N	767	738	597	736	323
Pocillopora_meandrina_HIv1___Sc0000002:8842763-8843460	Cluster_1081	N	41	97	1	158	157
Pocillopora_meandrina_HIv1___Sc0000002:8843642-8844334	Cluster_1082	N	106	53	151	497	20
Pocillopora_meandrina_HIv1___Sc0000002:8981901-8982315	Cluster_1083	N	3	42	1	0	51
Pocillopora_meandrina_HIv1___Sc0000002:9033889-9034316	Cluster_1084	N	35	37	90	74	9
Pocillopora_meandrina_HIv1___Sc0000002:9043627-9044105	Cluster_1085	N	4533	17	4847	69	78
Pocillopora_meandrina_HIv1___Sc0000002:9051075-9051502	Cluster_1086	N	92	45	43	13	2
Pocillopora_meandrina_HIv1___Sc0000002:9080238-9080665	Cluster_1087	N	0	0	1	609	0
Pocillopora_meandrina_HIv1___Sc0000002:9153293-9153709	Cluster_1088	N	78	55	86	26	22
Pocillopora_meandrina_HIv1___Sc0000002:9166314-9166724	Cluster_1089	N	58	29	34	3	0
Pocillopora_meandrina_HIv1___Sc0000002:9167351-9167779	Cluster_1090	N	115	18	7	0	3
Pocillopora_meandrina_HIv1___Sc0000002:9253012-9253427	Cluster_1091	N	4	14	17	366	72
Pocillopora_meandrina_HIv1___Sc0000002:9556404-9556813	Cluster_1092	N	0	0	78	1	4
Pocillopora_meandrina_HIv1___Sc0000002:9690194-9690604	Cluster_1093	N	81	18	69	21	29
Pocillopora_meandrina_HIv1___Sc0000002:9784858-9785294	Cluster_1094	N	318	239	287	312	81
Pocillopora_meandrina_HIv1___Sc0000002:9791938-9792368	Cluster_1095	N	912	7	300	0	126
Pocillopora_meandrina_HIv1___Sc0000002:9806413-9806890	Cluster_1096	N	207	213	330	242	31
Pocillopora_meandrina_HIv1___Sc0000002:9890408-9890826	Cluster_1097	N	185	5	0	8	1
Pocillopora_meandrina_HIv1___Sc0000002:9983103-9983517	Cluster_1098	N	78	0	49	101	113
Pocillopora_meandrina_HIv1___Sc0000002:10079214-10079641	Cluster_1099	N	2	0	402	0	5
Pocillopora_meandrina_HIv1___Sc0000002:10097278-10097878	Cluster_1100	N	248	96	212	60	29
Pocillopora_meandrina_HIv1___Sc0000002:10098007-10098437	Cluster_1101	N	3	274	119	121	66
Pocillopora_meandrina_HIv1___Sc0000002:10178005-10178419	Cluster_1102	N	0	77	1	7	93
Pocillopora_meandrina_HIv1___Sc0000002:10237076-10237574	Cluster_1103	N	3	2	0	352	69
Pocillopora_meandrina_HIv1___Sc0000002:10291453-10291881	Cluster_1104	N	102	47	93	51	12
Pocillopora_meandrina_HIv1___Sc0000002:10299732-10300146	Cluster_1105	N	75	1	8	0	0
Pocillopora_meandrina_HIv1___Sc0000002:10363177-10363591	Cluster_1106	N	81	3	8	5	5
Pocillopora_meandrina_HIv1___Sc0000002:10374599-10375013	Cluster_1107	N	17	194	1	3	50
Pocillopora_meandrina_HIv1___Sc0000002:10423174-10423595	Cluster_1108	N	4	36	4	23	84
Pocillopora_meandrina_HIv1___Sc0000002:10556606-10557024	Cluster_1109	N	18	58	19	26	43
Pocillopora_meandrina_HIv1___Sc0000002:10616330-10616744	Cluster_1110	N	6	8	0	22	49
Pocillopora_meandrina_HIv1___Sc0000002:10646046-10646461	Cluster_1111	N	13	20	35	17	44
Pocillopora_meandrina_HIv1___Sc0000002:10652385-10652797	Cluster_1112	N	35	0	30	6	8
Pocillopora_meandrina_HIv1___Sc0000002:10656468-10656897	Cluster_1113	N	116	36	3	127	13
Pocillopora_meandrina_HIv1___Sc0000002:10657860-10658289	Cluster_1114	N	485	345	326	518	96
Pocillopora_meandrina_HIv1___Sc0000002:10689132-10689550	Cluster_1115	N	5	32	12	17	73
Pocillopora_meandrina_HIv1___Sc0000002:10689731-10690137	Cluster_1116	N	7	25	12	49	92
Pocillopora_meandrina_HIv1___Sc0000002:10725810-10726232	Cluster_1117	N	80	17	4	35	3
Pocillopora_meandrina_HIv1___Sc0000002:10726293-10726712	Cluster_1118	N	21	65	5	87	12
Pocillopora_meandrina_HIv1___Sc0000002:10791059-10791611	Cluster_1119	N	140	63	1	1	37
Pocillopora_meandrina_HIv1___Sc0000002:10792850-10794071	Cluster_1120	N	482	931	5	1	642
Pocillopora_meandrina_HIv1___Sc0000002:10810071-10810499	Cluster_1121	N	35	19	383	12	0
Pocillopora_meandrina_HIv1___Sc0000002:10811366-10811817	Cluster_1122	N	1843	45	40	43	5
Pocillopora_meandrina_HIv1___Sc0000002:10812246-10812676	Cluster_1123	N	115	14	25	16	13
Pocillopora_meandrina_HIv1___Sc0000002:10824578-10825173	Cluster_1124	N	363	909	1393	603	445
Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816	Cluster_1125	Y	4055	2104	3025	1934	682
Pocillopora_meandrina_HIv1___Sc0000002:10993606-10994307	Cluster_1126	N	103	67	65	37	9
Pocillopora_meandrina_HIv1___Sc0000002:10994311-10994752	Cluster_1127	N	15	8	12	338	2
Pocillopora_meandrina_HIv1___Sc0000002:10995537-10995965	Cluster_1128	N	91	42	29	74	8
Pocillopora_meandrina_HIv1___Sc0000002:11007210-11008706	Cluster_1129	N	255	3	1212	244	141
Pocillopora_meandrina_HIv1___Sc0000002:11009550-11010451	Cluster_1130	N	221	0	573	115	102
Pocillopora_meandrina_HIv1___Sc0000002:11010488-11012492	Cluster_1131	N	1467	1907	1375	1111	626
Pocillopora_meandrina_HIv1___Sc0000002:11083015-11083429	Cluster_1132	N	12	4	134	12	11
Pocillopora_meandrina_HIv1___Sc0000002:11260574-11260989	Cluster_1133	N	23	44	75	72	44
Pocillopora_meandrina_HIv1___Sc0000002:11350672-11351104	Cluster_1134	N	72	344	89	248	309
Pocillopora_meandrina_HIv1___Sc0000002:11590390-11590812	Cluster_1135	N	10	42	67	52	39
Pocillopora_meandrina_HIv1___Sc0000002:11685056-11685474	Cluster_1136	N	173	0	330	43	74
Pocillopora_meandrina_HIv1___Sc0000002:11846947-11847603	Cluster_1137	N	454	78	213	29	19
Pocillopora_meandrina_HIv1___Sc0000002:11943384-11943811	Cluster_1138	N	0	13	112	0	13
Pocillopora_meandrina_HIv1___Sc0000002:12343138-12343591	Cluster_1139	N	239	85	107	84	34
Pocillopora_meandrina_HIv1___Sc0000002:12358290-12358718	Cluster_1140	N	15	279	28	13	12
Pocillopora_meandrina_HIv1___Sc0000002:12381688-12382117	Cluster_1141	N	59	22	21	44	13
Pocillopora_meandrina_HIv1___Sc0000002:12509771-12510186	Cluster_1142	N	0	0	0	0	193
Pocillopora_meandrina_HIv1___Sc0000002:12664260-12664675	Cluster_1143	N	0	0	101	1	5
Pocillopora_meandrina_HIv1___Sc0000002:12847776-12848204	Cluster_1144	N	0	0	195	18	0
Pocillopora_meandrina_HIv1___Sc0000002:12849337-12849760	Cluster_1145	N	74	92	100	123	62
Pocillopora_meandrina_HIv1___Sc0000002:12946840-12947268	Cluster_1146	N	145	57	187	13	15
Pocillopora_meandrina_HIv1___Sc0000002:12947409-12947849	Cluster_1147	N	180	60	101	12	7
Pocillopora_meandrina_HIv1___Sc0000002:12948045-12948462	Cluster_1148	N	37	87	54	9	13
Pocillopora_meandrina_HIv1___Sc0000002:12949694-12950122	Cluster_1149	N	123	2	5	14	18
Pocillopora_meandrina_HIv1___Sc0000002:12972851-12973278	Cluster_1150	N	53	96	58	108	20
Pocillopora_meandrina_HIv1___Sc0000002:13203511-13203925	Cluster_1151	N	9	62	0	1	7
Pocillopora_meandrina_HIv1___Sc0000002:13260092-13260514	Cluster_1152	N	14	0	7	99	0
Pocillopora_meandrina_HIv1___Sc0000002:13280874-13281378	Cluster_1153	N	53	132	96	260	322
Pocillopora_meandrina_HIv1___Sc0000002:13313713-13314217	Cluster_1154	N	100	202	191	266	943
Pocillopora_meandrina_HIv1___Sc0000002:13354138-13354564	Cluster_1155	N	0	94	53	0	8
Pocillopora_meandrina_HIv1___Sc0000002:13453547-13453972	Cluster_1156	N	89	2	0	95	2
Pocillopora_meandrina_HIv1___Sc0000002:13526669-13527088	Cluster_1157	N	268	235	676	265	33
Pocillopora_meandrina_HIv1___Sc0000002:13553543-13553957	Cluster_1158	N	6	9	2	1140	50
Pocillopora_meandrina_HIv1___Sc0000002:13646850-13647264	Cluster_1159	N	0	42	26	15	50
Pocillopora_meandrina_HIv1___Sc0000002:13698199-13698626	Cluster_1160	N	16	22	183	12	14
Pocillopora_meandrina_HIv1___Sc0000002:13773137-13773566	Cluster_1161	N	431	11	0	314	48
Pocillopora_meandrina_HIv1___Sc0000002:13812879-13813306	Cluster_1162	N	0	153	0	0	2
Pocillopora_meandrina_HIv1___Sc0000002:14200611-14201078	Cluster_1163	N	51	126	105	16	36
Pocillopora_meandrina_HIv1___Sc0000002:14203895-14204318	Cluster_1164	N	29	28	45	1	0
Pocillopora_meandrina_HIv1___Sc0000002:14286362-14286775	Cluster_1165	N	9	23	13	28	54
Pocillopora_meandrina_HIv1___Sc0000002:14380365-14380782	Cluster_1166	N	1	62	25	7	22
Pocillopora_meandrina_HIv1___Sc0000002:14495754-14496184	Cluster_1167	N	84	12	325	150	1
Pocillopora_meandrina_HIv1___Sc0000002:14748982-14749487	Cluster_1168	N	2	74	16	428	73
Pocillopora_meandrina_HIv1___Sc0000002:14800683-14801119	Cluster_1169	N	937	543	483	894	223
Pocillopora_meandrina_HIv1___Sc0000002:14803374-14803892	Cluster_1170	N	83	102	44	130	74
Pocillopora_meandrina_HIv1___Sc0000002:14810100-14810527	Cluster_1171	N	211	0	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:14815561-14815983	Cluster_1172	N	3	36	27	41	30
Pocillopora_meandrina_HIv1___Sc0000002:14816227-14817585	Cluster_1173	N	482	205	13	630	122
Pocillopora_meandrina_HIv1___Sc0000002:14818833-14819261	Cluster_1174	N	158	39	2	0	18
Pocillopora_meandrina_HIv1___Sc0000002:14914674-14915087	Cluster_1175	N	35	6	32	22	47
Pocillopora_meandrina_HIv1___Sc0000002:14921910-14922397	Cluster_1176	N	0	14	0	517	25
Pocillopora_meandrina_HIv1___Sc0000002:14957498-14958006	Cluster_1177	N	1	1	3	3427	11
Pocillopora_meandrina_HIv1___Sc0000002:14968554-14968981	Cluster_1178	N	190	9	5	3	0
Pocillopora_meandrina_HIv1___Sc0000002:15113131-15113638	Cluster_1179	N	396	69	3	113	39
Pocillopora_meandrina_HIv1___Sc0000002:15290742-15291230	Cluster_1180	N	523	547	772	820	916
Pocillopora_meandrina_HIv1___Sc0000002:15324522-15325223	Cluster_1181	N	96	52	62	53	7
Pocillopora_meandrina_HIv1___Sc0000002:15326453-15326881	Cluster_1182	N	97	48	23	82	10
Pocillopora_meandrina_HIv1___Sc0000002:15410169-15410609	Cluster_1183	N	190	1	195	96	155
Pocillopora_meandrina_HIv1___Sc0000002:15749261-15749351	Cluster_1184	Y	71	26	58	95	17
Pocillopora_meandrina_HIv1___Sc0000002:15762578-15763408	Cluster_1185	N	1740	1162	689	478	809
Pocillopora_meandrina_HIv1___Sc0000002:15781900-15782431	Cluster_1186	N	72	34	105	131	193
Pocillopora_meandrina_HIv1___Sc0000002:15893989-15894539	Cluster_1187	N	129	55	0	2	32
Pocillopora_meandrina_HIv1___Sc0000002:15894892-15895490	Cluster_1188	N	376	575	2	2	490
Pocillopora_meandrina_HIv1___Sc0000002:15992082-15992491	Cluster_1189	N	90	42	70	21	10
Pocillopora_meandrina_HIv1___Sc0000002:15992813-15993292	Cluster_1190	N	154	77	49	33	31
Pocillopora_meandrina_HIv1___Sc0000002:15993376-15993916	Cluster_1191	N	293	10	28	6	4
Pocillopora_meandrina_HIv1___Sc0000002:15994673-15996166	Cluster_1192	N	2205	141	302	523	81
Pocillopora_meandrina_HIv1___Sc0000002:16076887-16077338	Cluster_1193	N	1872	660	1580	1723	383
Pocillopora_meandrina_HIv1___Sc0000002:16084908-16085406	Cluster_1194	N	2037	2910	838	1343	2387
Pocillopora_meandrina_HIv1___Sc0000002:16086693-16087210	Cluster_1195	N	236	141	141	353	453
Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650	Cluster_1196	Y	786	522	634	621	333
Pocillopora_meandrina_HIv1___Sc0000002:16592025-16592431	Cluster_1197	N	15	1	7	1	121
Pocillopora_meandrina_HIv1___Sc0000002:16801047-16801473	Cluster_1198	N	54	0	69	59	18
Pocillopora_meandrina_HIv1___Sc0000002:16868237-16868878	Cluster_1199	N	259	23	301	65	30
Pocillopora_meandrina_HIv1___Sc0000002:16915483-16915906	Cluster_1200	N	8	83	1	5	2
Pocillopora_meandrina_HIv1___Sc0000002:16938840-16939269	Cluster_1201	N	1	2	273	3	0
Pocillopora_meandrina_HIv1___Sc0000002:16988101-16988565	Cluster_1202	N	99	1	0	236	7
Pocillopora_meandrina_HIv1___Sc0000002:16990790-16991216	Cluster_1203	N	0	0	1	169	0
Pocillopora_meandrina_HIv1___Sc0000002:17295508-17295925	Cluster_1204	N	340	206	270	104	99
Pocillopora_meandrina_HIv1___Sc0000002:17411376-17411793	Cluster_1205	N	9	72	32	85	150
Pocillopora_meandrina_HIv1___Sc0000002:17466039-17466456	Cluster_1206	N	21	164	84	340	164
Pocillopora_meandrina_HIv1___Sc0000002:17509524-17509939	Cluster_1207	N	47	13	36	51	10
Pocillopora_meandrina_HIv1___Sc0000002:17612209-17612634	Cluster_1208	N	56	6	19	72	4
Pocillopora_meandrina_HIv1___Sc0000002:17612844-17613360	Cluster_1209	N	457	219	267	128	27
Pocillopora_meandrina_HIv1___Sc0000002:17766802-17767230	Cluster_1210	N	66	13	29	15	1
Pocillopora_meandrina_HIv1___Sc0000002:17800804-17801407	Cluster_1211	N	240	13	31	55	60
Pocillopora_meandrina_HIv1___Sc0000002:17801599-17802229	Cluster_1212	N	206	21	81	112	53
Pocillopora_meandrina_HIv1___Sc0000002:17948195-17948609	Cluster_1213	N	0	0	0	102	2
Pocillopora_meandrina_HIv1___Sc0000002:18030662-18031077	Cluster_1214	N	194	127	142	189	127
Pocillopora_meandrina_HIv1___Sc0000002:18043378-18043918	Cluster_1215	N	241	638	164	483	636
Pocillopora_meandrina_HIv1___Sc0000002:18048282-18048697	Cluster_1216	N	0	0	85	41	0
Pocillopora_meandrina_HIv1___Sc0000002:18085264-18085716	Cluster_1217	N	142	67	105	101	86
Pocillopora_meandrina_HIv1___Sc0000002:18091097-18091514	Cluster_1218	N	10	30	12	22	114
Pocillopora_meandrina_HIv1___Sc0000002:18236793-18237213	Cluster_1219	N	1	2	21	114	3
Pocillopora_meandrina_HIv1___Sc0000002:18252136-18252552	Cluster_1220	N	29	328	63	132	22
Pocillopora_meandrina_HIv1___Sc0000002:18758455-18759131	Cluster_1221	N	224	212	252	44	17
Pocillopora_meandrina_HIv1___Sc0000002:18981108-18982149	Cluster_1222	N	133	66	3099	2399	1173
Pocillopora_meandrina_HIv1___Sc0000002:19001494-19001914	Cluster_1223	N	10	2	0	87	0
Pocillopora_meandrina_HIv1___Sc0000002:19017322-19017749	Cluster_1224	N	8	1	96	1	3
Pocillopora_meandrina_HIv1___Sc0000002:19137194-19137621	Cluster_1225	N	105	0	67	12	47
Pocillopora_meandrina_HIv1___Sc0000002:19218596-19219028	Cluster_1226	N	156	0	97	185	1
Pocillopora_meandrina_HIv1___Sc0000002:19227899-19228326	Cluster_1227	N	24	2	22	94	0
Pocillopora_meandrina_HIv1___Sc0000002:19229732-19230339	Cluster_1228	N	136	66	155	1068	165
Pocillopora_meandrina_HIv1___Sc0000002:19355646-19356061	Cluster_1229	N	0	20	5	20	85
Pocillopora_meandrina_HIv1___Sc0000002:19433383-19433794	Cluster_1230	N	6	19	6	26	68
Pocillopora_meandrina_HIv1___Sc0000002:19435173-19435583	Cluster_1231	N	12	39	29	56	113
Pocillopora_meandrina_HIv1___Sc0000002:19445465-19445883	Cluster_1232	N	7	39	13	89	100
Pocillopora_meandrina_HIv1___Sc0000002:19461155-19461570	Cluster_1233	N	0	129	57	0	0
Pocillopora_meandrina_HIv1___Sc0000002:19537005-19537432	Cluster_1234	N	0	0	0	79	1
Pocillopora_meandrina_HIv1___Sc0000002:19538138-19538717	Cluster_1235	N	213	578	398	1108	1228
Pocillopora_meandrina_HIv1___Sc0000002:19565330-19565759	Cluster_1236	N	146	33	14	11	70
Pocillopora_meandrina_HIv1___Sc0000002:19694521-19694936	Cluster_1237	N	9	16	11	9	39
Pocillopora_meandrina_HIv1___Sc0000003:96476-96895	Cluster_1238	N	37	61	71	55	20
Pocillopora_meandrina_HIv1___Sc0000003:128494-128904	Cluster_1239	N	10	25	9	38	82
Pocillopora_meandrina_HIv1___Sc0000003:174205-175182	Cluster_1240	N	72	7	478	204	25
Pocillopora_meandrina_HIv1___Sc0000003:207738-208184	Cluster_1241	N	26	30	505	3	60
Pocillopora_meandrina_HIv1___Sc0000003:295505-296483	Cluster_1242	N	218	205	293	766	5
Pocillopora_meandrina_HIv1___Sc0000003:313578-314400	Cluster_1243	N	101	1	593	9	41
Pocillopora_meandrina_HIv1___Sc0000003:314771-315207	Cluster_1244	N	40	4	245	0	188
Pocillopora_meandrina_HIv1___Sc0000003:448958-449506	Cluster_1245	N	44	214	61	188	350
Pocillopora_meandrina_HIv1___Sc0000003:467253-467911	Cluster_1246	N	91	222	92	134	225
