# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Apul_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Apul_lncRNA_counts_matrix.txt" "RNA-ACR-140-S1-TP2.bam" "RNA-ACR-145-S1-TP2.bam" "RNA-ACR-150-S1-TP2.bam" "RNA-ACR-173-S1-TP2.bam" "RNA-ACR-178-S1-TP2.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-ACR-140-S1-TP2.bam	RNA-ACR-145-S1-TP2.bam	RNA-ACR-150-S1-TP2.bam	RNA-ACR-173-S1-TP2.bam	RNA-ACR-178-S1-TP2.bam
lncRNA_4124	NC_058070.1	20952217	20952746	+	530	0	0	1	0	44
lncRNA_4125	NC_058070.1	21022669	21022884	+	216	0	0	0	5	12
lncRNA_4126	NC_058070.1	21026633	21026965	+	333	4	0	2	18	1
lncRNA_4127	NC_058070.1	21028800	21029410	+	611	46	1	40	0	180
lncRNA_4128	NC_058070.1	21030371	21030646	+	276	7	10	13	8	14
lncRNA_4129	NC_058070.1	21054103	21054517	+	415	3	6	7	10	104
lncRNA_4130	NC_058070.1	21078256	21079031	+	776	0	7	10	0	62
lncRNA_4131	NC_058070.1	21184386	21184623	+	238	1	10	0	1	15
lncRNA_4132	NC_058070.1	21221037	21221622	+	586	38	8	139	3	17
lncRNA_4133	NC_058070.1	21237812	21239166	+	1355	10	37	23	19	101
lncRNA_4134	NC_058070.1	21240140	21240636	+	497	9	16	22	10	15
lncRNA_4135	NC_058070.1	21255737	21255953	+	217	2	0	17	5	46
lncRNA_4136	NC_058070.1	21262995	21263290	+	296	0	0	14	0	0
lncRNA_4137	NC_058070.1	21381739	21381954	+	216	3	5	0	14	1
lncRNA_4138	NC_058070.1	21529373	21530500	+	1128	4	0	2	3	88
lncRNA_4139	NC_058070.1	21557540	21557762	+	223	6	4	4	2	3
lncRNA_4140	NC_058070.1	21756937	21757579	+	643	0	0	0	0	18
lncRNA_4141	NC_058070.1	21773511	21773779	+	269	0	0	0	0	24
lncRNA_4142	NC_058070.1	21807642	21808516	+	875	23	2	11	185	250
lncRNA_4143	NC_058070.1	21843657	21843974	+	318	18	24	52	22	76
lncRNA_4144	NC_058070.1	21852819	21854078	+	1260	7	1	20	7	127
lncRNA_4145	NC_058070.1	21864046	21864360	+	315	0	1	0	0	34
lncRNA_4146	NC_058070.1	22021141	22021412	+	272	7	3	4	10	8
lncRNA_4147	NC_058070.1	22039200	22039404	+	205	4	1	10	14	10
lncRNA_4148	NC_058070.1	22110747	22111035	+	289	4	1	0	0	62
lncRNA_4149	NC_058070.1	22180090	22180316	+	227	0	0	0	0	2
lncRNA_4150	NC_058070.1	22180752	22181047	+	296	0	8	1	4	21
lncRNA_4151	NC_058070.1	22316177	22316845	+	669	34	0	0	2	12
lncRNA_4152	NC_058070.1	22322733	22323020	+	288	7	0	7	11	6
lncRNA_4153	NC_058070.1	22323482	22323778	+	297	16	192	151	310	216
lncRNA_4154	NC_058070.1	22328272	22328942	+	671	12	23	10	27	24
lncRNA_4155	NC_058070.1	22331332	22331595	+	264	16	0	10	0	14
lncRNA_4156	NC_058070.1	22858060	22858434	+	375	114	36	44	72	60
lncRNA_4157	NC_058070.1	22865904	22866262	+	359	1	3	1	38	4
lncRNA_4158	NC_058070.1	22914899	22915145	+	247	0	1	0	0	0
lncRNA_4159	NC_058070.1	23005223	23005509	+	287	22	0	0	4	24
lncRNA_4160	NC_058070.1	23035803	23036038	+	236	0	0	0	0	25
lncRNA_4161	NC_058070.1	23230742	23231043	+	302	19	6	0	10	16
lncRNA_4162	NC_058070.1	23234164	23234398	+	235	15	8	8	10	5
lncRNA_4163	NC_058070.1	23235498	23235705	+	208	2	10	28	9	18
lncRNA_4164	NC_058070.1	23239954	23240258	+	305	20	2	0	0	0
lncRNA_4165	NC_058070.1	23273344	23273684	+	341	14	0	22	0	14
lncRNA_4166	NC_058070.1	23274641	23275810	+	1170	10	4	8	20	39
lncRNA_4167	NC_058070.1	23283501	23284543	+	1043	0	0	6	62	27
lncRNA_4168	NC_058070.1	23292270	23292482	+	213	0	0	0	0	43
lncRNA_4169	NC_058070.1	23296196	23296643	+	448	6	0	4	0	132
lncRNA_4170	NC_058070.1	23312069	23313374	+	1306	29	15	24	8	157
lncRNA_4171	NC_058070.1	23313797	23314202	+	406	8	0	0	0	24
lncRNA_4172	NC_058070.1	23321037	23321242	+	206	0	0	1	1	10
lncRNA_4173	NC_058070.1	23582547	23583182	+	636	0	0	6	0	97
lncRNA_4174	NC_058070.1	23591324	23591526	+	203	0	0	14	0	13
lncRNA_4175	NC_058070.1	23592587	23593869	+	1283	6	2	4	0	116
lncRNA_4176	NC_058070.1	23598003	23598760	+	758	1	0	8	0	72
lncRNA_4177	NC_058070.1	23600786	23601168	+	383	2	0	3	0	21
lncRNA_4178	NC_058070.1	23614319	23614538	+	220	0	0	9	3	10
lncRNA_4179	NC_058070.1	23620655	23621314	+	660	0	0	5	15	63
lncRNA_4180	NC_058070.1	23632820	23633382	+	563	0	0	6	0	34
lncRNA_4181	NC_058070.1	23665090	23665350	+	261	0	0	17	0	8
lncRNA_4182	NC_058070.1	23702650	23703328	+	679	0	0	8	0	39
lncRNA_4183	NC_058070.1	23709741	23709958	+	218	0	0	2	0	23
lncRNA_4184	NC_058070.1	23721281	23721603	+	323	0	0	0	0	24
lncRNA_4185	NC_058070.1	23735781	23736278	+	498	0	0	0	6	42
lncRNA_4186	NC_058070.1	23758771	23759143	+	373	28	0	2	0	12
lncRNA_4187	NC_058070.1	23765368	23765662	+	295	5	0	5	0	49
lncRNA_4188	NC_058070.1	23767982	23768186	+	205	0	0	3	0	21
lncRNA_4189	NC_058070.1	23768522	23768731	+	210	4	0	11	0	40
lncRNA_4190	NC_058070.1	23777305	23777983	+	679	60	23	16	20	64
lncRNA_4191	NC_058070.1	23778372	23778609	+	238	0	35	0	1	13
lncRNA_4192	NC_058070.1	24012703	24012998	+	296	7	0	11	7	51
lncRNA_4193	NC_058070.1	24030641	24030999	+	359	4	14	44	4	17
lncRNA_4194	NC_058070.1	24042228	24042659	+	432	7	0	7	6	9
lncRNA_4195	NC_058070.1	24088465	24088673	+	209	1	4	0	72	0
lncRNA_4196	NC_058070.1	24089890	24090937	+	1048	10	6	34	30	71
lncRNA_4197	NC_058070.1	24097309	24097766	+	458	17	13	9	17	20
lncRNA_4198	NC_058070.1	24108822	24109172	+	351	0	0	1	14	1
lncRNA_4199	NC_058070.1	24109386	24110133	+	748	33	8	20	34	62
lncRNA_4200	NC_058070.1	24111231	24111606	+	376	10	0	4	1	24
lncRNA_4201	NC_058070.1	24112050	24112477	+	428	21	2	4	3	10
lncRNA_4202	NC_058070.1	24113675	24113930	+	256	23	0	50	3	79
lncRNA_4203	NC_058070.1	24120509	24120772	+	264	6	2	4	4	5
lncRNA_4204	NC_058070.1	24124462	24124826	+	365	13	9	8	12	11
lncRNA_4205	NC_058070.1	24168165	24168775	+	611	6	0	16	10	144
lncRNA_4206	NC_058070.1	24170613	24170890	+	278	0	9	0	0	30
lncRNA_4207	NC_058070.1	24171300	24171717	+	418	44	22	1	8	50
lncRNA_4208	NC_058070.1	24516066	24517727	+	1662	17	128	45	88	94
lncRNA_4209	NC_058070.1	24761994	24762578	+	585	0	6	0	8	78
lncRNA_4210	NC_058070.1	25092210	25092503	+	294	0	0	20	3	16
lncRNA_4211	NC_058070.1	25124117	25125745	+	1629	121	4	1	17	14
lncRNA_4212	NC_058070.1	25127966	25128226	+	261	22	33	10	4	7
lncRNA_4213	NC_058070.1	25138191	25138399	+	209	13	2	7	7	18
lncRNA_4214	NC_058070.1	25138666	25139492	+	827	0	0	3	0	97
lncRNA_4215	NC_058070.1	25181193	25181407	+	215	14	0	0	0	0
lncRNA_4216	NC_058070.1	25181683	25182300	+	618	2	3	20	5	11
lncRNA_4217	NC_058070.1	25184176	25186349	+	2174	14	2	47	8	203
lncRNA_4218	NC_058070.1	25197122	25197330	+	209	6	4	9	11	3
lncRNA_4219	NC_058070.1	25226197	25226748	+	552	0	2	22	1	8
lncRNA_4220	NC_058070.1	25227841	25228091	+	251	0	6	0	0	14
lncRNA_4221	NC_058070.1	25267145	25267369	+	225	0	0	0	4	18
lncRNA_4222	NC_058070.1	25585840	25586557	+	718	5	0	11	15	46
lncRNA_4223	NC_058070.1	25586831	25587080	+	250	26	9	0	1	0
lncRNA_4224	NC_058070.1	25611236	25611633	+	398	0	0	15	0	38
lncRNA_4225	NC_058070.1	25612884	25613089	+	206	0	0	9	0	4
lncRNA_4226	NC_058070.1	25746077	25746347	+	271	0	0	1	1	13
lncRNA_4227	NC_058070.1	25769468	25770226	+	759	65	0	41	3	210
lncRNA_4228	NC_058070.1	25771501	25772478	+	978	23	4	28	6	89
lncRNA_4229	NC_058070.1	25978393	25978629	+	237	2	0	29	0	3
lncRNA_4230	NC_058070.1	25982753	25983246	+	494	0	3	0	1	34
lncRNA_4231	NC_058070.1	26059705	26059940	+	236	22	0	0	1	4
lncRNA_4232	NC_058070.1	26063598	26064583	+	986	0	21	54	22	107
lncRNA_4233	NC_058070.1	26068864	26069172	+	309	0	0	2	0	35
lncRNA_4234	NC_058070.1	26076367	26076572	+	206	0	0	0	0	11
lncRNA_4235	NC_058070.1	26095808	26096035	+	228	0	0	18	0	4
lncRNA_4236	NC_058070.1	26129349	26129635	+	287	6	0	1	9	3
lncRNA_4237	NC_058070.1	26145173	26145391	+	219	2	6	0	0	0
lncRNA_4238	NC_058070.1	26218123	26218331	+	209	0	3	12	5	12
lncRNA_4239	NC_058070.1	26219231	26219536	+	306	45	73	4	12	33
lncRNA_4240	NC_058070.1	26240174	26240742	+	569	90	9	15	0	21
lncRNA_4241	NC_058070.1	26245732	26245988	+	257	181	116	43	105	146
lncRNA_4242	NC_058070.1	26260036	26261425	+	1390	46	29	1	114	11
lncRNA_4243	NC_058070.1	26261799	26264452	+	2654	69	62	57	81	56
lncRNA_4244	NC_058070.1	26371452	26372287	+	836	83	22	92	160	426
lncRNA_4245	NC_058070.1	26376923	26377346	+	424	18	4	7	6	14
lncRNA_4246	NC_058070.1	26378235	26378727	+	493	27	36	15	50	19
lncRNA_4247	NC_058070.1	26380368	26380910	+	543	52	43	11	49	13
lncRNA_4248	NC_058070.1	26388018	26388984	+	967	69	60	7	40	10
lncRNA_4249	NC_058070.1	26679349	26679644	+	296	11	0	16	1	10
lncRNA_4250	NC_058070.1	26779010	26779266	+	257	0	9	0	0	0
lncRNA_4251	NC_058070.1	26865766	26866057	+	292	0	0	15	0	0
lncRNA_4252	NC_058070.1	26866859	26867304	+	446	0	0	22	0	24
lncRNA_4253	NC_058070.1	26997062	26997292	+	231	14	0	5	13	4
lncRNA_4254	NC_058070.1	27223998	27224931	+	934	33	2	59	17	115
lncRNA_4255	NC_058070.1	27225551	27226424	+	874	35	9	1	31	33
lncRNA_4256	NC_058070.1	27240530	27242643	+	2114	46	34	56	97	82
lncRNA_4257	NC_058070.1	27342036	27342289	+	254	8	3	0	11	59
lncRNA_4258	NC_058070.1	27408014	27408513	+	500	10	1	15	6	45
lncRNA_4259	NC_058070.1	27695250	27695453	+	204	0	0	0	0	9
lncRNA_4260	NC_058070.1	27695744	27698283	+	2540	1	0	1	1	47
lncRNA_4261	NC_058070.1	27701437	27702065	+	629	25	10	32	17	32
lncRNA_4262	NC_058070.1	28268682	28268942	+	261	0	0	10	0	12
lncRNA_4263	NC_058070.1	28273072	28273447	+	376	0	0	0	29	4
lncRNA_4264	NC_058070.1	28305821	28306230	+	410	12	0	22	25	51
lncRNA_4265	NC_058070.1	28315105	28315431	+	327	2	37	0	36	17
lncRNA_4266	NC_058070.1	28579897	28580240	+	344	11	0	7	0	49
lncRNA_4267	NC_058070.1	28626795	28627688	+	894	14	1	4	2	16
lncRNA_4268	NC_058070.1	28892548	28892830	+	283	0	5	3	9	30
lncRNA_4269	NC_058070.1	28928597	28928810	+	214	0	0	18	0	3
lncRNA_4270	NC_058070.1	28932642	28933550	+	909	5	20	25	23	49
lncRNA_4271	NC_058070.1	29139591	29140055	+	465	21	1	22	12	99
lncRNA_4272	NC_058070.1	29198329	29198559	+	231	2	1	0	3	15
lncRNA_4273	NC_058070.1	29286762	29287124	+	363	30	2	15	7	67
lncRNA_4274	NC_058070.1	29998898	29999306	+	409	0	0	52	6	43
lncRNA_4275	NC_058070.1	30134439	30134685	+	247	0	12	9	13	5
lncRNA_4276	NC_058070.1	30170037	30170342	+	306	13	21	0	66	65
lncRNA_4277	NC_058070.1	30172222	30172605	+	384	2	0	0	19	2
lncRNA_4278	NC_058070.1	30173056	30173306	+	251	12	9	5	25	9
lncRNA_4279	NC_058070.1	30174499	30178031	+	3533	32	115	37	36	276
lncRNA_4280	NC_058070.1	30178659	30179547	+	889	0	39	0	5	70
lncRNA_4281	NC_058070.1	30204541	30204751	+	211	2	0	0	3	11
lncRNA_4282	NC_058070.1	30256474	30256897	+	424	4	3	4	5	12
lncRNA_4283	NC_058070.1	30386739	30387149	+	411	37	2	29	5	6
lncRNA_4284	NC_058070.1	30951962	30952696	+	735	0	15	12	3	96
lncRNA_4285	NC_058071.1	116818	120865	+	4048	0	8	13	12	81
lncRNA_4286	NC_058071.1	922779	924605	+	1827	534	236	111	236	253
lncRNA_4287	NC_058071.1	1705779	1707302	+	1524	168	70	73	37	82
lncRNA_4288	NC_058071.1	1961708	1964364	+	2657	4	1	6	133	68
lncRNA_4289	NC_058071.1	1962427	1964364	+	1938	0	0	0	0	0
lncRNA_4290	NC_058071.1	2026093	2026754	+	662	1709	2284	1808	1981	1585
lncRNA_4291	NC_058071.1	2027821	2028528	+	708	7	21	0	75	50
lncRNA_4292	NC_058071.1	2215635	2216316	+	682	366	1087	131	278	364
lncRNA_4293	NC_058071.1	2223283	2223732	+	450	38	68	7	11	11
lncRNA_4294	NC_058071.1	2240632	2244267	+	3636	0	0	0	0	0
lncRNA_4295	NC_058071.1	2242254	2244267	+	2014	0	0	0	0	0
lncRNA_4296	NC_058071.1	2242643	2245209	+	2567	0	0	0	0	0
lncRNA_4297	NC_058071.1	2783728	2785767	+	2040	0	0	0	0	0
lncRNA_4298	NC_058071.1	2784100	2785767	+	1668	0	0	0	0	0
lncRNA_4299	NC_058071.1	2784101	2785767	+	1667	0	0	0	0	0
lncRNA_4300	NC_058071.1	3182037	3183714	+	1678	0	10	0	0	8
lncRNA_4301	NC_058071.1	3182331	3183714	+	1384	0	0	0	0	0
lncRNA_4302	NC_058071.1	3628994	3630316	+	1323	143	143	155	153	239
lncRNA_4303	NC_058071.1	3986647	3986951	+	305	8	0	6	3	37
lncRNA_4304	NC_058071.1	4245099	4245896	+	798	15	18	0	25	19
lncRNA_4305	NC_058071.1	4577836	4579174	+	1339	14	46	32	18	168
lncRNA_4306	NC_058071.1	4635741	4639269	+	3529	0	0	0	0	0
lncRNA_4307	NC_058071.1	4637530	4651673	+	14144	130	209	99	187	317
lncRNA_4308	NC_058071.1	4985347	4986062	+	716	0	0	0	27	12
lncRNA_4309	NC_058071.1	5004587	5007221	+	2635	19	11	18	103	92
lncRNA_4310	NC_058071.1	5007480	5008145	+	666	15	2	4	182	78
lncRNA_4311	NC_058071.1	5115196	5115626	+	431	304	365	89	224	174
lncRNA_4312	NC_058071.1	5524397	5524940	+	544	0	15	0	0	8
lncRNA_4313	NC_058071.1	5555967	5570733	+	14767	118	91	57	72	127
lncRNA_4314	NC_058071.1	7100317	7102164	+	1848	0	0	0	0	0
lncRNA_4315	NC_058071.1	7100359	7102164	+	1806	0	0	0	0	0
lncRNA_4316	NC_058071.1	7102224	7103138	+	915	61	5	17	61	91
lncRNA_4317	NC_058071.1	7339992	7342195	+	2204	10	35	28	24	29
lncRNA_4318	NC_058071.1	7364906	7366397	+	1492	83	156	37	106	40
lncRNA_4319	NC_058071.1	7374486	7376824	+	2339	0	6	0	46	10
lncRNA_4320	NC_058071.1	7374658	7376824	+	2167	0	0	0	0	0
lncRNA_4321	NC_058071.1	7598143	7599544	+	1402	201	1216	411	413	284
lncRNA_4322	NC_058071.1	7638500	7638982	+	483	1	0	0	0	0
lncRNA_4323	NC_058071.1	7723688	7725355	+	1668	580	466	435	673	599
lncRNA_4324	NC_058071.1	7864995	7865505	+	511	0	0	0	0	6
lncRNA_4325	NC_058071.1	7927330	7928120	+	791	28	0	12	30	0
lncRNA_4326	NC_058071.1	7964525	7965532	+	1008	0	0	1	4	5
lncRNA_4327	NC_058071.1	7964722	7965532	+	811	0	0	0	0	0
lncRNA_4328	NC_058071.1	8000282	8001556	+	1275	45	11	43	15	202
lncRNA_4329	NC_058071.1	8584423	8585212	+	790	15	5	14	6	7
lncRNA_4330	NC_058071.1	8783238	8784962	+	1725	0	0	0	0	0
lncRNA_4331	NC_058071.1	8783341	8784962	+	1622	0	0	0	0	0
lncRNA_4332	NC_058071.1	9154352	9155304	+	953	96	22	9	94	30
lncRNA_4333	NC_058071.1	9319635	9321681	+	2047	29	9	121	25	188
lncRNA_4334	NC_058071.1	9515311	9516371	+	1061	29	6	6	4	39
lncRNA_4335	NC_058071.1	9586950	9587675	+	726	10	2	29	4	11
lncRNA_4336	NC_058071.1	9587752	9588023	+	272	3	0	0	1	0
lncRNA_4337	NC_058071.1	10427369	10428423	+	1055	70	4	9	34	2
lncRNA_4338	NC_058071.1	10913078	10915059	+	1982	1	4	48	23	40
lncRNA_4339	NC_058071.1	11860365	11861385	+	1021	61	81	31	2	106
lncRNA_4340	NC_058071.1	11915091	11916570	+	1480	40	49	57	68	80
lncRNA_4341	NC_058071.1	12018073	12019099	+	1027	0	0	6	1	116
lncRNA_4342	NC_058071.1	12433218	12435024	+	1807	150	45	73	112	83
lncRNA_4343	NC_058071.1	12506821	12507302	+	482	0	2	50	0	11
lncRNA_4344	NC_058071.1	12649077	12651897	+	2821	106	86	134	255	270
lncRNA_4345	NC_058071.1	12705204	12706701	+	1498	330	130	115	78	97
lncRNA_4346	NC_058071.1	13236917	13237467	+	551	36	7	2	6	29
lncRNA_4347	NC_058071.1	15286459	15286838	+	380	31	14	0	14	4
lncRNA_4348	NC_058071.1	15616414	15617403	+	990	92	125	17	358	577
lncRNA_4349	NC_058071.1	15739798	15742559	+	2762	0	0	7	0	2
lncRNA_4350	NC_058071.1	15739909	15742559	+	2651	0	0	0	0	0
lncRNA_4351	NC_058071.1	15835691	15836498	+	808	299	234	343	154	303
lncRNA_4352	NC_058071.1	16141755	16142999	+	1245	0	0	0	0	0
lncRNA_4353	NC_058071.1	18692086	18694383	+	2298	215	136	226	756	442
lncRNA_4354	NC_058071.1	19207082	19208680	+	1599	149	47	128	177	170
lncRNA_4355	NC_058071.1	19823712	19831974	+	8263	3	6	16	9	54
lncRNA_4356	NC_058071.1	368067	369266	+	1200	41	0	16	5	4
lncRNA_4357	NC_058071.1	1686735	1693941	+	7207	788	864	359	429	447
lncRNA_4358	NC_058071.1	2039403	2040065	+	663	0	34	19	9	4
lncRNA_4359	NC_058071.1	2192771	2197817	+	5047	14	21	0	42	142
lncRNA_4360	NC_058071.1	2240632	2244267	+	3636	0	0	0	0	0
lncRNA_4361	NC_058071.1	2240711	2244604	+	3894	0	0	0	0	0
lncRNA_4362	NC_058071.1	2241702	2244267	+	2566	0	0	0	0	0
lncRNA_4363	NC_058071.1	2242674	2244604	+	1931	0	0	0	0	0
lncRNA_4364	NC_058071.1	2444082	2447465	+	3384	0	0	0	0	0
lncRNA_4365	NC_058071.1	2444175	2447465	+	3291	0	0	0	0	0
lncRNA_4366	NC_058071.1	2444325	2447465	+	3141	0	0	0	0	0
lncRNA_4367	NC_058071.1	2445380	2446069	+	690	0	0	0	0	0
lncRNA_4368	NC_058071.1	2465692	2466424	+	733	11	10	31	22	99
lncRNA_4369	NC_058071.1	2782604	2785767	+	3164	33	15	35	22	90
lncRNA_4370	NC_058071.1	2846232	2854364	+	8133	34	31	2	1	17
lncRNA_4371	NC_058071.1	3626410	3628631	+	2222	1181	199	421	1065	873
lncRNA_4372	NC_058071.1	4348918	4351402	+	2485	36	3	2	15	23
lncRNA_4373	NC_058071.1	4630743	4631685	+	943	203	388	576	91	373
lncRNA_4374	NC_058071.1	4632185	4636644	+	4460	45	65	58	38	151
lncRNA_4375	NC_058071.1	4635482	4637440	+	1959	0	0	0	0	0
lncRNA_4376	NC_058071.1	4635741	4640843	+	5103	0	0	0	0	0
lncRNA_4377	NC_058071.1	5087549	5088290	+	742	38	0	20	0	0
lncRNA_4378	NC_058071.1	5110468	5112335	+	1868	132	378	6	1	8
lncRNA_4379	NC_058071.1	5287167	5289509	+	2343	1042	547	324	401	990
lncRNA_4380	NC_058071.1	5731259	5732292	+	1034	130	146	214	231	252
lncRNA_4381	NC_058071.1	5935375	5936511	+	1137	236	268	0	0	134
lncRNA_4382	NC_058071.1	7103158	7105212	+	2055	29	25	50	128	242
lncRNA_4383	NC_058071.1	7295220	7297441	+	2222	7	1776	1506	126	4
lncRNA_4384	NC_058071.1	7296075	7296898	+	824	0	0	0	0	0
lncRNA_4385	NC_058071.1	7967175	7968233	+	1059	0	0	0	0	0
lncRNA_4386	NC_058071.1	7967175	7968233	+	1059	0	0	0	0	0
lncRNA_4387	NC_058071.1	8011723	8012935	+	1213	91	8	113	161	42
lncRNA_4388	NC_058071.1	8672032	8673067	+	1036	45	1	0	0	15
lncRNA_4389	NC_058071.1	8776602	8778964	+	2363	0	2	15	10	0
lncRNA_4390	NC_058071.1	8776947	8778964	+	2018	0	0	0	0	0
lncRNA_4391	NC_058071.1	8777020	8778964	+	1945	0	0	0	0	0
lncRNA_4392	NC_058071.1	8777194	8778964	+	1771	0	0	0	0	0
lncRNA_4393	NC_058071.1	8955380	8955915	+	536	12	20	14	38	18
lncRNA_4394	NC_058071.1	9033282	9034736	+	1455	42	16	61	1	49
lncRNA_4395	NC_058071.1	9142433	9145055	+	2623	15	0	0	5	30
lncRNA_4396	NC_058071.1	9584016	9584929	+	914	0	0	0	0	0
lncRNA_4397	NC_058071.1	9584016	9586188	+	2173	0	0	0	0	0
lncRNA_4398	NC_058071.1	9584016	9586188	+	2173	0	0	0	0	0
lncRNA_4399	NC_058071.1	9584016	9586188	+	2173	0	0	0	0	0
lncRNA_4400	NC_058071.1	9584983	9586012	+	1030	0	0	0	0	0
lncRNA_4401	NC_058071.1	10485020	10486455	+	1436	75	43	29	82	80
lncRNA_4402	NC_058071.1	10485965	10486455	+	491	0	0	0	0	0
lncRNA_4403	NC_058071.1	10775418	10776173	+	756	0	0	0	16	0
lncRNA_4404	NC_058071.1	11419305	11421409	+	2105	0	2	1	0	41
lncRNA_4405	NC_058071.1	11946553	11947826	+	1274	55	58	35	95	50
lncRNA_4406	NC_058071.1	11946703	11947398	+	696	0	0	0	0	0
lncRNA_4407	NC_058071.1	12211519	12213346	+	1828	658	453	439	460	743
lncRNA_4408	NC_058071.1	12503151	12505902	+	2752	60	54	322	58	195
lncRNA_4409	NC_058071.1	12624747	12628187	+	3441	336	141	269	198	38
lncRNA_4410	NC_058071.1	13186544	13195023	+	8480	73	2698	102	94	507
lncRNA_4411	NC_058071.1	14573905	14574519	+	615	0	0	0	1	32
lncRNA_4412	NC_058071.1	14584384	14587185	+	2802	11	2	16	9	156
lncRNA_4413	NC_058071.1	14989219	14989519	+	301	22	3	1	28	13
lncRNA_4414	NC_058071.1	15264632	15266943	+	2312	21	0	3	0	2
lncRNA_4415	NC_058071.1	16141704	16143922	+	2219	33	33	59	34	172
lncRNA_4416	NC_058071.1	16309191	16311417	+	2227	1423	1103	1458	712	269
lncRNA_4417	NC_058071.1	16451463	16452185	+	723	102	34	28	70	28
lncRNA_4418	NC_058071.1	16609910	16610761	+	852	83	78	51	163	176
lncRNA_4419	NC_058071.1	16748350	16749211	+	862	234	257	221	155	250
lncRNA_4420	NC_058071.1	17124659	17128837	+	4179	0	0	0	0	0
lncRNA_4421	NC_058071.1	17124659	17128837	+	4179	0	0	0	0	0
lncRNA_4422	NC_058071.1	17126896	17128837	+	1942	0	0	0	0	0
lncRNA_4423	NC_058071.1	17617854	17618210	+	357	16	17	2	47	9
lncRNA_4424	NC_058071.1	17837314	17837714	+	401	16	12	2	0	1
lncRNA_4425	NC_058071.1	18644695	18645969	+	1275	0	8	15	14	30
lncRNA_4426	NC_058071.1	19227848	19244509	+	16662	0	4	14	7	18
lncRNA_4427	NC_058071.1	19534988	19535646	+	659	48	2	22	9	61
lncRNA_4428	NC_058071.1	19558618	19560029	+	1412	94	5	3	5	1
lncRNA_4429	NC_058071.1	147	462	+	316	0	20	0	0	0
lncRNA_4430	NC_058071.1	20742	21449	+	708	2	3	0	31	23
lncRNA_4431	NC_058071.1	21860	22162	+	303	4	14	2	3	6
lncRNA_4432	NC_058071.1	350337	350765	+	429	30	1	1	0	5
lncRNA_4433	NC_058071.1	531473	531880	+	408	20	2	17	22	0
lncRNA_4434	NC_058071.1	554950	555868	+	919	41	28	10	21	18
lncRNA_4435	NC_058071.1	556354	557724	+	1371	102	56	34	23	62
lncRNA_4436	NC_058071.1	577179	577547	+	369	1	0	34	0	0
lncRNA_4437	NC_058071.1	623953	624262	+	310	15	0	1	11	10
lncRNA_4438	NC_058071.1	647167	647448	+	282	0	0	0	21	0
lncRNA_4439	NC_058071.1	649807	650102	+	296	0	0	0	0	68
lncRNA_4440	NC_058071.1	652565	656641	+	4077	102	32	29	261	36
lncRNA_4441	NC_058071.1	932635	932926	+	292	20	0	16	0	53
lncRNA_4442	NC_058071.1	1068625	1069053	+	429	12	0	0	2	1
lncRNA_4443	NC_058071.1	1216761	1217014	+	254	16	0	0	0	0
lncRNA_4444	NC_058071.1	1489213	1489734	+	522	0	0	0	0	40
lncRNA_4445	NC_058071.1	1542389	1542640	+	252	16	3	0	8	11
lncRNA_4446	NC_058071.1	1661035	1661274	+	240	0	0	0	2	1
lncRNA_4447	NC_058071.1	1670405	1670666	+	262	0	16	0	0	0
lncRNA_4448	NC_058071.1	1696689	1696945	+	257	5	0	3	0	66
lncRNA_4449	NC_058071.1	1723372	1723754	+	383	2	2	18	0	71
lncRNA_4450	NC_058071.1	1724794	1725285	+	492	7	0	4	10	35
lncRNA_4451	NC_058071.1	1813588	1813804	+	217	13	0	1	5	45
lncRNA_4452	NC_058071.1	2029177	2029562	+	386	4	10	44	15	14
lncRNA_4453	NC_058071.1	2030221	2030530	+	310	60	44	31	44	23
lncRNA_4454	NC_058071.1	2200356	2200670	+	315	0	0	1	50	23
lncRNA_4455	NC_058071.1	2201345	2201560	+	216	14	7	3	28	1
lncRNA_4456	NC_058071.1	2256650	2257082	+	433	27	0	4	102	0
lncRNA_4457	NC_058071.1	2451455	2452414	+	960	44	33	31	70	4
lncRNA_4458	NC_058071.1	2456690	2456910	+	221	37	18	11	49	31
lncRNA_4459	NC_058071.1	3110294	3110497	+	204	34	38	24	24	25
lncRNA_4460	NC_058071.1	3180964	3181665	+	702	65	39	28	31	52
lncRNA_4461	NC_058071.1	3192133	3192416	+	284	8	0	8	1	31
lncRNA_4462	NC_058071.1	3220418	3220929	+	512	5	0	0	1	59
lncRNA_4463	NC_058071.1	3293056	3293327	+	272	7	0	18	8	61
lncRNA_4464	NC_058071.1	3576511	3577169	+	659	358	234	186	443	180
lncRNA_4465	NC_058071.1	3596618	3597183	+	566	0	0	21	2	51
lncRNA_4466	NC_058071.1	3611785	3613607	+	1823	53	28	63	70	77
lncRNA_4467	NC_058071.1	3614306	3614563	+	258	3	0	26	3	5
lncRNA_4468	NC_058071.1	3650212	3650472	+	261	21	1	8	1	27
lncRNA_4469	NC_058071.1	3651306	3651637	+	332	20	6	18	0	18
lncRNA_4470	NC_058071.1	3708880	3710110	+	1231	9	47	15	39	59
