Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000006:567799-568217	Cluster_2029	N	65	21	108	30	19
Pocillopora_meandrina_HIv1___Sc0000006:568764-569364	Cluster_2030	N	145	28	106	90	17
Pocillopora_meandrina_HIv1___Sc0000006:664078-664505	Cluster_2031	N	32	86	2	34	45
Pocillopora_meandrina_HIv1___Sc0000006:743223-743711	Cluster_2032	N	159	601	102	211	4
Pocillopora_meandrina_HIv1___Sc0000006:790840-791737	Cluster_2033	N	140	239	0	186	8
Pocillopora_meandrina_HIv1___Sc0000006:958695-959122	Cluster_2034	N	65	9	1	210	135
Pocillopora_meandrina_HIv1___Sc0000006:1012623-1013052	Cluster_2035	N	132	4	104	56	15
Pocillopora_meandrina_HIv1___Sc0000006:1058984-1059413	Cluster_2036	N	0	80	88	212	2
Pocillopora_meandrina_HIv1___Sc0000006:1068383-1068820	Cluster_2037	N	188	8	21	8	6
Pocillopora_meandrina_HIv1___Sc0000006:1070154-1070581	Cluster_2038	N	0	5	0	2	107
Pocillopora_meandrina_HIv1___Sc0000006:1102308-1102884	Cluster_2039	N	176	116	222	25	1
Pocillopora_meandrina_HIv1___Sc0000006:1107123-1107548	Cluster_2040	N	49	2	76	4	1
Pocillopora_meandrina_HIv1___Sc0000006:1117899-1118499	Cluster_2041	N	1263	108	12	1689	30
Pocillopora_meandrina_HIv1___Sc0000006:1119518-1119944	Cluster_2042	N	36	16	139	1	0
Pocillopora_meandrina_HIv1___Sc0000006:1184890-1185316	Cluster_2043	N	22	10	42	5	4
Pocillopora_meandrina_HIv1___Sc0000006:1283609-1284026	Cluster_2044	N	20	36	38	18	34
Pocillopora_meandrina_HIv1___Sc0000006:1704195-1704625	Cluster_2045	N	7	252	3	0	2
Pocillopora_meandrina_HIv1___Sc0000006:1760581-1761007	Cluster_2046	N	171	4	25	28	5
Pocillopora_meandrina_HIv1___Sc0000006:1764725-1765156	Cluster_2047	N	192	2	84	17	3
Pocillopora_meandrina_HIv1___Sc0000006:1770604-1771023	Cluster_2048	N	47	23	49	12	18
Pocillopora_meandrina_HIv1___Sc0000006:1785098-1785525	Cluster_2049	N	67	12	124	48	8
Pocillopora_meandrina_HIv1___Sc0000006:1794331-1794759	Cluster_2050	N	142	7	29	52	6
Pocillopora_meandrina_HIv1___Sc0000006:1796727-1797520	Cluster_2051	N	254	113	265	605	9
Pocillopora_meandrina_HIv1___Sc0000006:1800817-1801246	Cluster_2052	N	118	5	198	67	67
Pocillopora_meandrina_HIv1___Sc0000006:1801823-1802256	Cluster_2053	N	62	15	197	63	72
Pocillopora_meandrina_HIv1___Sc0000006:1802435-1802851	Cluster_2054	N	38	10	75	46	45
Pocillopora_meandrina_HIv1___Sc0000006:1810844-1811273	Cluster_2055	N	29	56	11	21	4
Pocillopora_meandrina_HIv1___Sc0000006:1814556-1815681	Cluster_2056	N	38	90	574	96	87
Pocillopora_meandrina_HIv1___Sc0000006:1839225-1839665	Cluster_2057	N	128	36	86	41	22
Pocillopora_meandrina_HIv1___Sc0000006:1841407-1841835	Cluster_2058	N	20	3	239	13	0
Pocillopora_meandrina_HIv1___Sc0000006:1846848-1847277	Cluster_2059	N	42	14	86	32	23
Pocillopora_meandrina_HIv1___Sc0000006:1850115-1853109	Cluster_2060	N	2814	1330	2343	2112	1301
Pocillopora_meandrina_HIv1___Sc0000006:1861618-1862023	Cluster_2061	N	163	0	2	0	0
Pocillopora_meandrina_HIv1___Sc0000006:1864157-1864869	Cluster_2062	N	57	222	26	53	31
Pocillopora_meandrina_HIv1___Sc0000006:1881939-1882475	Cluster_2063	N	97	9	70	66	506
Pocillopora_meandrina_HIv1___Sc0000006:1895830-1897291	Cluster_2064	N	1106	574	1284	1010	113
Pocillopora_meandrina_HIv1___Sc0000006:1897414-1898305	Cluster_2065	N	1224	832	1162	1625	74
Pocillopora_meandrina_HIv1___Sc0000006:1898536-1898963	Cluster_2066	N	65	37	209	100	4
Pocillopora_meandrina_HIv1___Sc0000006:1899014-1899789	Cluster_2067	N	3912	984	2497	2641	149
Pocillopora_meandrina_HIv1___Sc0000006:1900971-1902395	Cluster_2068	N	2007	1625	4339	2062	557
Pocillopora_meandrina_HIv1___Sc0000006:1902953-1903579	Cluster_2069	N	36	12	39	609	8
Pocillopora_meandrina_HIv1___Sc0000006:1921978-1922402	Cluster_2070	N	18	59	48	10	2
Pocillopora_meandrina_HIv1___Sc0000006:1930255-1930840	Cluster_2071	N	569	1	1	11	134
Pocillopora_meandrina_HIv1___Sc0000006:1946306-1946734	Cluster_2072	N	152	78	183	13	19
Pocillopora_meandrina_HIv1___Sc0000006:1947516-1947926	Cluster_2073	N	31	79	39	4	18
Pocillopora_meandrina_HIv1___Sc0000006:1948502-1949040	Cluster_2074	N	174	2	112	235	1
Pocillopora_meandrina_HIv1___Sc0000006:1967024-1967498	Cluster_2075	N	14	192	842	4890	13
Pocillopora_meandrina_HIv1___Sc0000006:1972166-1972656	Cluster_2076	N	0	40	439	550	0
Pocillopora_meandrina_HIv1___Sc0000006:1978683-1979218	Cluster_2077	N	160	2	121	250	4
Pocillopora_meandrina_HIv1___Sc0000006:1979794-1980207	Cluster_2078	N	50	87	38	11	13
Pocillopora_meandrina_HIv1___Sc0000006:1980989-1981417	Cluster_2079	N	169	80	182	17	12
Pocillopora_meandrina_HIv1___Sc0000006:2002624-2003033	Cluster_2080	N	15	10	78	22	13
Pocillopora_meandrina_HIv1___Sc0000006:2004193-2005361	Cluster_2081	N	2154	276	292	120	57
Pocillopora_meandrina_HIv1___Sc0000006:2007314-2007983	Cluster_2082	N	381	172	710	791	69
Pocillopora_meandrina_HIv1___Sc0000006:2010508-2010936	Cluster_2083	N	3	0	505	8	5
Pocillopora_meandrina_HIv1___Sc0000006:2012351-2012779	Cluster_2084	N	2	4	209	1	2
Pocillopora_meandrina_HIv1___Sc0000006:2027219-2027971	Cluster_2085	N	185	286	34	52	62
Pocillopora_meandrina_HIv1___Sc0000006:2029209-2029637	Cluster_2086	N	133	7	11	20	6
Pocillopora_meandrina_HIv1___Sc0000006:2032671-2033100	Cluster_2087	N	64	55	664	39	81
Pocillopora_meandrina_HIv1___Sc0000006:2042803-2043817	Cluster_2088	N	264	309	0	463	28
Pocillopora_meandrina_HIv1___Sc0000006:2044081-2044510	Cluster_2089	N	0	25	589	35	15
Pocillopora_meandrina_HIv1___Sc0000006:2058209-2058968	Cluster_2090	N	568	345	377	260	81
Pocillopora_meandrina_HIv1___Sc0000006:2059557-2059984	Cluster_2091	N	6	0	131	3	4
Pocillopora_meandrina_HIv1___Sc0000006:2062003-2063017	Cluster_2092	N	439	37	51	543	318
Pocillopora_meandrina_HIv1___Sc0000006:2064224-2064648	Cluster_2093	N	48	10	34	129	33
Pocillopora_meandrina_HIv1___Sc0000006:2065278-2065703	Cluster_2094	N	1	9	126	5	24
Pocillopora_meandrina_HIv1___Sc0000006:2067012-2067673	Cluster_2095	N	62	238	171	176	14
Pocillopora_meandrina_HIv1___Sc0000006:2070860-2071363	Cluster_2096	N	1407	6	1	2300	6
Pocillopora_meandrina_HIv1___Sc0000006:2071608-2072035	Cluster_2097	N	39	0	3	106	1
Pocillopora_meandrina_HIv1___Sc0000006:2074248-2075236	Cluster_2098	N	211	112	499	176	486
Pocillopora_meandrina_HIv1___Sc0000006:2075446-2076023	Cluster_2099	N	67	15	87	28	202
Pocillopora_meandrina_HIv1___Sc0000006:2077278-2077698	Cluster_2100	N	54	7	50	42	37
Pocillopora_meandrina_HIv1___Sc0000006:2081084-2081505	Cluster_2101	N	10	9	60	9	1
Pocillopora_meandrina_HIv1___Sc0000006:2082366-2082803	Cluster_2102	N	274	41	486	655	28
Pocillopora_meandrina_HIv1___Sc0000006:2083932-2084804	Cluster_2103	N	82	50	967	246	43
Pocillopora_meandrina_HIv1___Sc0000006:2085227-2085655	Cluster_2104	N	26	8	33	103	6
Pocillopora_meandrina_HIv1___Sc0000006:2086586-2087013	Cluster_2105	N	58	10	82	28	28
Pocillopora_meandrina_HIv1___Sc0000006:2088855-2089286	Cluster_2106	N	26	4	111	20	6
Pocillopora_meandrina_HIv1___Sc0000006:2089530-2090266	Cluster_2107	N	117	28	119	59	45
Pocillopora_meandrina_HIv1___Sc0000006:2093361-2094326	Cluster_2108	N	2097	897	2372	3024	400
Pocillopora_meandrina_HIv1___Sc0000006:2094699-2095260	Cluster_2109	N	363	90	97	105	387
Pocillopora_meandrina_HIv1___Sc0000006:2097314-2097714	Cluster_2110	N	40	19	40	23	8
Pocillopora_meandrina_HIv1___Sc0000006:2097956-2098522	Cluster_2111	N	119	49	165	105	39
Pocillopora_meandrina_HIv1___Sc0000006:2098992-2099500	Cluster_2112	N	132	41	165	97	43
Pocillopora_meandrina_HIv1___Sc0000006:2100159-2100582	Cluster_2113	N	60	28	93	94	7
Pocillopora_meandrina_HIv1___Sc0000006:2100770-2101564	Cluster_2114	N	108	58	181	141	49
Pocillopora_meandrina_HIv1___Sc0000006:2103424-2103853	Cluster_2115	N	67	13	34	24	25
Pocillopora_meandrina_HIv1___Sc0000006:2105131-2105704	Cluster_2116	N	157	27	216	149	20
Pocillopora_meandrina_HIv1___Sc0000006:2106041-2107040	Cluster_2117	N	40	26	1295	1644	19
Pocillopora_meandrina_HIv1___Sc0000006:2107146-2108374	Cluster_2118	N	1442	1615	2843	3526	215
Pocillopora_meandrina_HIv1___Sc0000006:2108910-2109311	Cluster_2119	N	7	14	53	15	8
Pocillopora_meandrina_HIv1___Sc0000006:2109466-2109887	Cluster_2120	N	37	22	21	18	9
Pocillopora_meandrina_HIv1___Sc0000006:2110009-2110473	Cluster_2121	N	1175	11	29	642	13
Pocillopora_meandrina_HIv1___Sc0000006:2222589-2223007	Cluster_2122	N	104	0	0	0	1
Pocillopora_meandrina_HIv1___Sc0000006:2361256-2361678	Cluster_2123	N	20	51	77	44	2
Pocillopora_meandrina_HIv1___Sc0000006:2367614-2368043	Cluster_2124	N	39	24	49	20	13
Pocillopora_meandrina_HIv1___Sc0000006:2381039-2381441	Cluster_2125	N	125	20	10	41	9
Pocillopora_meandrina_HIv1___Sc0000006:2382027-2382706	Cluster_2126	N	1068	34	17	12	166
Pocillopora_meandrina_HIv1___Sc0000006:2406541-2407009	Cluster_2127	N	370	273	587	400	188
Pocillopora_meandrina_HIv1___Sc0000006:2407808-2408403	Cluster_2128	N	342	32	327	106	23
Pocillopora_meandrina_HIv1___Sc0000006:2409391-2409959	Cluster_2129	N	9	6	194	2	1
Pocillopora_meandrina_HIv1___Sc0000006:2415407-2415972	Cluster_2130	N	268	104	197	175	9
Pocillopora_meandrina_HIv1___Sc0000006:2430788-2432068	Cluster_2131	N	1090	365	950	2609	595
Pocillopora_meandrina_HIv1___Sc0000006:2446610-2447281	Cluster_2132	N	12	295	69	4	0
Pocillopora_meandrina_HIv1___Sc0000006:2448506-2448935	Cluster_2133	N	62	5	11	15	9
Pocillopora_meandrina_HIv1___Sc0000006:2456274-2456696	Cluster_2134	N	72	0	0	25	12
Pocillopora_meandrina_HIv1___Sc0000006:2481721-2482147	Cluster_2135	N	115	8	49	42	37
Pocillopora_meandrina_HIv1___Sc0000006:2483223-2483653	Cluster_2136	N	78	3	8	34	108
Pocillopora_meandrina_HIv1___Sc0000006:2490004-2491209	Cluster_2137	N	446	1067	363	2388	136
Pocillopora_meandrina_HIv1___Sc0000006:2492777-2493187	Cluster_2138	N	81	2	44	42	7
Pocillopora_meandrina_HIv1___Sc0000006:2493700-2494299	Cluster_2139	N	110	16	91	158	16
Pocillopora_meandrina_HIv1___Sc0000006:2494751-2495463	Cluster_2140	N	149	71	389	288	76
Pocillopora_meandrina_HIv1___Sc0000006:2510446-2510874	Cluster_2141	N	1	1	12	3	343
Pocillopora_meandrina_HIv1___Sc0000006:2511054-2511480	Cluster_2142	N	20	5	30	19	63
Pocillopora_meandrina_HIv1___Sc0000006:2516342-2516950	Cluster_2143	N	164	41	126	81	38
Pocillopora_meandrina_HIv1___Sc0000006:2534327-2535024	Cluster_2144	N	521	184	344	663	166
Pocillopora_meandrina_HIv1___Sc0000006:2536782-2537189	Cluster_2145	N	73	3	18	30	12
Pocillopora_meandrina_HIv1___Sc0000006:2544036-2544465	Cluster_2146	N	33	7	71	14	10
Pocillopora_meandrina_HIv1___Sc0000006:2544882-2545307	Cluster_2147	N	34	6	34	20	22
Pocillopora_meandrina_HIv1___Sc0000006:2547406-2547834	Cluster_2148	N	54	4	41	45	14
Pocillopora_meandrina_HIv1___Sc0000006:2552089-2552517	Cluster_2149	N	67	31	80	40	25
Pocillopora_meandrina_HIv1___Sc0000006:2554191-2554619	Cluster_2150	N	51	10	52	11	24
Pocillopora_meandrina_HIv1___Sc0000006:2556125-2556552	Cluster_2151	N	39	16	83	4	5
Pocillopora_meandrina_HIv1___Sc0000006:2561826-2564936	Cluster_2152	N	1517	323	789	3057	2559
Pocillopora_meandrina_HIv1___Sc0000006:2565126-2566072	Cluster_2153	N	637	82	218	813	393
Pocillopora_meandrina_HIv1___Sc0000006:2568267-2568696	Cluster_2154	N	271	121	157	232	40
Pocillopora_meandrina_HIv1___Sc0000006:2569202-2570581	Cluster_2155	N	2959	690	3392	3048	794
Pocillopora_meandrina_HIv1___Sc0000006:2573127-2573703	Cluster_2156	N	350	109	52	805	170
Pocillopora_meandrina_HIv1___Sc0000006:2575795-2576223	Cluster_2157	N	62	11	27	33	8
Pocillopora_meandrina_HIv1___Sc0000006:2577640-2580188	Cluster_2158	N	1873	1977	1538	1616	835
Pocillopora_meandrina_HIv1___Sc0000006:2580254-2580666	Cluster_2159	N	32	6	12	55	22
Pocillopora_meandrina_HIv1___Sc0000006:2581562-2583132	Cluster_2160	N	4065	149	5458	52	4249
Pocillopora_meandrina_HIv1___Sc0000006:2583203-2583715	Cluster_2161	N	3626	9	1460	10	1146
Pocillopora_meandrina_HIv1___Sc0000006:2585919-2586969	Cluster_2162	N	878	49	455	253	31
Pocillopora_meandrina_HIv1___Sc0000006:2612856-2613281	Cluster_2163	N	45	21	58	72	27
Pocillopora_meandrina_HIv1___Sc0000006:2629857-2630321	Cluster_2164	N	281	1251	325	531	495
Pocillopora_meandrina_HIv1___Sc0000006:2630686-2631145	Cluster_2165	N	844	789	778	884	1162
Pocillopora_meandrina_HIv1___Sc0000006:2631458-2631927	Cluster_2166	N	129	285	215	246	480
Pocillopora_meandrina_HIv1___Sc0000006:2632079-2632574	Cluster_2167	N	561	1400	811	969	1584
Pocillopora_meandrina_HIv1___Sc0000006:2632755-2633251	Cluster_2168	N	486	826	320	786	759
Pocillopora_meandrina_HIv1___Sc0000006:2760526-2760954	Cluster_2169	N	94	16	25	162	19
Pocillopora_meandrina_HIv1___Sc0000006:2904384-2904807	Cluster_2170	N	0	32	24	23	0
Pocillopora_meandrina_HIv1___Sc0000006:3026686-3027098	Cluster_2171	N	1	1	0	78	58
Pocillopora_meandrina_HIv1___Sc0000006:3077648-3078920	Cluster_2172	N	2	791	6	781	124
Pocillopora_meandrina_HIv1___Sc0000006:3080456-3081013	Cluster_2173	N	7	529	0	433	60
Pocillopora_meandrina_HIv1___Sc0000006:3082040-3083001	Cluster_2174	N	562	596	713	662	152
Pocillopora_meandrina_HIv1___Sc0000006:3084650-3085078	Cluster_2175	N	105	45	99	71	9
Pocillopora_meandrina_HIv1___Sc0000006:3160145-3160569	Cluster_2176	N	261	319	223	3	106
Pocillopora_meandrina_HIv1___Sc0000006:3181837-3182252	Cluster_2177	N	24	0	20	92	0
Pocillopora_meandrina_HIv1___Sc0000006:3248159-3248782	Cluster_2178	N	168	107	259	716	142
Pocillopora_meandrina_HIv1___Sc0000006:3295055-3295481	Cluster_2179	N	0	55	0	8	49
Pocillopora_meandrina_HIv1___Sc0000006:3295559-3295986	Cluster_2180	N	0	0	96	1	2
Pocillopora_meandrina_HIv1___Sc0000006:3300115-3300542	Cluster_2181	N	1	0	115	0	0
Pocillopora_meandrina_HIv1___Sc0000006:3308602-3309513	Cluster_2182	N	769	3	13	278	13
Pocillopora_meandrina_HIv1___Sc0000006:3309928-3310589	Cluster_2183	N	3	0	8	228	2
Pocillopora_meandrina_HIv1___Sc0000006:3447869-3448298	Cluster_2184	N	135	14	14	20	14
Pocillopora_meandrina_HIv1___Sc0000006:3486280-3486972	Cluster_2185	N	117	48	85	119	139
Pocillopora_meandrina_HIv1___Sc0000006:3756606-3757221	Cluster_2186	N	215	558	223	488	1112
Pocillopora_meandrina_HIv1___Sc0000006:3772459-3772886	Cluster_2187	N	109	7	8	18	14
Pocillopora_meandrina_HIv1___Sc0000006:3800420-3802392	Cluster_2188	N	2467	725	1774	728	253
Pocillopora_meandrina_HIv1___Sc0000006:3803031-3803664	Cluster_2189	N	83	6	194	28	4
Pocillopora_meandrina_HIv1___Sc0000006:3804713-3805120	Cluster_2190	N	53	50	27	21	20
Pocillopora_meandrina_HIv1___Sc0000006:3807595-3808404	Cluster_2191	N	1028	777	552	1927	281
Pocillopora_meandrina_HIv1___Sc0000006:3809026-3809444	Cluster_2192	N	11	21	47	23	2
Pocillopora_meandrina_HIv1___Sc0000006:3816637-3817067	Cluster_2193	N	72	5	9	23	131
Pocillopora_meandrina_HIv1___Sc0000006:3821515-3821940	Cluster_2194	N	11	2	104	15	5
Pocillopora_meandrina_HIv1___Sc0000006:3825839-3826580	Cluster_2195	N	232	14	2136	824	9
Pocillopora_meandrina_HIv1___Sc0000006:3834837-3835264	Cluster_2196	N	15	74	87	27	8
Pocillopora_meandrina_HIv1___Sc0000006:3837756-3838530	Cluster_2197	N	121	510	24	303	13
Pocillopora_meandrina_HIv1___Sc0000006:3841572-3842002	Cluster_2198	N	48	92	181	92	14
Pocillopora_meandrina_HIv1___Sc0000006:3864910-3865336	Cluster_2199	N	15	30	15	36	24
Pocillopora_meandrina_HIv1___Sc0000006:3870709-3871268	Cluster_2200	N	7	29	2	241	19
Pocillopora_meandrina_HIv1___Sc0000006:3872110-3872854	Cluster_2201	N	166	17	50	65	30
Pocillopora_meandrina_HIv1___Sc0000006:3887839-3888263	Cluster_2202	N	17	17	31	53	0
Pocillopora_meandrina_HIv1___Sc0000006:3898252-3898679	Cluster_2203	N	112	1	23	119	31
Pocillopora_meandrina_HIv1___Sc0000006:3899292-3899913	Cluster_2204	N	77	18	36	761	76
Pocillopora_meandrina_HIv1___Sc0000006:3900289-3901926	Cluster_2205	N	434	97	159	945	507
Pocillopora_meandrina_HIv1___Sc0000006:3907552-3908831	Cluster_2206	N	1349	389	444	21	2
Pocillopora_meandrina_HIv1___Sc0000006:3911965-3912393	Cluster_2207	N	53	13	63	114	5
Pocillopora_meandrina_HIv1___Sc0000006:3921710-3922139	Cluster_2208	N	36	34	80	126	18
Pocillopora_meandrina_HIv1___Sc0000006:3953956-3954951	Cluster_2209	N	135	35	103	291	64
Pocillopora_meandrina_HIv1___Sc0000006:4058767-4059686	Cluster_2210	N	231	28	3718	76	440
Pocillopora_meandrina_HIv1___Sc0000006:4360792-4361219	Cluster_2211	N	27	10	92	40	28
Pocillopora_meandrina_HIv1___Sc0000006:4527159-4527577	Cluster_2212	N	2	92	72	0	0
Pocillopora_meandrina_HIv1___Sc0000006:4597982-4598401	Cluster_2213	N	30	37	80	9	24
Pocillopora_meandrina_HIv1___Sc0000006:4669470-4670085	Cluster_2214	N	62	65	32	75	206
Pocillopora_meandrina_HIv1___Sc0000006:4741301-4741763	Cluster_2215	N	1	122	0	281	247
Pocillopora_meandrina_HIv1___Sc0000006:4761102-4761535	Cluster_2216	N	1890	6	0	0	0
Pocillopora_meandrina_HIv1___Sc0000006:4791746-4792175	Cluster_2217	N	59	4	106	7	3
Pocillopora_meandrina_HIv1___Sc0000006:4866022-4866448	Cluster_2218	N	0	0	19	89	12
Pocillopora_meandrina_HIv1___Sc0000006:5140124-5140552	Cluster_2219	N	2	0	37	50	2
Pocillopora_meandrina_HIv1___Sc0000006:5141311-5141739	Cluster_2220	N	111	1	110	5	11
Pocillopora_meandrina_HIv1___Sc0000006:5164016-5164444	Cluster_2221	N	437	484	988	335	530
Pocillopora_meandrina_HIv1___Sc0000006:5165241-5165663	Cluster_2222	N	2	1	4	4	92
Pocillopora_meandrina_HIv1___Sc0000006:5171945-5172369	Cluster_2223	N	17	75	147	12	0
Pocillopora_meandrina_HIv1___Sc0000006:5240370-5240798	Cluster_2224	N	156	98	20	89	25
Pocillopora_meandrina_HIv1___Sc0000006:5363172-5363597	Cluster_2225	N	0	83	45	0	14
Pocillopora_meandrina_HIv1___Sc0000006:5536688-5537200	Cluster_2226	N	422	846	470	485	3333
Pocillopora_meandrina_HIv1___Sc0000006:5546629-5547169	Cluster_2227	N	140	312	204	493	640
Pocillopora_meandrina_HIv1___Sc0000006:5547280-5547753	Cluster_2228	N	52	89	54	62	346
Pocillopora_meandrina_HIv1___Sc0000006:5733785-5734203	Cluster_2229	N	0	4	0	17	648
Pocillopora_meandrina_HIv1___Sc0000006:5739668-5740104	Cluster_2230	N	51	76	11	35	266
Pocillopora_meandrina_HIv1___Sc0000006:5820329-5821030	Cluster_2231	N	186	85	174	77	64
Pocillopora_meandrina_HIv1___Sc0000006:5824415-5825515	Cluster_2232	N	579	117	283	151	98
Pocillopora_meandrina_HIv1___Sc0000006:5830168-5831006	Cluster_2233	N	592	1751	223	624	80
Pocillopora_meandrina_HIv1___Sc0000006:5831442-5832293	Cluster_2234	N	466	30	198	239	112
Pocillopora_meandrina_HIv1___Sc0000006:5832723-5834537	Cluster_2235	N	1894	2044	2774	2401	1292
Pocillopora_meandrina_HIv1___Sc0000006:5834970-5835396	Cluster_2236	N	155	9	61	9	40
Pocillopora_meandrina_HIv1___Sc0000006:5837604-5839281	Cluster_2237	N	675	127	447	870	155
Pocillopora_meandrina_HIv1___Sc0000006:5839523-5840406	Cluster_2238	N	443	124	295	155	0
Pocillopora_meandrina_HIv1___Sc0000006:5840526-5841061	Cluster_2239	N	337	76	222	89	4
Pocillopora_meandrina_HIv1___Sc0000006:5841188-5841618	Cluster_2240	N	4	40	723	13	30
Pocillopora_meandrina_HIv1___Sc0000006:5841975-5842405	Cluster_2241	N	3	39	755	2	19
Pocillopora_meandrina_HIv1___Sc0000006:5842763-5843542	Cluster_2242	N	3406	179	1632	672	1358
Pocillopora_meandrina_HIv1___Sc0000006:5843551-5843981	Cluster_2243	N	6	32	753	10	34
Pocillopora_meandrina_HIv1___Sc0000006:5846808-5847473	Cluster_2244	N	842	1376	744	969	407
Pocillopora_meandrina_HIv1___Sc0000006:5848646-5849074	Cluster_2245	N	169	8	6	15	25
Pocillopora_meandrina_HIv1___Sc0000006:5849772-5850691	Cluster_2246	N	507	234	4	37	57
Pocillopora_meandrina_HIv1___Sc0000006:5850812-5851241	Cluster_2247	N	242	19	2	3	8
Pocillopora_meandrina_HIv1___Sc0000006:5851721-5852502	Cluster_2248	N	82	67	97	72	10
Pocillopora_meandrina_HIv1___Sc0000006:5858307-5860151	Cluster_2249	N	3107	274	2431	2311	1238
Pocillopora_meandrina_HIv1___Sc0000006:5860311-5860882	Cluster_2250	N	20	3204	1668	1361	10
Pocillopora_meandrina_HIv1___Sc0000006:5860986-5861969	Cluster_2251	N	73	224	495	487	15
Pocillopora_meandrina_HIv1___Sc0000006:5863646-5865684	Cluster_2252	N	3963	1296	6137	10606	1327
Pocillopora_meandrina_HIv1___Sc0000006:5866040-5868415	Cluster_2253	N	520	301	475	3985	142
Pocillopora_meandrina_HIv1___Sc0000006:5872014-5873341	Cluster_2254	N	764	40	1938	3483	513
Pocillopora_meandrina_HIv1___Sc0000006:5875872-5877160	Cluster_2255	N	2259	138	290	606	429
Pocillopora_meandrina_HIv1___Sc0000006:5882690-5883487	Cluster_2256	N	225	441	3359	2816	532
Pocillopora_meandrina_HIv1___Sc0000006:5883592-5884928	Cluster_2257	N	3055	1061	3619	2188	206
Pocillopora_meandrina_HIv1___Sc0000006:5884948-5885784	Cluster_2258	N	1041	671	1193	1935	568
Pocillopora_meandrina_HIv1___Sc0000006:5888776-5889198	Cluster_2259	N	49	11	21	40	2
Pocillopora_meandrina_HIv1___Sc0000006:5889962-5890386	Cluster_2260	N	106	7	67	34	10
Pocillopora_meandrina_HIv1___Sc0000006:5890418-5890908	Cluster_2261	N	132	20	73	56	18
Pocillopora_meandrina_HIv1___Sc0000006:5891469-5891894	Cluster_2262	N	37	10	65	32	13
Pocillopora_meandrina_HIv1___Sc0000006:5891954-5892384	Cluster_2263	N	76	15	53	37	8
Pocillopora_meandrina_HIv1___Sc0000006:5894348-5894781	Cluster_2264	N	153	15	120	3	49
Pocillopora_meandrina_HIv1___Sc0000006:5896720-5897140	Cluster_2265	N	41	17	36	31	25
Pocillopora_meandrina_HIv1___Sc0000006:5899020-5899442	Cluster_2266	N	8	89	13	10	3
Pocillopora_meandrina_HIv1___Sc0000006:5901952-5902378	Cluster_2267	N	120	7	20	22	19
Pocillopora_meandrina_HIv1___Sc0000006:5902985-5903418	Cluster_2268	N	85	14	56	43	31
Pocillopora_meandrina_HIv1___Sc0000006:5905241-5905671	Cluster_2269	N	99	31	43	3	8
Pocillopora_meandrina_HIv1___Sc0000006:5905755-5906180	Cluster_2270	N	169	20	37	4	23
Pocillopora_meandrina_HIv1___Sc0000006:5907034-5907472	Cluster_2271	N	105	24	51	47	13
Pocillopora_meandrina_HIv1___Sc0000006:5908778-5909395	Cluster_2272	N	115	19	119	43	49
Pocillopora_meandrina_HIv1___Sc0000006:5910610-5911029	Cluster_2273	N	1	59	1	1	195
Pocillopora_meandrina_HIv1___Sc0000006:5917575-5918268	Cluster_2274	N	19	2	2	20	1145
Pocillopora_meandrina_HIv1___Sc0000006:5920058-5921204	Cluster_2275	N	593	175	6	148	41
Pocillopora_meandrina_HIv1___Sc0000006:5922443-5923665	Cluster_2276	N	509	936	3	2	665
Pocillopora_meandrina_HIv1___Sc0000006:5926582-5927199	Cluster_2277	N	460	122	32	27	43
Pocillopora_meandrina_HIv1___Sc0000006:5927210-5927773	Cluster_2278	N	179	26	96	180	117
Pocillopora_meandrina_HIv1___Sc0000006:5928631-5929446	Cluster_2279	N	95	20	121	162	66
Pocillopora_meandrina_HIv1___Sc0000006:5929820-5930249	Cluster_2280	N	11	32	23	73	5
Pocillopora_meandrina_HIv1___Sc0000006:5930391-5930838	Cluster_2281	N	21	80	838	942	5
Pocillopora_meandrina_HIv1___Sc0000006:5931431-5931850	Cluster_2282	N	23	33	51	83	31
Pocillopora_meandrina_HIv1___Sc0000006:5932642-5933123	Cluster_2283	N	56	5	125	77	18
Pocillopora_meandrina_HIv1___Sc0000006:5934311-5935770	Cluster_2284	N	397	76	366	291	92
Pocillopora_meandrina_HIv1___Sc0000006:5936236-5937077	Cluster_2285	N	497	104	193	100	79
Pocillopora_meandrina_HIv1___Sc0000006:5940921-5941459	Cluster_2286	N	1050	173	6776	267	266
Pocillopora_meandrina_HIv1___Sc0000006:5941835-5942272	Cluster_2287	N	435	171	2508	1671	2022
Pocillopora_meandrina_HIv1___Sc0000006:5947100-5947529	Cluster_2288	N	18	5	276	9	1
Pocillopora_meandrina_HIv1___Sc0000006:5948137-5948642	Cluster_2289	N	1164	32	82	5607	25
Pocillopora_meandrina_HIv1___Sc0000006:5948646-5949062	Cluster_2290	N	78	14	42	58	8
Pocillopora_meandrina_HIv1___Sc0000006:5952244-5952687	Cluster_2291	N	97	59	56	30	24
